,scenario,forcing,base_period,year,p05,p16,p50,p84,p95
0,ssp119,ch4,2020,2020,0,0,0,0,0
1,ssp119,ch4,2020,2021,0.001265586623489,0.001475093851816,0.001859002792213,0.002377982329702,0.002767170798507
2,ssp119,ch4,2020,2022,0.002244791258416,0.002638074459691,0.003392248735283,0.004397612748811,0.005167540092601
3,ssp119,ch4,2020,2023,0.002916034039778,0.003463435308276,0.004564970560143,0.006049014759626,0.007151010277791
4,ssp119,ch4,2020,2024,0.003251763047318,0.003953206316481,0.00533961427553,0.007207323050972,0.008723344542478
5,ssp119,ch4,2020,2025,0.003230860416557,0.004074160710209,0.005712096885246,0.007967740264454,0.009811104349385
6,ssp119,ch4,2020,2026,0.002937091828953,0.003843093526713,0.005654837851273,0.008242016091406,0.010389106603706
7,ssp119,ch4,2020,2027,0.002273985886133,0.003276614051169,0.00521719462775,0.00808083355414,0.010556145721669
8,ssp119,ch4,2020,2028,0.001242336357535,0.002321334009948,0.004391769061805,0.007423051705267,0.010179275273937
9,ssp119,ch4,2020,2029,-0.000104301394301,0.000992368066787,0.003144295473702,0.006351729959849,0.009416734087536
10,ssp119,ch4,2020,2030,-0.00185367194167,-0.000653295233176,0.001540280414923,0.004896119608259,0.008321875373373
11,ssp119,ch4,2020,2031,-0.00396667928604,-0.002737319174658,-0.000414224230929,0.003109845633569,0.006597033534823
12,ssp119,ch4,2020,2032,-0.006496595671155,-0.005130739537277,-0.002656513926964,0.001047605861583,0.004690533804876
13,ssp119,ch4,2020,2033,-0.00945134639098,-0.007803270557392,-0.005194839670472,-0.001431180819915,0.002257071663912
14,ssp119,ch4,2020,2034,-0.012630348586255,-0.010795009938265,-0.007835524487698,-0.004034860852872,-0.000145363523792
15,ssp119,ch4,2020,2035,-0.015961559887817,-0.013934917755297,-0.010628413136281,-0.006638329654106,-0.002593366932096
16,ssp119,ch4,2020,2036,-0.019540723343145,-0.017255232927788,-0.013514256323611,-0.009223201963821,-0.005108335493872
17,ssp119,ch4,2020,2037,-0.023254428177491,-0.020691516444133,-0.016490273321764,-0.011913609315123,-0.007577582899981
18,ssp119,ch4,2020,2038,-0.027168059753656,-0.024197631873978,-0.019451775908621,-0.014337042429545,-0.010055245958059
19,ssp119,ch4,2020,2039,-0.031259319954889,-0.027772992645005,-0.022423579743526,-0.016898143747738,-0.012505663223246
20,ssp119,ch4,2020,2040,-0.035244864393357,-0.031396606932397,-0.025485598506243,-0.019536258765365,-0.014876328099411
21,ssp119,ch4,2020,2041,-0.039402062825465,-0.035113738190373,-0.028571362014492,-0.021994804179862,-0.017108817859485
22,ssp119,ch4,2020,2042,-0.04361877052667,-0.038897473560952,-0.031637862480597,-0.024488898533312,-0.019596609048613
23,ssp119,ch4,2020,2043,-0.047885554567984,-0.042529337612913,-0.034587942736175,-0.026943418294643,-0.021706784309979
24,ssp119,ch4,2020,2044,-0.052160982132153,-0.046288951706604,-0.037617456237169,-0.029574357800529,-0.023709685113761
25,ssp119,ch4,2020,2045,-0.056475751174849,-0.050032525445754,-0.040725070995382,-0.031905364804536,-0.02575200853966
26,ssp119,ch4,2020,2046,-0.0609691557402,-0.053724098114458,-0.043607373563389,-0.034226401170361,-0.027819721546194
27,ssp119,ch4,2020,2047,-0.065213160194528,-0.057424724974916,-0.046592919798918,-0.036509725041916,-0.029860598161738
28,ssp119,ch4,2020,2048,-0.069347329514808,-0.061102658809078,-0.049543473180172,-0.038816927164114,-0.031834402440164
29,ssp119,ch4,2020,2049,-0.073502718931024,-0.064710716570956,-0.052368560763863,-0.041023004868188,-0.033877183405995
30,ssp119,ch4,2020,2050,-0.077526303945397,-0.068302598270737,-0.055299766130293,-0.043215670069794,-0.035833083857035
31,ssp119,ch4,2020,2051,-0.081466367837956,-0.071770045276353,-0.058205916341671,-0.045497493499411,-0.037850531452467
32,ssp119,ch4,2020,2052,-0.085441104346347,-0.075310080536826,-0.061001754039664,-0.047614213562049,-0.03975019722352
33,ssp119,ch4,2020,2053,-0.089363377052617,-0.078805502769555,-0.063750411557323,-0.049667015962901,-0.041650883559558
34,ssp119,ch4,2020,2054,-0.093349504191675,-0.082088437330902,-0.066334391885728,-0.051700177230873,-0.043437645742147
35,ssp119,ch4,2020,2055,-0.097172758113772,-0.085394729751185,-0.068935859833564,-0.053701092058929,-0.045177738738416
36,ssp119,ch4,2020,2056,-0.100990192886385,-0.088685216483625,-0.071436560962778,-0.055643511272098,-0.046732680437335
37,ssp119,ch4,2020,2057,-0.104594822249887,-0.091712352395082,-0.073920416152767,-0.057472161453453,-0.048253873130167
38,ssp119,ch4,2020,2058,-0.108174752993246,-0.094816425458375,-0.076304154235365,-0.059326497264972,-0.049860691399822
39,ssp119,ch4,2020,2059,-0.11169873735013,-0.097789707406183,-0.078623711795617,-0.061158485812263,-0.05137229041549
40,ssp119,ch4,2020,2060,-0.115197334936179,-0.100651481615387,-0.080952124869454,-0.062845239291827,-0.052900227334818
41,ssp119,ch4,2020,2061,-0.118522796860865,-0.103438588767069,-0.083082110562441,-0.064479792171284,-0.054248297460602
42,ssp119,ch4,2020,2062,-0.121677222720065,-0.106150121958306,-0.085093063381439,-0.066063755826671,-0.055659832003723
43,ssp119,ch4,2020,2063,-0.124775814960247,-0.108771728053915,-0.087024193875691,-0.067579065564251,-0.057020055297014
44,ssp119,ch4,2020,2064,-0.127780179578521,-0.11118633203334,-0.089116462335696,-0.069065955469931,-0.058344233581133
45,ssp119,ch4,2020,2065,-0.13054789927141,-0.113604389058475,-0.091014036145629,-0.070532752916268,-0.059547419556868
46,ssp119,ch4,2020,2066,-0.133263530610729,-0.115947321389786,-0.09286309111319,-0.071904329418948,-0.060717286246938
47,ssp119,ch4,2020,2067,-0.136019701144431,-0.118277217469461,-0.094529020230376,-0.073320486058079,-0.061856387257937
48,ssp119,ch4,2020,2068,-0.138725958832891,-0.120443379332994,-0.096248206967205,-0.074622910106924,-0.06297272788806
49,ssp119,ch4,2020,2069,-0.14129696190604,-0.122548439679202,-0.097954487511402,-0.075878101684571,-0.064051089161903
50,ssp119,ch4,2020,2070,-0.143972571405069,-0.124595936088167,-0.099496833721485,-0.077154325102488,-0.065099533035455
51,ssp119,ch4,2020,2071,-0.146487995314547,-0.126750318174182,-0.101192461772004,-0.078389154342843,-0.066179628363037
52,ssp119,ch4,2020,2072,-0.148844309054093,-0.128770385911561,-0.10282937600923,-0.079586820245448,-0.0672051398508
53,ssp119,ch4,2020,2073,-0.151286253564361,-0.130816064786726,-0.104333320416328,-0.080816542040848,-0.068200752611084
54,ssp119,ch4,2020,2074,-0.153558123489793,-0.132858914743467,-0.105989414682223,-0.082027913557948,-0.069194458535692
55,ssp119,ch4,2020,2075,-0.155873469873685,-0.134720577869848,-0.107577839113214,-0.08325280559066,-0.070302247688773
56,ssp119,ch4,2020,2076,-0.158232261581661,-0.136534352382455,-0.109079627283858,-0.084474454048547,-0.071269093051532
57,ssp119,ch4,2020,2077,-0.160587488743721,-0.138345061074969,-0.110548784583298,-0.085692850729767,-0.072376487882292
58,ssp119,ch4,2020,2078,-0.162752318600767,-0.140168188271654,-0.111999425426635,-0.086833838423808,-0.073374042988563
59,ssp119,ch4,2020,2079,-0.164853679424262,-0.141998527024333,-0.11348673254276,-0.087967497278467,-0.074394056606029
60,ssp119,ch4,2020,2080,-0.166949287674296,-0.143846040241603,-0.11490179226864,-0.089133561570364,-0.075361506203958
61,ssp119,ch4,2020,2081,-0.169150904994878,-0.145680173767722,-0.11637606296738,-0.090343955449489,-0.076389927632002
62,ssp119,ch4,2020,2082,-0.171374262646221,-0.147545644891105,-0.117800268556539,-0.091548770083366,-0.077345066903745
63,ssp119,ch4,2020,2083,-0.173504521230906,-0.149398587374889,-0.119302398874335,-0.092723114492264,-0.078341387592079
64,ssp119,ch4,2020,2084,-0.175526586253426,-0.151217539556826,-0.120750448277872,-0.093914490078371,-0.079350488736967
65,ssp119,ch4,2020,2085,-0.17759298093761,-0.152929842778873,-0.122126727677591,-0.095076801627798,-0.080248673293013
66,ssp119,ch4,2020,2086,-0.179746897520638,-0.154615582783715,-0.123563430030841,-0.096220204930634,-0.081150956721203
67,ssp119,ch4,2020,2087,-0.181894666738981,-0.156329450646543,-0.124973370295944,-0.097280427644071,-0.082135398633605
68,ssp119,ch4,2020,2088,-0.183986818911807,-0.158130434902731,-0.126374840170217,-0.098321350147638,-0.083074276084567
69,ssp119,ch4,2020,2089,-0.185998688316215,-0.159848734191237,-0.127730090259335,-0.099499769410097,-0.084004630923745
70,ssp119,ch4,2020,2090,-0.188022354302144,-0.161517635484029,-0.129101207677446,-0.100494375854134,-0.08492496445521
71,ssp119,ch4,2020,2091,-0.19002625740428,-0.16316288537364,-0.130417455790696,-0.101598650482843,-0.085868899104657
