"em","country","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"BC","abw","biomass","ktC",0.00135204938530055,0.00136078091837859,0.00136947422643332,0.00137812930946478,0.00138674616747293,0.00139532480045778,0.00140386520841935,0.00141236739135762,0.0014208313492726,0.00142925708216427,0.00143764459003266,0.00144664279041955,0.00145559569370625,0.00146450329989275,0.00147336560897904,0.00148218262096513,0.00149095433585102,0.00149968075363669,0.00150836187432217,0.00151699769790743,0.00152558822439249,0.00153479187386351,0.00154394184574038,0.0015530381400231,0.00156208075671166,0.00157106969580606,0.00158000495730632,0.00158888654121243,0.00159771444752437,0.00160648867624217,0.00161520922736583,0.00162453671973899,0.00163380060353454,0.00164300087875246,0.00165213754539279,0.00166121060345549,0.00167022005294059,0.00167916589384806,0.00168804812617793,0.00169686674993017,0.00170562176510481,0.00171496659145396,0.00172423604089381,0.00173343011342436,0.00174254880904561,0.00175159212775754,0.00176056006956017,0.0017694526344535,0.00177826982243753,0.00178701163351225,0.00179567806767766,0.00179619682526113,0.00179667925835306,0.00179712536695347,0.00179753515106235,0.00179790861067969,0.0017982457458055,0.00179854655643979,0.00179881104258254,0.00179903920423376,0.00179923104139344,0.00179904140827666,0.00179881066506073,0.00179853881174565,0.00179822584833143,0.00179787177481806,0.00179747659120555,0.0017970402974939,0.00179656289368309,0.00179604437977314,0.00179548475576405,0.00179446751311821,0.0017934037442808,0.00179229344925183,0.00179113662803127,0.00178993328061914,0.00178868340701545,0.00178738700722018,0.00178604408123334,0.00178465462905492,0.00178321865068493,0.00178123801003482,0.00177920471355201,0.00177711876123653,0.00177498015308836,0.0017727888891075,0.00177054496929396,0.00176824839364774,0.00176589916216883,0.00176349727485723,0.00176104273171295,0.00177658169767715,0.0017918708987375,0.00180691033489401,0.00182170000614667,0.00183623991249549,0.00185053005394046,0.00186457043048158,0.00187836104211886,0.00189190188885231,0.0019051929706819,0.0018802570768301,0.00186647532844877,0.00188853229646794,0.00190994318009403,0.00193071473477254,0.00200648897989398,0.00208435263029913,0.00216435144414698,0.00224653187277249,0.00233094105895202,0.00249586752828947,0.00265927311521324,0.00282481304381903,0.00299254898141584,0.00311789063270601,0.00324131087996789,0.00336615867021161,0.00348607428155305,0.00358168084744821,0.00367427392603954,0.00372751405265288,0.00377225789445371,0.00381648560773161,0.00386020134197679,0.00389503915891615,0.00392912385376381,0.00396254091114853,0.00398623628895114,0.00400914716864553,0.0040312812172694,0.00409059553598658,0.00424122751867169,0.0043461998902757,0.0043972773233433,0.00442364635438068,0.00444782203632487,0.00449978251544698,0.00453453591640572,0.00458983329324276,0.00477951477852661,0.00471241817832744,0.00467469595848552,0.0046501260071675,0.00461713700751096,0.00457629919970634,0.00453477988994466,0.00449250069170134,0.00445569055864917,0.00442391624537209,0.00424935831760354,0.00424128737742149,0.00423664284874879,0.00422386826352364,0.00421750419709024,0.00420957263327237,0.00420030683597956,0.00418948838007497,0.00417712825925071,0.00416323972956886,0.00414783826741029,0.00440199428072196,0.00465116371044668,0.00490617849116243,0.00511886319272255,0.00532218677915663,0.00552876346280848,0.00572545215641715,0.0059254960320818,0.00611513790801235,0.00630847081234549,0.00704570199736389,0.00789774050389286,0.00869218380756181,0.00945430938212721,0.0102219483736007,0.0111045572933039,0.0119455143683423,0.0128421530391787,0.013731898444027,0.0146993412564024,0.0152730807661519,0.0157279725804977,0.0161652942368699,0.0165242858614308,0.0168637832984101,0.0172293468348729,0.0176875769890575,0.01827933314504,0.0189757423294576,0.019560259925023,0.0196572121822345,0.0198417678981567,0.019594017150931,0.0195734387019718,0.0195126058453126,0.0198050886603137,0.0200478173201417,0.0202031335240024,0.0203680357344711,0.0203548896768781,0.0203565655874195,0.0203328937316142,0.0202745805265282,0.0201589114149786,0.0199268426632798,0.0195234449586032,0.0189454373366101,0.0181743711797848,0.0171733457148709,0.0159310628953509,0.0144189224769155,0.0129280048121457,0.0116143369966227,0.0104841220601671,0.00951587564312683,0.00873600455947776,0.00810984863640293,0.00776379316602391,0.00819736883630099,0.008227662137855,0.00920917377903595,0.00788221066804227,0.0077636476108886,0.00826751019908981,0.00766037683009456,0.00772609539293968,0.00722577311631058,0.0077482117910426,0.0077091457271662,0.00737748363170093,0.0073619669646407,0.00723829673139917,0.00683034722874424,0.00701602977734462,0.00708448885091212,0.00724059537353614,0.00653559910253672,0.0061248120660294,0.00612647443140922,0.00548719952505236,0.00620427794835333,0.00692249686083546,0.00796554586719773,0.00833439582686146,0.00873477048070895,0.009340455910676,0.00972268034244419,0.0109804652137209,0.0119275769707178,0.0103214657094601,0.0105247433308015,0.0111772719881834,0.0109660449859764,0.0119844724771831,0.0110028950928901,0.0111006704344594,0.0110492795445961,0.00894114696333183,0.0104037938458654,0.0106184687952575,0.00908294720387017,0.00814287303667838,0.00742120737658605,0.00763325819822743,0.00780313217622164,0.00730067199147252,0.00694363325669581,0.0068523674975619,0.00676338251088051
"BC","abw","brown_coal","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","abw","coal_coke","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","abw","diesel_oil","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706891962329734,0.0141378392465947,0.0211850526727004,0.0245015939325068,0.0500076300103533,0.0420202247028101,0.0554411324554709,0.0386792662178555,0.0345734581574597,0.0452821968452679,0.0395575267228771,0.0416258102700177,0.045887342876013,0.0439727321347358,0.0426929776117908,0.0383892851606714,0.0358088869357216,0.0439605329316025,0.0407273420522089,0.0531241429810666,0.0592678081926056,0.0443971283762046,0.0638716756253472,0.0591119875258396,0.0437812170913381,0.0460609082461406,0.0590989777645695,0.0329960597032608,0.0201803118287641,0.0203443833163469,0.024697050413149,0.0267036411668651,0.024726431822456,0.0122884353532611,0.0383880380848242,0.0379467292392596,0.0091090864580781,0.0222640794138357,0.0268682211309951,0.0329832925264704,0.0940291701836336,0.0884431876299872,0.0696709786093163,0.0693769711556971,0.0693984658250382,0.079600740523931,0.0773713912921906,0.0840600721899346,0.0511576877464681,0.0589070952439239,0.0718263648976752,0.0775840786062013,0.0673726934641049,0.0664829667056353,0.0900469880666434,0.0803084544325314,0.080575006589811,0.0957704552691053,0.0861868797166915,0.0988857493280693,0.0996859277289988,0.0624544375514895,0.0967641813989407,0.113187848029823,0.0965525205337884,0.0969692684248337,0.103702722479773,0.102124731821044,0.105169910414546,0.102200839107826
"BC","abw","hard_coal","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","abw","heavy_oil","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267000844665182,0.000533910883062161,0.0008011814588136,0.000927579186253288,0.00189447806696969,0.00159239700430224,0.00210108500176586,0.00146534861314704,0.00130884908957539,0.001712345746557,0.00148818182161048,0.00156334558831028,0.00171984274850387,0.00164407677034794,0.00159176340845793,0.00141594434273324,0.00131443016973219,0.00160538815753049,0.00147922428610697,0.00191836724826528,0.00212721833598431,0.00206421535475488,0.00182422675179733,0.00202225883668987,0.00148464984821651,0.00146098732602598,0.00305685239677803,0.00147673545803613,0.00159039217350431,0.00141362783285356,0.0015498657881111,0.00172460756504255,0.00184977520493863,0.000801863033323768,0.00208620117839451,0.00256483747034934,0.00045299257102203,0.00121426064786378,0.00174868520413236,0.00162430938294067,0.00496316812580159,0.00591503233437341,0.00528344356893651,0.00528043760295177,0.00502563699467631,0.00509645919404741,0.00509083173829734,0.00477077090765228,0.0046279957706822,0.0049181974996453,0.00552711188171567,0.00553077032867152,0.00583260872390325,0.00594776537210798,0.00554658857427999,0.00513932085581356,0.00515805887014783,0.00558257712218064,0.00587562740382852,0.00609660454189465,0.00725720999830176,0.0041112296023889,0.00513702466241263,0.00501087490281938,0.00468930062503559,0.00472856636575422,0.00466311951449805,0.00324774758193004,0.00329998319841964,0.00316278081680697
"BC","abw","light_oil","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000236633904869927,0.000473267809739855,0.000715667568321566,0.000833745170942769,0.00171098193691687,0.00144298218792013,0.00190652736305724,0.00132936613265214,0.00118525607619949,0.0015454140631595,0.00133793115363587,0.00139637921446373,0.00152368575825134,0.00144230798016038,0.00138036493371421,0.0012160352410565,0.00111323580508205,0.00133849527193044,0.00121186478843575,0.00154128625389276,0.001672580348696,0.00161578626523475,0.00155073243973653,0.00197144443595521,0.00150631770770111,0.0013396988590923,0.00289921483092631,0.0015989745228027,0.00153410124433776,0.00164327179577992,0.00211536420117231,0.00277144323650632,0.00325435933192721,0.00169540584567948,0.00424494220796912,0.00480878235228948,0.00076495499478393,0.00211108943618134,0.0028367695166222,0.00316597683580188,0.00916732555751392,0.00938172893015102,0.00786021017851141,0.00803250409068812,0.00779540052418575,0.00770797078636701,0.00728012672427731,0.00735923269688122,0.00694768145360296,0.00676514014495805,0.00746501495467904,0.00767834404560111,0.00721328379610614,0.00726389710712607,0.00665093016969606,0.00725554961750018,0.00746119762285557,0.00777942316292712,0.00798549974566184,0.00857826094250992,0.00756595641441786,0.0059365126348564,0.00565301409387852,0.00557656081276879,0.00516142665349838,0.00416919824873844,0.00396053737274518,0.00386178199491822,0.00392398636133116,0.00376687368857571
"BC","abw","natural_gas","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","abw","process","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67690928349276e-06,5.30680495352515e-06,7.88968701009719e-06,1.04255554532089e-05,1.29144102828602e-05,1.53562514990511e-05,1.77510791017817e-05,2.0098893091052e-05,2.2399693466862e-05,2.46534802292116e-05,2.86782960202926e-05,3.29866514055847e-05,3.75785463850878e-05,4.24539809588015e-05,4.76129551267265e-05,5.3055468888862e-05,5.87815222452088e-05,6.47911151957664e-05,7.10842477405346e-05,7.76609198795142e-05,9.16902776628468e-05,0.000106685950854689,0.000122647939455042,0.000139576243463905,0.000157470862881278,0.000176331797707162,0.000196159047941555,0.000216952613584459,0.000238712494635873,0.000261438691095798,0.000276966169615092,0.000292933187197789,0.000309339743843893,0.0003261858395534,0.000343471474326312,0.000361196648162629,0.000379361361062349,0.000397965613025474,0.000417009404052004,0.000436492734141937,0.000447405052495485,0.000458317370849034,0.000469229689202582,0.000480142007556131,0.000491054325909679,0.000501966644263227,0.000512878962616776,0.000523791280970324,0.000534703599323873,0.000545615917677421,0.000559408393192165,0.000580841727567718,0.000610000774643004,0.000646495092091606,0.000689433141268025,0.000737382153635218,0.00078827897690005,0.000839635042901245,0.000888547261007626,0.000932383155533788,0.000969379142638216,0.00130891002744769,0.00165789323496965,0.00201735610875667,0.00238051058046216,0.00276010749893724,0.0031632136064876,0.00353165299021039,0.00382066959504034,0.00404005280207069,0.00412878077198095,0.00416694636743969,0.00417930274169015,0.00420934464834707,0.00426297907139739,0.00437067524774365,0.00445455349123264,0.00454343604888616,0.00466511095136672,0.00477835752790099,0.00496230847011887,0.0051317799202434,0.0053382507695509,0.00547956165628327,0.00557883542496721,0.00554029189586582,0.00537133840672701,0.00518487444674864,0.00503278917966941,0.00498381464180305,0.0051279542740811,0.00534730332918495,0.00571808642996181,0.00617382721706804,0.00658157202625973,0.00685644533817192,0.00706547780285013,0.00719962701541403,0.00724656790748124,0.00730626207344784,0.00737604059735134,0.00742634878432081,0.00739400011847836,0.00728910089489164,0.00711984228049089,0.00702216134681716,0.00696063443939793,0.0068943848656569,0.00700143178158685,0.00719069429661991,0.00738719071246826,0.00762124580086445,0.00787618421845727,0.00816043791222185,0.00816043791222185,0.00816043791222185,0.00816043791222185,0.00816043791222185,0.00816043791222185
"BC","afg","biomass","ktC",1.63303077838778,1.6396868314077,1.64634165420446,1.65299524677807,1.65964760912853,1.66629874125582,1.67294864315998,1.67959731484098,1.68624475629882,1.6928909675335,1.69953594854504,1.70644822315847,1.71335909424352,1.72026856180017,1.72717662582842,1.73408328632827,1.74098854329971,1.74789239674276,1.75479484665741,1.76169589304366,1.76859553590151,1.77577173362255,1.78294633009589,1.79011932532158,1.79729071929958,1.8044605120299,1.81162870351254,1.81879529374751,1.8259602827348,1.83312367047441,1.84028545696635,1.84773318119477,1.85517907860292,1.86262314919083,1.87006539295844,1.87750580990581,1.88494440003288,1.89238116333971,1.89981609982626,1.90724920949255,1.91468049233857,1.92240718524454,1.93013179398056,1.93785431854663,1.94557475894275,1.95329311516893,1.96100938722515,1.96872357511143,1.97643567882776,1.98414569837415,1.99185363375057,1.99986650221402,2.00787699290423,2.01588510582117,2.02389084096486,2.03189419833529,2.03989517793247,2.0478937797564,2.05589000380707,2.06388385008449,2.07187531858865,2.08018124756615,2.08848446380631,2.09678496730912,2.10508275807459,2.11337783610271,2.1216702013935,2.12995985394694,2.13824679376303,2.14653102084178,2.15481253518318,2.16158871000446,2.16836242060525,2.17513366698558,2.18190244914545,2.18866876708485,2.19543262080377,2.20219401030224,2.20895293558023,2.21570939663776,2.22246339347483,2.23438782623873,2.2463075895431,2.25822268338792,2.27013310777319,2.28203886269892,2.29393994816512,2.30583636417175,2.31772811071885,2.32961518780641,2.34149759543443,2.35401737011601,2.36653174650705,2.37904072460757,2.39154430441756,2.40404248593702,2.41653526916594,2.42902265410434,2.4415046407522,2.45398122910953,2.46645241917633,2.48690472242636,2.50748431896,2.52819217107537,2.54902924620155,2.56999651695745,2.59105259938438,2.61224014555561,2.63356013750977,2.65501356264371,2.67660141377022,2.69923010183665,2.72200196965197,2.7449181017866,2.76797958890106,2.79118752781099,2.81460201709966,2.83816615623182,2.86188107030441,2.88574789092331,3.05104914905762,3.07453291016335,3.09804449845978,3.1216085438174,3.14520085583064,3.16882150896035,3.19248976132034,3.2161867064058,3.23991241853545,3.26369239273305,3.28750157007094,3.31598638638966,3.34474062985346,3.37377737902459,3.40308414571668,3.4326740373756,3.46251694613372,3.49264333351372,3.52306635588331,3.55376074843747,3.58475250232695,3.61715752889889,3.64961000115779,3.68212317348893,3.71469748018411,3.7473333552692,3.78001948037871,3.81276783726999,3.84556529493671,3.87843932109661,3.91136312859418,3.97961244468914,4.05026923029703,4.12055239852896,4.19330990758016,4.26715270875894,4.34210127470525,4.4181725942524,4.49538604101739,4.57376146577852,4.650232486061,4.65212143148537,4.64326041986934,4.63440906349028,4.62556726049807,4.61521162820863,4.60635925750123,4.59751639212351,4.58868293138244,4.57835138306446,4.56954037344818,4.57626532523657,4.60343773993734,4.63166162966374,4.65792393476413,4.68524102134786,4.71362147350691,4.74004027700227,4.76752131446282,4.79606857114226,4.82265378815119,4.85453397631718,4.88665791128867,4.91933711495119,4.95100991590705,4.98313343211358,5.01550724871134,5.04820952625397,5.07967050427821,5.11132712236728,5.14310539216693,5.205393647681,5.26785005408632,5.33006327281237,5.39356541242258,5.45837628243684,5.51035389888923,4.40542380094507,4.43933796546566,4.48838107705293,4.52111060835085,4.54021624877745,4.55953021254707,4.57699556372625,4.59301367956148,4.60795324994872,4.63595381082421,4.6625848788985,4.70258242396914,4.7253146901441,4.74592119805465,4.79411997412031,4.84532247221285,4.89426906991421,4.94139694697236,5.00194254789458,5.0436793702718,5.09640606008618,5.16129112596886,5.21092187484901,5.27497747078391,5.46178110914502,5.55152703530064,5.65999374573035,5.7489350756687,5.83565602425216,5.92886508568436,5.99121886928869,6.06597885445016,6.14758227636868,6.15696876594504,6.08163641271308,5.94692270176861,5.82416190397573,5.64773096014916,5.58002392270124,5.54072569052156,5.51175178616125,5.47236137226324,5.4760059356107,5.72472376553631,5.85815027110866,6.02001182784492,6.24551204926875,6.43622602918121,6.58256337386898,7.82108001056112,7.92713964143275,8.02292927350295,8.20115801129345,8.32905456199555,8.45318479647588,8.64529787169529,8.78713013098132,8.92137132950163,9.03508392787007,9.11147551882964,9.19042929202333,9.25220152158299,9.31454995391494,9.40328090084076,8.72576253411552,8.72568150017243,8.78047309642751,8.93018531092968,9.00529273075277,8.97503489236383,9.19888224929249,9.1982922747913,9.19770800313208
