"em","country","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CO2","abw","biomass","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","brown_coal","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","coal_coke","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","diesel_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4457836994036,20.8915673988073,31.337351098211,36.271735558455,74.0712429941096,62.260248688551,82.1194844400751,57.2508353918586,51.1168304354286,66.8489314981195,58.1338954683656,61.0496212534194,67.1384516420666,64.1592566480762,62.0969750480719,55.4027909823314,51.4752462819902,62.9350328608144,58.0596225404576,75.4008526777237,83.7409289754905,62.3692323802444,84.2730781718427,81.4356106303593,69.3951605831595,64.2381793485626,102.476155841819,56.5826423290746,41.0029372659398,42.7642526802344,48.1804675757775,50.6814334480302,51.6926966730407,26.7090525196018,72.3107684745342,74.9219016879693,16.3911529527129,42.688047944306,53.8473690819198,63.7964396612304,186.405919471051,184.177764373219,154.519969155741,157.207804160464,169.265563064091,184.416992759011,184.822789091975,196.675765309982,198.824960322373,200.289481837993,252.920749139025,268.81407304882,263.704752362061,267.64279898849,301.436932281909,299.198975812605,306.278412916766,348.720610606332,342.791971588217,366.169944739375,369.763488903249,275.729518445913,324.09862161522,346.409093556783,325.872293469826,325.342425093588,334.617998470918,256.97755611428,264.995525457279,257.875417915093
"CO2","abw","hard_coal","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","heavy_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1550002742726,18.3100005485452,27.4650008228178,31.789644371533,64.9182741516563,54.5667620757368,71.9719959944157,50.1763609890491,44.8003338115275,58.5884222583561,50.9503015066076,53.5057316332524,58.8421664553948,56.2311099974048,54.4236641267092,48.556679061588,45.1144602828389,55.1581633013332,50.8852064697068,66.0835842297175,73.3930789493782,71.1828308503393,62.8590092232339,69.6296328235809,51.079958883115,50.2276679907973,105.077897608999,50.7551351740777,54.6269001109254,48.401792958856,53.0645527456709,59.0038422037253,62.7992256946205,27.3687587622729,71.2486455251851,87.5017021148552,15.4986558495463,41.5519005461545,59.1925666996251,54.8571299225271,167.806296988954,199.910668047978,178.55574350515,178.243054644579,168.913760325638,173.499431122066,171.138881767479,160.127377470388,149.753122273977,144.570350261696,173.86077457876,173.56362175539,182.996193536172,187.19878419276,183.027922236256,169.376222901752,170.724025714295,185.216532762976,194.991378496829,202.453186468788,243.588540831894,140.19457461293,175.547989080539,174.154751071962,165.621168269436,170.323346548379,170.671656050523,117.380302222503,121.042690794186,117.790420876937
"CO2","abw","light_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28699676728726,16.5739935345745,24.4490204778292,27.8125788272015,55.78467977524,46.0229229230374,59.5386786947722,40.6818628003646,35.5720461488152,45.5205302507158,38.7019325629247,39.6988345747528,42.6025436249835,39.6867246638815,37.4026419254938,32.4565621641423,29.2932210755637,34.7439831414084,31.0497335184622,39.0020033008497,41.8265796491133,40.1706664383944,39.9508509670984,52.4022256295204,37.4306574478015,27.7177929722759,55.3804806860562,30.7331062223837,30.6977576572978,35.352820414142,32.2956497535027,46.6047796588612,51.7486091816871,26.0248623678363,58.303489854774,67.5742203476015,11.9330730112742,32.3330713527045,44.6856198307917,52.1233781789598,154.384553095985,167.16607706698,141.891527731304,143.067581414211,144.330189563471,148.909205508396,151.013229488274,159.721744539375,146.529638118728,159.491588971109,201.56711111484,206.829500507312,196.391880131647,197.515190369628,179.63461465108,194.852392233485,198.8661741619,206.773598793721,212.529143247108,226.55850221611,191.530803622714,162.422201180912,168.849603794488,180.314700348435,181.878122605792,166.417613616379,165.027904943173,163.464482685817,168.564746034344,164.035616278229
"CO2","abw","natural_gas","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","abw","process","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32083333333333e-06,2.7e-06,4.1375e-06,5.63333333333334e-06,7.18749999999999e-06,8.8e-06,1.04708333333333e-05,1.22e-05,1.39875e-05,1.58333333333333e-05,1.85166666666667e-05,2.14e-05,2.44833333333333e-05,2.77666666666666e-05,3.125e-05,3.49333333333334e-05,3.88166666666667e-05,4.29e-05,4.71833333333334e-05,5.16666666666667e-05,5.535e-05,5.91380952380952e-05,6.30309523809524e-05,6.70285714285714e-05,7.11309523809526e-05,7.5338095238095e-05,7.965e-05,8.40666666666668e-05,8.8588095238095e-05,9.32142857142858e-05,9.9089285714286e-05,0.000105142857142857,0.000111375,0.000117785714285714,0.000124375,0.000131142857142857,0.000138089285714286,0.000145214285714285,0.000152517857142857,0.00016,0.0001636925,0.00016737,0.0001710325,0.00017468,0.0001783125,0.00018193,0.000185532499999999,0.00018912,0.0001926925,0.00019625,0.000285524891869453,0.000373201877449202,0.000459280956739245,0.000543762129739587,0.000626645396450222,0.000707930756871155,0.000787618211002382,0.000865707758843905,0.000942199400395729,0.00101709313565784,0.00116419220119576,0.00132092825626974,0.00148730130087977,0.00166331133502586,0.00184895835870801,0.00204424237192621,0.00224916337468049,0.00246372136697083,0.00268791634879719,0.00292174832015965,0.00343369339508276,0.00397848175422603,0.00455611339758949,0.00516658832517312,0.00580990653697697,0.006486068033001,0.00719507281324517,0.00793692087770958,0.00871161222639416,0.00951914685929891,0.0100628688355749,0.0106215299365489,0.0111951301622207,0.0117836695125905,0.0123871479876582,0.0130055655874239,0.0136389223118875,0.014287218161049,0.0149504531349084,0.0156286272334658,0.0159995168726357,0.0163704065118058,0.0167412961509757,0.0171121857901456,0.0174830754293157,0.0178539650684857,0.0182248547076556,0.0185957443468257,0.0189666339859956,0.23009792039359,0.441331202214757,0.652834703614662,0.75340953294666,1.51734906494596,1.28054366222299,1.68291117041648,1.18292438588863,1.06095354212536,1.38007870151731,1.20576366337793,1.26587608360775,1.39983451786379,1.35112415427194,1.32124872784291,1.19803759299967,1.13118407388994,1.37555900527691,1.28921756784284,1.64854882659902,1.82398594287795,1.61564302553952,1.64329434088838,1.66936059454668,1.69431286515571,1.7178768759931,1.74123439642024,1.76140398156247,1.78225973710788,1.80781106114858,1.83781227195724,1.8795285375831,1.92705106414949,1.98100675992892,2.02910550485133,2.06898568427223,2.10989437086084,2.13233037658177,2.16890363155222,2.21007542174327,2.28482258889257,2.43771697540821,2.61718110708027,2.83215970239728,3.058484206467,3.27324851313623,3.43063230091883,3.58769776433299,3.70324096342657,3.80783536530068,3.92406804338304,3.9323553420298,3.97242778476152,3.99275888313241,3.99772142015864,3.98375817932524,3.99745753137842,4.0078506166158,4.02015863158047,4.04138510507285,4.07727073124918,4.11313011395087,4.15577609848513,4.20112445352893,4.24852874008291,4.24710126976629,4.24745782267432,4.24887912984741,4.25136820069989,4.25318235627578
"CO2","afg","biomass","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
