"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"N2O","abw","biomass","ktN2O",0.000837507439072041,0.000855936422066268,0.000816528198063017,0.00081577270957667,0.000860674787161079,0.000843109855844976,0.000844156979326244,0.000826172894991325,0.00084032216422403,0.000838010791581813,0.000826285059595183,0.000855982213234179,0.000806117265046583,0.000799488538478167,0.000892386564689746,0.000916307097646364,0.000898266129740584,0.000878242338679481,0.000866841066521822,0.000901627886140651,0.000842045807157896,0.000941055982483455,0.000998485918788256,0.00122686141776434,0.00120422653813273,0.00131435724955484,0.0008910724303342,0.00146055941212785,0.00137933966039295,0.00274125232454826,0.00170368837175779,0.00183898163768893,0.00170890513511456,0.00160456126697393,0.00194480355507297,0.00159925508286277,0.00142996040926735,0.00139444452159699,0.00128310753423064,0.0013623470620306,0.00205726531277581,0.00122258382673107,0.00169838116385488,0.00140817645055274,0.00191497339935322,0.00191875297595527,0.00176497953830832,0.00172916352347962,0.00172916352347962,0.00172916352347962
"N2O","abw","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","diesel_oil","ktN2O",0.000591394513949824,0.000437482438058255,0.000614966844863646,0.000579617266040165,0.000449250142365422,0.000449296365190561,0.000674173723891514,0.000380873009196418,0.000258719951613338,0.000270500537271033,0.000310646459591523,0.000300415653865237,0.000290466704061062,0.000144362414473749,0.000575057665671209,0.000583776303573844,0.000128149954938406,0.000320754717724266,0.00041684028340771,0.000499074578601253,0.00143406371922658,0.00135691046945799,0.00112666829972842,0.00110623345885072,0.00112185664999586,0.001272000223521,0.00103215364294092,0.00144151444584454,0.00146867859468314,0.00370967742930826,0.00281254878566634,0.00311772828954335,0.00273239673406543,0.00238617351129661,0.00296817016143872,0.00236195960318704,0.00202714140775407,0.00233678211873865,0.0022433448113047,0.00240198119339647,0.00308018863707747,0.0030920859582223,0.00658255965077566,0.00788828346562002,0.00725227615898965,0.00722712559515114,0.00789350729273064,0.00727806654148046,0.00750514985291153,0.00730349560240768
"N2O","abw","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","heavy_oil","ktN2O",0.000228755028968534,0.000225251037853329,0.000198903041090424,0.000220298824747412,0.000161534144210892,0.000158893066395781,0.000332323629634145,0.000160446249337915,0.00017294905387457,0.000153105951528964,0.000167904555666027,0.00018896822446764,0.00020715241610908,8.95933603920164e-05,0.000232250388511102,0.000293271359790105,4.87707354821578e-05,0.000128825429116562,0.00018872230881656,0.00017548135158918,0.000538769352001986,0.00064431872398294,0.000573521634116368,0.000671990935193765,0.000642043889826713,0.00071797429696938,0.000487573426536273,0.000680585300206947,0.000666766652396887,0.000693962539250863,0.000695309751780805,0.000719075978053222,0.000747654558176448,0.000748409162711967,0.000724263404908776,0.000614003577408064,0.000646920003639521,0.00059314786931692,0.000642197172687867,0.000661945087158504,0.000697072865338943,0.000559372680816527,0.00108263952591469,0.00127341899725591,0.00122792538110774,0.00121966542327189,0.00122599976743892,0.000837052750056476,0.000863169674000763,0.000839977354449575
"N2O","abw","light_oil","ktN2O",0.000483973042561893,0.000451789072925135,0.00044651116752867,0.000554336337134394,0.000430660889767816,0.000453205271909338,0.00096901174784265,0.000505846835814097,0.00047211737654601,0.000529492750647161,0.000641509326785163,0.000836179809608406,0.000964328331203746,0.000506793102712908,0.00133303886573626,0.00152093945179829,0.000240810909673467,0.000640070297174662,0.000925181303180877,0.00104031441955705,0.00316438970155497,0.00343789226885565,0.0030756751480856,0.00311415000036527,0.00317922394698461,0.00364894897736035,0.00268282382790368,0.00433808280115609,0.00528697603642512,0.00812816900329205,0.00857886903804749,0.00936324172472497,0.00874283895082126,0.00866494725060796,0.00928832195512055,0.00865297001230227,0.00857764002768427,0.00797274219194949,0.00816523414243639,0.0086010637728214,0.00794925518698871,0.0073919586541224,0.0133573823678377,0.0147880474451694,0.0144836880626379,0.0127305386289127,0.0121249881889693,0.0119888720443023,0.0123629374294739,0.0120307603337162
"N2O","abw","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","abw","process","ktN2O",0.00306425312528411,0.00310660608587815,0.00315887950347084,0.00311899257973317,0.00310409614669976,0.00318168702490838,0.00323319734315884,0.00342805114944635,0.00358941676894189,0.0035980073678125,0.00377381631348463,0.00386983655628563,0.00391314415061856,0.00393885198184259,0.00413763097066861,0.00426833558758619,0.00443582790590001,0.00448649712689604,0.00757495547109602,0.00789832777337086,0.0133790730824949,0.00952259483833919,0.00980496611811813,0.0111629550229554,0.0113678830853995,0.0129318818486416,0.0102473526711277,0.0142343086752225,0.0155323739496959,0.0154427607713128,0.0148947291884569,0.0155119912004804,0.0149409466206063,0.0148752643730796,0.0158463326318719,0.0146339902169951,0.0149020484819184,0.0137674509367608,0.0141250957889284,0.0146133764169878,0.0151223683120778,0.0150281477484717,0.0221938312201266,0.0257614247657665,0.0254676125065008,0.0255456422265008,0.0256273234801127,0.0256983031791071,0.0257612021123697,0.0258192962660082
"N2O","afg","biomass","ktN2O",0.0219504515683359,0.0226950865302013,0.0230322371766758,0.02344561838787,0.0237773570061071,0.0241146864250978,0.0245381231459,0.0248356404283785,0.0252008336585708,0.0260143412450237,0.0260835102576476,0.0257944274601071,0.0252627426250856,0.024798566994124,0.024077082094636,0.0237842313935402,0.0235794075135253,0.0236518219727209,0.0234693146032255,0.0235291307143914,0.0249557300583176,0.0255743770009125,0.0262779066574232,0.0254979594297207,0.0228056621260106,0.0314141861159168,0.0361372179057581,0.0392605351366402,0.0400409952695751,0.0414788891720513,0.0363488264492627,0.036602606773026,0.0374858530607491,0.037600631562111,0.038863628613988,0.0395020967556445,0.0399412207900593,0.0406357290722256,0.0428693179467071,0.0434867749389385,0.0444840940598902,0.084199020748426,0.084525441517771,0.0515377661725723,0.117136556036217,0.118149011377144,0.117887459871342,0.120839162412076,0.120839162412076,0.120839162412076
