emission_experiment,CO2,CH4_lifetime,Strat_H2O,Aerosol,Cloud,O3,HC,N2O,HFCs
CO2,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4,0.01754907653242457,0.8444565783078388,0.05,-0.002653258068280324,0.01842086163862133,0.2667358153954373,0.0,0.0,0.0
N2O,0.0,-0.03596730476876493,0.0,-0.0020904455899627967,0.042502981339624865,0.02612382400013067,0.0,0.21,0.0
HC,5.3086374003635685e-05,-0.0509267637641754,0.0,-0.008080376844308259,-0.01741925485299155,-0.16203265013389953,0.41,0.0,0.03977237628402638
NOx,0.0,-0.3800247113463441,0.0,-0.009165800599513848,-0.014457980890438276,0.1371023996751788,0.0,0.0,0.0
VOC,0.06949065814324296,0.1624622015714456,0.0,-0.0025728561478319464,0.008883819797349297,0.20207061106315274,0.0,0.0,0.0
SO2,0.0,0.0,0.0,-0.234227554656136,-0.7037843805039116,0.0,0.0,0.0,0.0
OC,0.0,0.0,0.0,-0.07214335030979308,-0.13691861085850346,0.0,0.0,0.0,0.0
BC,0.0,0.0,0.0,0.14470238126666668,-0.03722743566975061,0.0,0.0,0.0,0.0
NH3,0.0,0.0,0.0,-0.03376873905084049,0.0,0.0,0.0,0.0,0.0
