type,var,r,g,b
chem_cat,co2,244,203,54
chem_cat,ch4,255,107,19
chem_cat,n2o,211,0,40
chem_cat,GHG general,0,112,192
chem_cat,aerosol-total,143,0,165
chem_cat,aerosol-total-with_bc-snow,143,0,165
chem_cat,o3,134,199,75
chem_cat,bc_on_snow,138,57,0
chem_cat,HFCs,55,126,184
chem_cat,WMGHG,79,82,183
chem_cat,H2O_strat,122,129,129
chem_cat,aci,143,0,165
chem_cat,ari,202,178,214

,,,,
ssp_cat_1,SSP1,30,150,132
ssp_cat_1,SSP2,69,118,191
ssp_cat_1,SSP3,242,17,17
ssp_cat_1,SSP4,232,136,49
ssp_cat_1,SSP5,128,54,168
,,,,
ssp_cat_2,ssp119,30,150,132
ssp_cat_2,ssp126,29,51,84
ssp_cat_2,ssp334,48,79,191
ssp_cat_2,ssp245,234,221,61
ssp_cat_2,ssp370,242,17,17
ssp_cat_2,ssp3low,242,17,17
ssp_cat_2,ssp434,99,189,229
ssp_cat_2,ssp460,232,136,49
ssp_cat_2,ssp534os,154,109,201
ssp_cat_2,ssp585,132,11,34
,,,,
cmip_cat,CMIP6,204,35,35
cmip_cat,CMIP5,37,81,204
,,,,
rcp_cat,RCP,,,
rcp_cat,8.5,153,0,2
rcp_cat,6.0,196,121,0
rcp_cat,4.5,112,160,205
rcp_cat,2.6,0,52,102
,,,,
spectrum_cat,Spectrum,127,68,170
spectrum_cat,,48,79,191
spectrum_cat,,54,156,232
spectrum_cat,,36,147,126
spectrum_cat,,236,209,81
spectrum_cat,,237,128,55
spectrum_cat,,204,64,74
,,,,
dark_cat,Dark,221,84,46
dark_cat,,33,52,219
dark_cat,,53,165,197
dark_cat,,170,24,24
dark_cat,,8,46,114
dark_cat,,236,156,46
dark_cat,,50,127,81
dark_cat,,128,54,168
,,,,
bright_cat,Bright,242,83,197
bright_cat,,137,88,232
bright_cat,,247,242,79
bright_cat,,78,188,249
bright_cat,,244,127,81
bright_cat,,93,237,86
,,,,
contrast_cat,contrast,124,130,130
contrast_cat,,159,0,159
contrast_cat,,0,159,0
contrast_cat,,0,159,159
,,,,
green-blue_cat,green-blue,51,34,136
green-blue_cat,,17,119,51
green-blue_cat,,136,204,238
green-blue_cat,,153,153,51
green-blue_cat,,68,170,153
green-blue_cat,,102,153,204
,,,,
red-yellow_cat,red-yellow,196,42,51
red-yellow_cat,,241,197,53
red-yellow_cat,,131,60,11
red-yellow_cat,,221,79,97
red-yellow_cat,,245,119,42
