# Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
            CO2,    2.058,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    2.058
            CH4,    0.018,    0.000,    0.844,    0.190,    0.089,    0.050,   -0.003,    0.018,    1.205
            N2O,    0.000,    0.210,   -0.036,    0.039,   -0.015,    0.000,   -0.003,    0.041,    0.236
             HC,    0.000,    0.410,   -0.051,   -0.144,   -0.021,    0.000,   -0.011,   -0.017,    0.167
            NOx,    0.000,    0.000,   -0.380,    0.256,   -0.135,    0.000,   -0.012,   -0.014,   -0.286
            VOC,    0.069,    0.000,    0.162,    0.140,    0.071,    0.000,   -0.003,    0.009,    0.448
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.215,   -0.654,   -0.869
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.066,   -0.127,   -0.193
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.124,   -0.058,    0.065
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.031,    0.000,   -0.031
