# Species,CO2_sd,GHG_sd,CH4_lifetime_sd,O3_sd,O3_prime_sd,Strat_H2O_sd,Aerosol_sd,Cloud_sd,Total_sd
            CO2,    0.247,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.247
            CH4,    0.002,    0.090,    0.047,    0.037,    0.023,    0.050,    0.003,    0.093,    0.183
            N2O,    0.000,    0.029,    0.029,    0.015,    0.004,    0.000,    0.003,    0.042,    0.062
             HC,    0.000,    0.057,    0.033,    0.078,    0.005,    0.000,    0.003,    0.050,    0.117
            NOx,    0.000,    0.000,    0.108,    0.088,    0.034,    0.000,    0.006,    0.057,    0.173
            VOC,    0.008,    0.000,    0.059,    0.057,    0.018,    0.000,    0.007,    0.099,    0.138
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.205,    0.345,    0.401
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.060,    0.120,    0.134
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.136,    0.164,    0.213
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.004,    0.000,    0.004
