# Experiment,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
CH4,0.01754907653242457,0.47953079716597174,0.22560104527835215,0.1393461,0.0886341305514085,0.05,-0.0055,0.017625,1.012786149528157
N2O,0.0,0.19005674410124157,-0.03193968579199501,0.03022398,-0.011323310301026663,,-0.004333333,0.040666667,0.2133510620082199
HC,5.3086374003635685e-05,0.397,-0.04522398449058917,-0.11201344,-0.015946636140662836,,-0.01675,-0.016666667,0.19045235874275165
NOx,0.0,0.0,-0.3374695421753346,0.1988048,-0.10532489666405077,,-0.019,-0.013833333,-0.27682297183938537
VOC,0.06949065814324296,0.0,0.1442696833868409,0.109047333,0.054889029327467885,,-0.005333333,0.0085,0.38086337085755173
SO2,0.0,0.0,0.0,0.0,0.0,,-0.34246634945917137,-0.7790883435099804,-1.1215546929691518
OC,0.0,0.0,0.0,0.0,0.0,,-0.1054814829733432,-0.1515687143455242,-0.2570501973188674
BC,0.0,0.0,0.0,0.0,0.0,,0.197321429,-0.0693429421444954,0.1279784868555046
NH3,0.0,0.0,0.0,0.0,0.0,,-0.04937359656748545,0.0,-0.04937359656748545
CO2,1.7491996244702854,,,,,,,,1.7491996244702854
