# Species,CO2_sd,GHG_sd,CH4_lifetime_sd,O3_sd,O3_prime_sd,Strat_H2O_sd,Aerosol_sd,Cloud_sd,Total_sd
            CO2,    0.247,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.247
            CH4,    0.002,    0.076,    0.124,    0.037,    0.034,    0.050,    0.002,    0.093,    0.237
            N2O,    0.000,    0.029,    0.029,    0.015,    0.003,    0.000,    0.002,    0.042,    0.062
             HC,    0.000,    0.057,    0.033,    0.078,    0.005,    0.000,    0.002,    0.050,    0.117
            NOx,    0.000,    0.000,    0.108,    0.088,    0.030,    0.000,    0.005,    0.057,    0.170
            VOC,    0.008,    0.000,    0.059,    0.057,    0.016,    0.000,    0.005,    0.099,    0.137
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.224,    0.355,    0.420
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.065,    0.124,    0.140
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.159,    0.100,    0.188
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.005,    0.000,    0.005
