emission_experiment,Carbon dioxide (CO$_2$),WMGHG,Methane (CH$_4$),Ozone (O$_3$),H$_2$O (strat),Aerosol-radiation,Aerosol-cloud
Ammonia,0.0,0.0,0.0,0.0,0.0,-0.030953762808309592,0.0
Black carbon,0.0,0.0,0.0,0.0,0.0,0.12370661922337993,-0.05824807140137614
Organic carbon,0.0,0.0,0.0,0.0,0.0,-0.06612945038676363,-0.12731772005024036
SO$_2$,0.0,0.0,0.0,0.0,0.0,-0.21470224751598915,-0.6544342085483835
NMVOC + CO,0.06949065814324296,0.0,0.1624622015714456,0.21085999020037186,0.0,-0.0033436236396934193,0.0085
NO$_x$,0.0,0.0,-0.3800247113463442,0.1202367261387458,0.0,-0.011911659960886552,-0.013833333
CFC + HCFC,5.3086374003635685e-05,0.0,-0.05092676376417541,-0.1645861846511045,0.0,-0.010501068649728936,-0.016666667
N$_2$O,0.0,0.0,-0.03596730476876494,0.02431062255453146,0.0,-0.002716694168067811,0.040666667000000004
CH$_4$,0.01754907653242457,0.0,0.8444565783078392,0.2791788457574553,0.05,-0.0034481120939408444,0.017625
CO$_2$,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0
