# Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
            CO2,    1.749,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    1.749
            CH4,    0.018,    0.480,    0.226,    0.139,    0.089,    0.050,   -0.005,    0.018,    1.063
            N2O,    0.000,    0.190,   -0.032,    0.030,   -0.011,    0.000,   -0.004,    0.041,    0.213
             HC,    0.000,    0.397,   -0.045,   -0.112,   -0.016,    0.000,   -0.017,   -0.017,    0.190
            NOx,    0.000,    0.000,   -0.337,    0.199,   -0.105,    0.000,   -0.019,   -0.014,   -0.277
            VOC,    0.069,    0.000,    0.144,    0.109,    0.055,    0.000,   -0.005,    0.009,    0.381
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.342,   -0.779,   -1.122
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.105,   -0.152,   -0.257
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.197,   -0.069,    0.128
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.049,    0.000,   -0.049
