# Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
            CO2,    2.058,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    2.058
            CH4,    0.018,    0.540,    0.270,    0.179,    0.078,    0.050,   -0.003,    0.018,    1.149
            N2O,    0.000,      nan,   -0.032,    0.039,   -0.011,    0.000,   -0.003,    0.041,      nan
             HC,    0.000,    0.410,   -0.045,   -0.144,   -0.016,    0.000,   -0.011,   -0.017,    0.178
            NOx,    0.000,    0.000,   -0.337,    0.256,   -0.105,    0.000,   -0.012,   -0.014,   -0.213
            VOC,    0.069,    0.000,    0.144,    0.140,    0.055,    0.000,   -0.003,    0.009,    0.414
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.215,   -0.654,   -0.869
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.066,   -0.127,   -0.193
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.124,   -0.058,    0.065
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.031,    0.000,   -0.031
