Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
CO2,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0575541755746745
CH4,0.01754907653242457,0.0,0.844456578307839,0.1901607812729814,0.08901806448447393,0.05,-0.0034481120939408444,0.017625,1.2053613885037782
N2O,0.0,0.20999999999999996,-0.03596730476876494,0.038875012450782065,-0.014564389896250605,0.0,-0.002716694168067811,0.040666667,0.23629329061769866
HC,5.3086374003635685e-05,0.41,-0.05092676376417541,-0.14407513089457213,-0.020511053756532362,0.0,-0.010501068649728936,-0.016666667,0.16737240230899475
NOx,0.0,0.0,-0.3800247113463442,0.25570884692470147,-0.13547212078595566,0.0,-0.011911659960886552,-0.013833333,-0.28553297816848494
VOC,0.06949065814324296,0.0,0.1624622015714456,0.1402600328646187,0.07059995733575314,0.0,-0.0033436236396934193,0.0085,0.44796922627536695
SO2,0.0,0.0,0.0,0.0,0.0,0.0,-0.21470224751598915,-0.6544342085483835,-0.8691364560643726
OC,0.0,0.0,0.0,0.0,0.0,0.0,-0.06612945038676363,-0.12731772005024034,-0.19344717043700396
BC,0.0,0.0,0.0,0.0,0.0,0.0,0.12370661922337993,-0.05824807140137614,0.06545854782200379
NH3,0.0,0.0,0.0,0.0,0.0,0.0,-0.030953762808309592,0.0,-0.030953762808309592
