Species,CO2_sd,GHG_sd,CH4_lifetime_sd,O3_sd,O3_prime_sd,Strat_H2O_sd,Aerosol_sd,Cloud_sd,Total_sd
CO2,0.24690650106896092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24690650106896092
CH4,0.002105889183890948,0.08994150598246772,0.04712359504445575,0.0366930158789592,0.022592374118977167,0.05,0.002855799786949988,0.092580961,0.1827167865525487
N2O,0.0,0.0294,0.02854825302892972,0.015462379224266734,0.003696374969016933,0.0,0.002626793735695642,0.042168972,0.061899457656017745
HC,6.370364880436282e-06,0.0574,0.03263948857036978,0.07773503902710074,0.0052056108243384,0.0,0.0025610282071926445,0.049553562,0.11705281724444637
NOx,0.0,0.0,0.10771075661652789,0.08830287678944149,0.03438219931215639,0.0,0.00590335472980927,0.057188043,0.173085403336606
VOC,0.008338878977189155,0.0,0.05904146992359802,0.057143343928417384,0.01791794348877757,0.0,0.006581930024377924,0.098979375,0.13794878549772926
SO2,0.0,0.0,0.0,0.0,0.0,0.0,0.2052422522072814,0.34500881100579933,0.4014417289753927
OC,0.0,0.0,0.0,0.0,0.0,0.0,0.06000390077464573,0.12019684078967126,0.1343419094846843
BC,0.0,0.0,0.0,0.0,0.0,0.0,0.1359157475435116,0.16405525205280833,0.21304275663918276
NH3,0.0,0.0,0.0,0.0,0.0,0.0,0.004421966115472799,0.0,0.004421966115472799
