Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, percentile p95-p50 warming for SSP scenarios for forcing agent Aerosols (aerosol-total-with_bc-snow), relative to year 2019",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585,ssp334,ssp534-over,ssp434,ssp460
2020,,,,,,,,,,,
2021,-0.0062478677026280615,-0.0059518598443558685,-0.005656632014642808,-0.009442346734872063,-0.006353098150698001,-0.006353098150598009,-0.005435641830839859,-0.007134246483021522,-0.005435641830303825,-0.009391039154511682,-0.009283135408502828
2022,-0.013711909048267029,-0.012682651269960262,-0.009841826500402984,-0.017297192383987227,-0.010737547545706555,-0.010737547545072236,-0.01008437702552146,-0.012710261959171036,-0.01008437702373138,-0.016648210331132417,-0.016352516842334158
2023,-0.0225375296085919,-0.02057434340605507,-0.013056874327909621,-0.02401233020629358,-0.013654253742026433,-0.013654253743913942,-0.014070060023816127,-0.017299437445819587,-0.014070060023873442,-0.022463009995762704,-0.021684356544376646
2024,-0.03222519086205763,-0.02889923994370065,-0.015302506682048729,-0.02968475508860405,-0.015641172254337612,-0.01564117225264177,-0.018101052506240452,-0.020701417064384796,-0.01810105250018996,-0.02746886424849119,-0.02579267649534877
2025,-0.04250890660660025,-0.03758307007129753,-0.01726570938398677,-0.03436543408621509,-0.017224468300813468,-0.017224468300261166,-0.022663065095916868,-0.023544865129443482,-0.022663065116272956,-0.03156994266675698,-0.029148282100761442
2026,-0.05343449841147683,-0.04663968996202435,-0.018498454413406334,-0.038729199083043966,-0.018270055669288895,-0.01827005566102953,-0.027254454071685086,-0.02597776712052062,-0.027254454074495983,-0.034927758325639546,-0.03172007380294601
2027,-0.06476429128409567,-0.05650373085256016,-0.01942855967832233,-0.04280263051812476,-0.019005784801437033,-0.019005784806436533,-0.03240431358355709,-0.027802226848699547,-0.03240431358425858,-0.03806988435731415,-0.03350265768260381
2028,-0.0768342058506622,-0.06629859366648817,-0.020236432044910296,-0.04642128962136453,-0.019872200643934235,-0.019872200644303006,-0.03823216440686616,-0.02908384816395308,-0.038232164406768125,-0.040946950207615275,-0.0351635947859198
2029,-0.08981012073942309,-0.07688968691448114,-0.020887902807857905,-0.0498587557800833,-0.02100692971362285,-0.021006929715544846,-0.0440672334583259,-0.030297398171388705,-0.04406723346007475,-0.043665981514592375,-0.036424237791752766
2030,-0.10299044965007281,-0.08724804530339908,-0.021422453916279848,-0.05310608410772463,-0.022448490093285412,-0.02244849009493254,-0.04930030702935526,-0.03129909170220624,-0.049300307027417264,-0.045852453611081964,-0.03745315945213802
2031,-0.11574279893491575,-0.09700564768262304,-0.022046202662858717,-0.055889864084792434,-0.02408613823281747,-0.024086138233087997,-0.054267191887969746,-0.0313145788759307,-0.054267191886826036,-0.04814270252621238,-0.03828927786172992
2032,-0.12598394990651626,-0.10539345639780967,-0.022878210012043147,-0.058580610540134845,-0.02555043863228221,-0.025550438629348166,-0.05921865481734163,-0.030510183935014732,-0.05921865481268361,-0.05062019075956802,-0.038917438195386254
2033,-0.1348127828794126,-0.11351526313579963,-0.02400939182665607,-0.0609624352267126,-0.027426822081984995,-0.02742682208779476,-0.06396107765519765,-0.029001188485785784,-0.06396107765325454,-0.05300746738892364,-0.03949561044345347
2034,-0.14278438822880998,-0.1206545367067693,-0.02547907760423531,-0.0630073032859318,-0.029675095557057697,-0.029675095556189062,-0.06811962829334448,-0.02672935435708078,-0.06811962828789325,-0.05498958009680171,-0.040057553844417546
2035,-0.1493935362278717,-0.12705610447731375,-0.027081484416392895,-0.06503197330427804,-0.03200705007710935,-0.03200705007870208,-0.07186052634577568,-0.02450531722274273,-0.07186052635181825,-0.056600100853194474,-0.040606669249176434
