Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, percentile p95-p50 warming for SSP scenarios for forcing agent Ozone (O$_3$) (o3), relative to year 2019",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585,ssp334,ssp534-over,ssp434,ssp460
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.0013964069448819997,-0.001410117789068,-0.000501218634325,-0.0025614897553220004,-0.0012738840251040001,-0.001223998444454,-0.001476507229609,-0.000575698214945,-0.001498463055148,-0.001608067445014,-0.0016446742118920003
2022,-0.003358717041893,-0.003133163043713,-0.001004168762438,-0.004831529045515999,-0.00211847206074,-0.0019815130801819998,-0.002607500525858,-0.0009080261306280001,-0.0026681005100439997,-0.0030003833619410003,-0.0031687698712049997
2023,-0.005742715181769,-0.005051703313804999,-0.0014978893958949998,-0.006855624324183001,-0.002667158722975,-0.0023639410028589995,-0.003554554213281,-0.0010987341908298028,-0.0036444003477119997,-0.004207894588625999,-0.004553310779390001
2024,-0.00850246158251,-0.0071684074664159995,-0.0019896496257980002,-0.008742916113358,-0.003061616866349,-0.0025353046195919996,-0.004334624078418,-0.001277628071649,-0.0044565943432059996,-0.0053021272324890005,-0.0058655864709649995
2025,-0.011588192453232997,-0.009520067336661997,-0.0024758272545799998,-0.010655152369601,-0.0033276688144309994,-0.002514515526132,-0.005001350294397001,-0.0016118215047190001,-0.005181641927978001,-0.006208534629716001,-0.007152872904619001
2026,-0.014952975485692004,-0.011824701323095998,-0.002967692367016,-0.012541649646807998,-0.003522648138715,-0.002404412683826,-0.005634677425257001,-0.002130091694688,-0.0058455073347940005,-0.007081480345953001,-0.008381947231519998
2027,-0.018555894882071003,-0.014307138295440003,-0.0034797769315850005,-0.014366765638799002,-0.003670396567755,-0.0022114940786169914,-0.006236847702506001,-0.002786034442762,-0.006519821661765,-0.007788217692778001,-0.009578649907414
2028,-0.022390870452319002,-0.017111776196914,-0.003990155219534001,-0.016218007776797,-0.003720535589838,-0.0025492496041909997,-0.006825264556301,-0.0035862062778550005,-0.007161772086907,-0.008419454812969998,-0.010756283789876002
2029,-0.026651420652675,-0.019910891220113004,-0.004507025012818,-0.018052223242697,-0.003804368939133,-0.0032132939538729996,-0.007425720686096,-0.004394487914545,-0.007797829805887,-0.009006840513557999,-0.011960745694309
2030,-0.031046149648311996,-0.023089756074121004,-0.005037115177976001,-0.019848050661129,-0.0038341248266030004,-0.004162701230201999,-0.008033358285169,-0.005321122657403,-0.008424307025836998,-0.009471889495003,-0.013148258885808
2031,-0.035220578955203,-0.026106483143193998,-0.0054981781803439995,-0.021543674296798997,-0.0038892277847840002,-0.005570326972770999,-0.008709611779814998,-0.005956788859924,-0.009144624458827999,-0.009805760182078,-0.014315327030363
2032,-0.03920289406250499,-0.028638076930916995,-0.005875516078030999,-0.02321035237958,-0.003955453135031,-0.006914010628177,-0.009478541190478,-0.006183043559695,-0.010017281721028998,-0.010211343530071998,-0.015454831717756001
2033,-0.04291460582066001,-0.031091443988975002,-0.006184208744157001,-0.024903092069644,-0.004092435024737,-0.008400678518101999,-0.010384932275055998,-0.005821553772697,-0.010966166266345998,-0.010506079197474,-0.016552500269080003
2034,-0.045981803402633,-0.033398447807729,-0.00639931920991,-0.026655065432753002,-0.004162890133222,-0.010245380628941002,-0.01142025583547,-0.005240967078297999,-0.011988634329177,-0.010783919489529,-0.017637806826111
2035,-0.048835723295667016,-0.035634985138076,-0.006523381125477,-0.028261452340209,-0.004246432014601,-0.012261486349168002,-0.012531010108866,-0.004477108575304999,-0.013161669666080998,-0.011050493669312,-0.018728165078183003
2036,-0.05197588325929299,-0.037706191502044996,-0.006631460937549001,-0.029915901228342003,-0.004323611614898,-0.014393336348584997,-0.013671556484434001,-0.0036729100334810002,-0.014339441958248999,-0.011318773475627002,-0.019713093137516003
