Conventions,G,BADC-CSV,1,,
activity,G,IPCC AR6,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,
last_revised_date,G,2021-06-29,,,
location,G,global,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,
source,G,IPCC AR6 output,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,
title,G,"Data for Figure 6.24, warming for SSP scenarios in year 2100 relative to year 2019 ",,,
comments,G,This data is based on the AR6 forcing time series.,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,
metdb_short_name,scenario,scenario,degrees C,,
long_name,scenario,scenario,degrees C,,
type,scenario,float,,,
metdb_short_name,scenario_total,scenario_total,degrees C,,
long_name,scenario_total,scenario_total,degrees C,,
type,scenario_total,float,,,
metdb_short_name,aerosol-total-with_bc-snow,aerosol-total-with_bc-snow,degrees C,,
long_name,aerosol-total-with_bc-snow,aerosol-total-with_bc-snow,degrees C,,
type,aerosol-total-with_bc-snow,float,,,
metdb_short_name,ch4,ch4,degrees C,,
long_name,ch4,ch4,degrees C,,
type,ch4,float,,,
metdb_short_name,o3,o3,degrees C,,
long_name,o3,o3,degrees C,,
type,o3,float,,,
metdb_short_name,HFCs,HFCs,degrees C,,
long_name,HFCs,HFCs,degrees C,,
type,HFCs,float,,,
data,,,,,
scenario,scenario_total,aerosol-total-with_bc-snow,ch4,o3,HFCs
SSP1-1.9,0.196751840823981,0.39076812384747545,-0.13640400810610187,-0.13024197228192141,-0.0009361357184427647
SSP1-2.6,0.5766622037997109,0.3981946661701703,-0.12949863776784337,-0.12886312589595228,0.0012444385903478492
SSP2-4.5,1.6451678496930255,0.2587946342749744,0.008605923947457683,-0.03545457933400023,0.05375574924825949
SSP3-3.4,0.862184720581308,0.2649481743101407,0.004981186976882879,-0.05908507030123794,-0.0009361357184427647
SSP3-7.0,2.843731612347189,-0.032590073021183996,0.25361478461266174,0.21727090745536193,0.08793570911234093
SSP3-7.0-LowSLCF-HighCH$_4$,3.0466612549498127,0.25230296277019504,0.25361478461266174,0.14478681738317473,0.08793570911234093
SSP3-7.0-LowSLCF-LowCH$_4$,2.4034912116407723,0.25230296277019504,-0.10100181248965034,-0.08240588599078702,0.07645128269955766
SSP5-8.5,3.718986983614384,0.22034809947645928,0.1422975398527091,0.055320909852414446,0.20014478832369273
end_data,,,,,
