Conventions,G,BADC-CSV,1,,,,,,
activity,G,IPCC AR6,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,
title,G,"Data for Figure 6.12,  emission based ERF for the historical period",,,,,,,
last_revised_date,G,2021-06-29,,,,,,,
location,G,global,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,
source,G,IPCC AR6 output,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,
comments,G,"This data is based on various input datasets,",,,,,,,
comments,G,please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,
metdb_short_name,emission_experiment,emission_experiment,W/m2,,,,,,
long_name,emission_experiment,emission_experiment,W/m2,,,,,,
type,emission_experiment,float,,,,,,,
metdb_short_name,CO2,CO2,W/m2,,,,,,
long_name,CO2,CO2,W/m2,,,,,,
type,CO2,float,,,,,,,
metdb_short_name,N2O,N2O,W/m2,,,,,,
long_name,N2O,N2O,W/m2,,,,,,
type,N2O,float,,,,,,,
metdb_short_name,HC,HC,W/m2,,,,,,
long_name,HC,HC,W/m2,,,,,,
type,HC,float,,,,,,,
metdb_short_name,HFCs,HFCs,W/m2,,,,,,
long_name,HFCs,HFCs,W/m2,,,,,,
type,HFCs,float,,,,,,,
metdb_short_name,CH4_lifetime,CH4_lifetime,W/m2,,,,,,
long_name,CH4_lifetime,CH4_lifetime,W/m2,,,,,,
type,CH4_lifetime,float,,,,,,,
metdb_short_name,O3,O3,W/m2,,,,,,
long_name,O3,O3,W/m2,,,,,,
type,O3,float,,,,,,,
metdb_short_name,Strat_H2O,Strat_H2O,W/m2,,,,,,
long_name,Strat_H2O,Strat_H2O,W/m2,,,,,,
type,Strat_H2O,float,,,,,,,
metdb_short_name,Aerosol,Aerosol,W/m2,,,,,,
long_name,Aerosol,Aerosol,W/m2,,,,,,
type,Aerosol,float,,,,,,,
metdb_short_name,Cloud,Cloud,W/m2,,,,,,
long_name,Cloud,Cloud,W/m2,,,,,,
type,Cloud,float,,,,,,,
data,,,,,,,,,
emission_experiment,CO2,N2O,HC,HFCs,CH4_lifetime,O3,Strat_H2O,Aerosol,Cloud
CO2,1.7031441207959122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4,0.014957536312985586,0.0,0.0,0.0,0.7197523990189137,0.22734590263934945,0.04261630600718317,-0.002261441155077219,0.01373800883888067
n2o,0.0,0.17681937680168977,0.0,0.0,-0.030284363878330743,0.02199618228276248,0.0,-0.0017601489831192642,0.03131396113619296
HC,5.163944822315211e-05,0.0,0.39882501242300633,0.03868833772090067,-0.04953870046563592,-0.15761627732337832,0.0,-0.007860137549545832,-0.014826415162197237
NOx,0.0,0.0,0.0,0.0,-0.39088712968054445,0.14102125962146594,0.0,-0.009427790826746798,-0.01301233491452576
VOC,0.06359181469345752,0.0,0.0,0.0,0.14867129615791522,0.1849174723202883,0.0,-0.0023544544800337083,0.007113487736923655
SO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24454115514299274,-0.6429269815355363
OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05418611061376541,-0.08998336078173533
BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309672569759407,-0.029482087335620268
NH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030327824216890016,0.0
end_data,,,,,,,,,
