Species,std,SE,95-50_SE,95-50,95-50_period
CO$_2$,0.2469065010689609,,0.2469065010689609,0.2469065010689609,0.20437729449550943
CH$_4$,0.2365378254889447,0.08362875020517649,0.13756929408751534,0.38910472292931403,0.33100482162642375
N$_2$O,0.061735784391397264,0.027609082108686952,0.04541694006879004,0.1015553653238485,0.08362087671303677
CFC + HCFC + HFC,0.11658303095141336,0.047594823083010135,0.07829348397155167,0.19177908591507498,0.18847372094996542
NO$_x$,0.17003639034153528,0.07604258549047231,0.12509005313182694,0.2797098621118255,0.28575422597359024
NMVOC + CO,0.13668318680833275,0.06112657941694691,0.10055322314087767,0.22484384229970736,0.20523865649479414
SO$_2$,0.4197098447585968,0.1713458266135505,0.2818638847792906,0.6904226946278917,0.6532199851139824
Organic carbon,0.13993173953912447,0.05712689344848212,0.09397373972275308,0.23018771154185974,0.15873782351068122
Black carbon,0.18798953686220912,0.07105336623137357,0.11688278745060952,0.309242788138334,0.2920081200316984
Ammonia,0.0048241055786915,0.0034111577678526133,0.005611354528117549,0.007935653676947516,0.00712703869096917
