emission_experiment,Carbon dioxide (CO$_2$),N$_2$O,CFC + HCFC,HFC,Methane (CH$_4$),Ozone (O$_3$),H$_2$O (strat),Aerosol-radiation,Aerosol-cloud
CO$_2$,0.9513829471348234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH$_4$,0.00878171520178327,0.0,0.0,0.0,0.42257364125514313,0.13347699296827575,0.025020448185856744,-0.0013277141204222841,0.006963235117452673
N$_2$O,0.0,0.09895117903412567,0.0,0.0,-0.016947653397852484,0.012309443741394855,0.0,-0.0009850097896833675,0.015128543262980973
CFC + HCFC + HFC,2.505986214045571e-05,0.0,0.19354389276772185,0.018774879343007526,-0.02404040025605041,-0.07648885332289083,0.0,-0.003814408754823367,-0.006211567755237901
NO$_x$,0.0,0.0,0.0,0.0,-0.19694084114102314,0.07105080566688311,0.0,-0.0047500081597431024,-0.005659885371906355
NMVOC + CO,0.039133901655126646,0.0,0.0,0.0,0.09149114411705314,0.11379675530538481,0.0,-0.001448912733773464,0.003779222865343088
SO$_2$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1426852295371854,-0.3238595413372748
Organic carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03837669758631403,-0.055018635545861214
Black carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778086165012019,-0.01512137123549648
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01624995769102504,0.0
