emission_experiment,Carbon dioxide (CO$_2$),N$_2$O,CFC + HCFC,HFC,Methane (CH$_4$),Ozone (O$_3$),H$_2$O (strat),Aerosol-radiation,Aerosol-cloud
CO$_2$,0.9513829471348234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH$_4$,0.008781715201783266,0.0,0.0,0.0,0.42257364125514313,0.13970359689723397,0.025020448185856737,-0.0017254661997094572,0.00698272962580688
N$_2$O,0.0,0.09895117903412569,0.0,0.0,-0.016947653397852487,0.01145507030868808,0.0,-0.0012800956714544912,0.015170897643962303
CFC + HCFC + HFC,2.5023892392141276e-05,0.0,0.19326608896051684,0.018747930763609255,-0.024005893795410613,-0.07758275171817663,0.0,-0.00495000114107075,-0.006220017116873797
NO$_x$,0.0,0.0,0.0,0.0,-0.1969408411410232,0.06231047948938924,0.0,-0.006172999444619964,-0.005675730978266813
NMVOC + CO,0.03913390165512664,0.0,0.0,0.0,0.09149114411705314,0.11874652420894787,0.0,-0.0018829730813283742,0.0037898033053940326
SO$_2$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13079092899186348,-0.31562983380819715
Organic carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035177599988692076,-0.05362053784794655
Black carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06651888386047917,-0.02479731082387888
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0148953544062089,0.0
