,,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP3-7.0-LowSLCF-HighCH$_4$,SSP3-7.0-LowSLCF-LowCH$_4$,SSP5-8.5,stats,variable
2040,Scenario total,0.4414508827321313,0.5492579210035708,0.631924727948483,0.5420387625911944,0.7001907036710473,0.7998164457342556,0.6060252695770094,0.8998995722103791,mean,total anthropogenic
2100,Scenario total,0.15406340647889283,0.587645322352089,1.8201811449984637,0.9193424766537679,3.2289057539457735,3.4587409397109576,2.7216041307459724,4.231024462155483,mean,total anthropogenic
2040,Aerosols,0.2919003730110815,0.2447111035176862,0.05672483065496381,0.052234055070925156,-0.061393973717445816,0.08657723691972552,0.08657723691972552,0.14322137931713552,mean,total slcf
2040,Methane (CH$_4$),-0.030381023533976537,-0.018501957103400246,0.04619634324637839,0.05280613667688139,0.08163934032980907,0.08163934032980907,-0.03264030850043542,0.06632948884776674,mean,total slcf
2040,Ozone (O$_3$),-0.08753357179602181,-0.06433417648560777,0.014479238010481732,-0.0233704306389749,0.07454857435383705,0.026156070819033428,-0.043732827679095226,0.04194364129397682,mean,total slcf
2040,HFCs,0.0068127815379841455,0.018658963069833633,0.0303214735069575,0.0068127815379841455,0.02816372888960806,0.02816372888960806,0.028168381920287824,0.044350387143413786,mean,total slcf
2100,Aerosols,0.44527568407656987,0.45409849767323973,0.2961924473097591,0.30294917874359256,-0.03540995501222288,0.2879029841027276,0.2879029841027276,0.25467910514382025,mean,total slcf
2100,Methane (CH$_4$),-0.163022401410414,-0.15544151427507855,0.0025047226023778846,-0.0008112696862676017,0.28531254886094554,0.28531254886094554,-0.12054130324443274,0.15335151567919664,mean,total slcf
2100,Ozone (O$_3$),-0.15418343017883512,-0.15324471890643288,-0.047606232947897176,-0.07311016678278673,0.24378775176150547,0.16146290755568643,-0.09923232596774581,0.05265309429531995,mean,total slcf
2100,HFCs,-0.002545768192474901,-0.00020633762366732006,0.059912607478750955,-0.002545768192474901,0.09981953654137254,0.09981953654137254,0.08638792423295,0.22836031129959541,mean,total slcf
2040,Scenario total,0.182997102487151,0.18535475402208595,0.15336047029619604,0.14228600219947607,0.153790858960749,0.18477495963880303,0.16358356188270706,0.20925263217698398,p05-50,total anthropogenic
2100,Scenario total,0.24773007425527296,0.302937911486993,0.5124514911934599,0.30554868194072493,0.7405764809840094,0.8372209400906301,0.71794919588574,1.0351861770419708,p05-50,total anthropogenic
2040,Scenario total,0.2909376273571301,0.29892836409072604,0.22013129616709715,0.194601175563965,0.20459683798463402,0.2553294329165259,0.23178338156243095,0.3168013174543629,p95-50,total anthropogenic
2100,Scenario total,0.4150157325895399,0.5244544004145559,0.8598555015836702,0.5228157167120041,1.0638052687882102,1.27228405309834,1.0633894829518802,1.54605470354378,p95-50,total anthropogenic
2040,Sum SLCFs,0.12674821116593302,0.114972158439682,0.046369121443156,0.04056531915103501,0.07946944725337898,0.063082442995152,0.045961732400141994,0.09326666068799103,p05-50,total slcf
2100,Sum SLCFs,0.19125944158655303,0.18928843159965902,0.18171242230795903,0.13362069516166902,0.14903234586906594,0.25127301754374404,0.154965696458089,0.23027800477748994,p05-50,total slcf
2040,Sum SLCFs,0.19152207359470497,0.177719123600514,0.066858633022967,0.05712832228758001,0.07180107359270299,0.088722258258492,0.062196240870871,0.151036308706434,p95-50,total slcf
2100,Sum SLCFs,0.306740955910251,0.304917738741807,0.31446124837434797,0.187273145451919,0.20264946875455409,0.4000554852280649,0.24448890997371003,0.376903490374059,p95-50,total slcf
