Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, percentile p95-p50 warming for SSP scenarios for forcing agent HFCs (HFCs), relative to year 2019",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585,ssp334,ssp534-over,ssp434,ssp460
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.00026563352556464176,-0.0002632519258189157,-0.000274971336515406,-0.0002529164900760952,-0.0002529164901926891,-0.0002544523465487849,-0.0002731051103231438,-0.00026563352671150415,-0.0002730949317143325,-0.00023105578559849354,-0.00023105564089835265
2022,-0.0005495398861806912,-0.0005436530454423318,-0.000576265149568762,-0.0005220217274332021,-0.0005220217278925176,-0.0005236549966204305,-0.0005708051554314731,-0.0005495398854889499,-0.0005707984406801396,-0.0004613295204391418,-0.00046276761108609687
2023,-0.00083994233961862,-0.0008370800836145914,-0.0009052040971270664,-0.0008104671352497957,-0.0008104671359021124,-0.0008128343317483021,-0.0008955972394537134,-0.000839942339065421,-0.0008955658122507289,-0.0006842888817940668,-0.0006900286173652916
2024,-0.001149778998732194,-0.0011501181711575312,-0.0012428863090447454,-0.0011125999092143704,-0.001112599909243509,-0.0011175130595426537,-0.0012443037557144847,-0.0011497790135306172,-0.001244416860930096,-0.0008972698495550952,-0.0009244773944331647
2025,-0.0014498886537687068,-0.0014734394217258099,-0.0015955819450734286,-0.0014230313396598245,-0.0014230313390834533,-0.0014318039921244416,-0.0016135352470363778,-0.0014498886545046376,-0.0016137115055371574,-0.0010943655854374467,-0.0011753883290125389
2026,-0.0017627900667037556,-0.00179365698407779,-0.0019552014085467964,-0.0017400688977258557,-0.001740068896432042,-0.00175364496333197,-0.0020112182319898665,-0.0017627900693438243,-0.0020113018464183543,-0.001289149663344818,-0.0014467996114933292
2027,-0.0020436524303237124,-0.0021148359543452936,-0.0023450191255113095,-0.0020581255533788597,-0.0020581255668359008,-0.002074853512769381,-0.0024330918392795418,-0.002043652431640663,-0.0024332180086809128,-0.0014582833578595722,-0.0017340238996431932
2028,-0.0022726138469735054,-0.002437045489425729,-0.002735217751459269,-0.0024009230821320808,-0.002400923097456784,-0.0024134409535105164,-0.0028777783667060307,-0.0022726138470217368,-0.002878494120409598,-0.0016038290802026507,-0.002071288146483077
2029,-0.0024611106532443808,-0.002744310015590015,-0.0031191712546123794,-0.002745493885223198,-0.002745493913440329,-0.002767582053236331,-0.0033469215039566673,-0.0024611106552196666,-0.003347392688957673,-0.0017287280199527442,-0.002448693536968465
2030,-0.002627361680751441,-0.0030456182708924273,-0.003501348515101391,-0.0030666727406298373,-0.003066672741825051,-0.0030980693271409968,-0.0038415977841785784,-0.0026273616810076382,-0.0038428687902617473,-0.0018235740708427203,-0.0028565019205202867
2031,-0.0027486831724218316,-0.0033338030401533604,-0.003913241442107319,-0.003406202563663997,-0.0034062025644446482,-0.003437103302440093,-0.004344002998513511,-0.002748683170401758,-0.004345750668508548,-0.0019145343250202783,-0.003316288971042503
2032,-0.0028301102914469146,-0.0036124858416116093,-0.004305171789621669,-0.0037462642405655697,-0.0037462642332697495,-0.0037802087441394976,-0.0048741243557577545,-0.002830110291093715,-0.004875342749722018,-0.0019783837030475718,-0.003815088958840482
2033,-0.002877421483803349,-0.0038933555060947445,-0.004668056437783546,-0.004087518383168133,-0.004087518383039764,-0.0041278021328588705,-0.005411256585909911,-0.0028774214850150978,-0.005412488913267638,-0.002023034828508085,-0.004362251941400956
2034,-0.002897884022208014,-0.004131197629823703,-0.005050896769138423,-0.004428180645127444,-0.0044281806470539906,-0.004472179279735474,-0.005998781219347243,-0.0028978840206069527,-0.006000433958552354,-0.002047081049972641,-0.004932448984491796
