Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, percentile p95-p50 warming for SSP scenarios for forcing agent Sum SLCF (Aerosols, Methane, Ozone, HFCs) (Sum SLCF (Aerosols, Methane, Ozone, HFCs)), relative to year 2019",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585,ssp334,ssp534-over,ssp434,ssp460
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.006244017570913001,-0.005866777809465,-0.005330358255054,-0.010731140323758,-0.006867119147184,-0.006857932792673348,-0.005685874860428999,-0.008630296113933,-0.005707419794221,-0.010755747065528,-0.010554129578603
2022,-0.013410326646016,-0.012283237357315,-0.009220563782381001,-0.019613933522625998,-0.011484134775369,-0.011519178848289001,-0.010442866823569003,-0.015522564643597,-0.010521322238102,-0.019174149565133,-0.018483229742723
2023,-0.021413786280083,-0.018872847072814003,-0.01213291543149,-0.027111386970572998,-0.014489210994972999,-0.014471058904881,-0.015494932017101,-0.020775067175626,-0.015621454231665003,-0.025731591026415,-0.02455151446236
2024,-0.029592310909436002,-0.025840355735251,-0.014069352148873,-0.033375478392487,-0.016420239897438002,-0.016322976090568,-0.020782702198104998,-0.025002617644468997,-0.020842628152831,-0.031091624579827,-0.029111983336123002
2025,-0.038192474744981005,-0.033084327171208,-0.015643237228590998,-0.038851039480292,-0.017596283431345,-0.017448172647678,-0.026285826360455004,-0.028293245103348706,-0.026418401828658004,-0.035580455107508,-0.032187660522638
2026,-0.04728092714374,-0.040520118659038006,-0.017019503542315996,-0.04373515386606,-0.018306730071464,-0.018176648817112,-0.031216753256309994,-0.030715140161931,-0.031406592843729,-0.039274839972991,-0.034666304980672
2027,-0.056692215066573,-0.047944680826891004,-0.01865886426988,-0.047919267422729,-0.019822435057490005,-0.018501300171259002,-0.03649232835722101,-0.032497506624119,-0.03682959394758299,-0.042557674756594,-0.036242882205912
2028,-0.06614006467964899,-0.055812272966647,-0.019967634905766998,-0.051905722477921995,-0.020729695658396996,-0.01983499495429,-0.042051736832824,-0.033940247572311,-0.042324948093188,-0.045618639893987005,-0.037908970526709
2029,-0.075781730172369,-0.06379787694986445,-0.021491004965534997,-0.055644717655783,-0.022924712976111997,-0.020641424348485995,-0.047472610316539,-0.035259458330257995,-0.04791595727211699,-0.047650398263048,-0.038890693341286
2030,-0.085725036306721,-0.071954143488906,-0.023061154250305,-0.058872350113576,-0.025067330061201994,-0.022038349152327,-0.053050765025518004,-0.036048290256334,-0.053544888236259996,-0.050081135358040006,-0.038682235474720994
2031,-0.09471742198641199,-0.079269398047025,-0.024549277446424003,-0.062006813516674,-0.027771844705764,-0.023484702326797998,-0.05803751487820799,-0.035279070028703,-0.05861732838343399,-0.052660237795854006,-0.039106895082947
2032,-0.101975545642146,-0.084894133460105,-0.026691075337034,-0.06455719994681901,-0.030416383066694003,-0.025208602204671002,-0.062842118465332,-0.033908760414763,-0.06325654466678599,-0.05336259321060499,-0.040188968360303
2033,-0.107698502335283,-0.09031955362746699,-0.028646446165491002,-0.066909722989273,-0.033437724382692,-0.027101689990352,-0.066739903850986,-0.031343861638936,-0.067496986667067,-0.054979974600191,-0.041467895401761996
2034,-0.111583244988094,-0.095412809507934,-0.03076050284273,-0.069227090265418,-0.037189777142441,-0.029177510722377002,-0.07101649893553101,-0.028718781291161004,-0.07200109199713099,-0.056826922870148004,-0.042464285893694
2035,-0.115027275755486,-0.09948686543179801,-0.033020486706367,-0.071070157714288,-0.040759555659499,-0.032200303950697,-0.075220120143467,-0.026521527639791,-0.076104379460745,-0.057812287421257,-0.04349877889253101
2036,-0.118382598882716,-0.10290616110305101,-0.035716455988389996,-0.072572397511037,-0.045156098892897,-0.034345884576134,-0.0788341193023,-0.024692671351801997,-0.07974308850107201,-0.059464605583884,-0.044493166453336994
