Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, percentile p95-p50 warming for SSP scenarios for forcing agent Methane (CH$_4$) (ch4), relative to year 2019",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585,ssp334,ssp534-over,ssp434,ssp460
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.0005934161687240001,-0.0005567091673570001,-0.0007313007666669999,-0.0008229829514360002,-0.000822982951051,-0.0007843754204100001,-0.0006955034992149999,-0.0009243383993650001,-0.0007184322808979999,-0.0009249426511399998,-0.0009249424197940001
2022,-0.001147457476867,-0.0010798941455390002,-0.0014538861206820001,-0.0016808513533570005,-0.0016808513541449995,-0.0015664354261729998,-0.0013935288249419995,-0.0018421778198469997,-0.0014349495403669999,-0.0019024990185159997,-0.0019078372786399999
2023,-0.0016489365203650004,-0.001537886245396,-0.0021938603946300003,-0.0025359630238840003,-0.0025359630249160003,-0.0023440854809100003,-0.0020571808631159993,-0.0027894353212849993,-0.0021492610463959994,-0.002909768666291999,-0.0029462045960000002
2024,-0.002087851228212,-0.0019211685839859998,-0.002892996132629,-0.0034225682839349996,-0.0034225682848630003,-0.0030352373355510007,-0.0027227407433210006,-0.003680584563336,-0.002851268148279999,-0.003923791357721,-0.0039928031297650005
2025,-0.0024812364686889994,-0.0022223839331399994,-0.003582599022686001,-0.004345746364430001,-0.0043457463647769996,-0.0036044621192719995,-0.0033677079544780003,-0.004562748332598,-0.0035644606750899997,-0.004943204114063999,-0.00510362799092
2026,-0.00271774602232,-0.00248093463353,-0.004246891559231001,-0.005279140875652002,-0.005279140875565001,-0.004132973855899001,-0.00402530973103,-0.005469283747994,-0.004293241637657999,-0.0059342959626859995,-0.006226645059583997
2027,-0.002943208741617,-0.0026900632062709998,-0.004882400611872001,-0.006197418243079001,-0.006197418248776001,-0.004500059635374001,-0.004706761697638,-0.006346727080767998,-0.005020148946713999,-0.0068549793867949994,-0.0073319370206310006
2028,-0.0031494327042699997,-0.002884244904333,-0.005524373402139,-0.007151803207962,-0.007151803215343002,-0.004821539307013999,-0.005389071435621,-0.007214203111173,-0.005769880946702,-0.00785513655835,-0.008505002922589999
2029,-0.003248596868003,-0.0030231075700599998,-0.006168560433417,-0.008140362120422,-0.008140362128176,-0.0050680515012759995,-0.006081319492197002,-0.008087666425984002,-0.006548042760034999,-0.008710949221862,-0.009627667195182998
2030,-0.0033939523565930003,-0.0031401534845,-0.0068147287504100006,-0.0091369283685,-0.009136928370732003,-0.005097751203471,-0.006770408779073001,-0.008943192395129002,-0.007296891984135998,-0.009480496949432999,-0.010733206126078
2031,-0.0035524550551109995,-0.003296213359602,-0.007416152860461999,-0.010137877641460003,-0.010137877620720995,-0.005077601983864999,-0.007507283486886,-0.009721646868072,-0.008072310547275002,-0.010152860300416,-0.011918176091579004
2032,-0.0038400817441909996,-0.003413391177669,-0.008019299041548002,-0.011138904848699997,-0.011138904838174004,-0.0049865297954050005,-0.008274801160657,-0.010459921544396004,-0.008866090065604001,-0.010844508126627999,-0.013079268519956
2033,-0.004256506720508,-0.0037108310964279996,-0.008569081724936,-0.012177320134106998,-0.012177320115714999,-0.005074016030969,-0.009059696967725,-0.011025588024859003,-0.009708784449467999,-0.011491423436184998,-0.014283640340316997
2034,-0.004794824098557001,-0.004074578342368,-0.009081283517678,-0.013235232638501002,-0.013235232642492004,-0.005121871202054,-0.009891004465569998,-0.011616184324363003,-0.010563524583949997,-0.012040620411282996,-0.015420676263512005
2035,-0.0053331467515360005,-0.004489490396753001,-0.009587266570262001,-0.014251928429906004,-0.014251928407755,-0.0054980046473949995,-0.010720701133045001,-0.012070416809224,-0.011427166504696998,-0.012586701107838997,-0.01655278967406
