scenario,year,p95-p50,p05-p50,variable
ssp119,2020,0.0,0.0,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2021,0.007728536750415998,-0.006244017570913001,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2022,0.016442476450080998,-0.013410326646016,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2023,0.026483131160931997,-0.021413786280083,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2024,0.03763130168625299,-0.029592310909436002,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2025,0.049861875592530996,-0.038192474744981005,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2026,0.061799113893474006,-0.04728092714374,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2027,0.07427479411149099,-0.056692215066573,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2028,0.087570730581865,-0.06614006467964899,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2029,0.100936650278034,-0.075781730172369,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2030,0.116168078356393,-0.085725036306721,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2031,0.12900869793055003,-0.09471742198641199,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2032,0.140484581312902,-0.101975545642146,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2033,0.151010504852085,-0.107698502335283,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2034,0.158994654499849,-0.111583244988094,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2035,0.166365464301088,-0.115027275755486,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2036,0.17289350924690797,-0.118382598882716,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2037,0.177970235459408,-0.12090121696181699,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2038,0.18254385420571803,-0.123865231969015,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2039,0.18705521812958104,-0.125512763052705,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2040,0.19152207359470497,-0.126748211165933,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2041,0.19515673750572798,-0.128825887703304,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2042,0.19885898925566303,-0.13048373421620402,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2043,0.20197082858301002,-0.132965334844031,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2044,0.204745272463357,-0.13535244974894,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2045,0.20805461994082997,-0.138008872440809,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2046,0.211974356748663,-0.14017324817415,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2047,0.21463540339189097,-0.142075175912836,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2048,0.21772249450555498,-0.144439583826204,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2049,0.22191056266153697,-0.146206215327702,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2050,0.226336841797136,-0.148159957474265,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2051,0.23071602602693003,-0.150054579291106,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2052,0.23582301107820403,-0.151130351023106,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2053,0.237404715243697,-0.152587951659271,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
ssp119,2054,0.240688721177291,-0.153711006842925,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)"
