scenario,year,p95-p50,p05-p50,variable
ssp119,2020,,,aerosol-total-with_bc-snow
ssp119,2021,0.006247867702628059,-0.0062478677026280615,aerosol-total-with_bc-snow
ssp119,2022,0.013711909048267024,-0.013711909048267029,aerosol-total-with_bc-snow
ssp119,2023,0.022537529608591893,-0.0225375296085919,aerosol-total-with_bc-snow
ssp119,2024,0.032225190862057614,-0.03222519086205763,aerosol-total-with_bc-snow
ssp119,2025,0.042508906606600234,-0.04250890660660025,aerosol-total-with_bc-snow
ssp119,2026,0.05343449841147681,-0.05343449841147683,aerosol-total-with_bc-snow
ssp119,2027,0.06476429128409565,-0.06476429128409567,aerosol-total-with_bc-snow
ssp119,2028,0.07683420585066217,-0.0768342058506622,aerosol-total-with_bc-snow
ssp119,2029,0.08981012073942304,-0.08981012073942309,aerosol-total-with_bc-snow
ssp119,2030,0.10299044965007279,-0.10299044965007281,aerosol-total-with_bc-snow
ssp119,2031,0.11574279893491568,-0.11574279893491575,aerosol-total-with_bc-snow
ssp119,2032,0.12598394990651623,-0.12598394990651626,aerosol-total-with_bc-snow
ssp119,2033,0.1348127828794125,-0.1348127828794126,aerosol-total-with_bc-snow
ssp119,2034,0.14278438822880993,-0.14278438822880998,aerosol-total-with_bc-snow
ssp119,2035,0.1493935362278716,-0.1493935362278717,aerosol-total-with_bc-snow
ssp119,2036,0.15552806636789862,-0.15552806636789865,aerosol-total-with_bc-snow
ssp119,2037,0.16123238690789252,-0.16123238690789254,aerosol-total-with_bc-snow
ssp119,2038,0.16508675262896005,-0.16508675262896017,aerosol-total-with_bc-snow
ssp119,2039,0.16985640148717562,-0.16985640148717573,aerosol-total-with_bc-snow
ssp119,2040,0.17446295094713804,-0.1744629509471381,aerosol-total-with_bc-snow
ssp119,2041,0.17819864389899687,-0.17819864389899698,aerosol-total-with_bc-snow
ssp119,2042,0.18180253301555097,-0.18180253301555105,aerosol-total-with_bc-snow
ssp119,2043,0.18569277166698395,-0.18569277166698403,aerosol-total-with_bc-snow
ssp119,2044,0.18966246298272416,-0.18966246298272418,aerosol-total-with_bc-snow
ssp119,2045,0.1930483992416984,-0.19304839924169845,aerosol-total-with_bc-snow
ssp119,2046,0.19655254183780177,-0.19655254183780183,aerosol-total-with_bc-snow
ssp119,2047,0.1999103304028432,-0.19991033040284328,aerosol-total-with_bc-snow
ssp119,2048,0.20321168205214177,-0.20321168205214188,aerosol-total-with_bc-snow
ssp119,2049,0.2066692857296344,-0.20666928572963447,aerosol-total-with_bc-snow
ssp119,2050,0.21058761584289162,-0.21058761584289168,aerosol-total-with_bc-snow
ssp119,2051,0.21447565092738574,-0.2144756509273858,aerosol-total-with_bc-snow
ssp119,2052,0.2166023086677254,-0.21660230866772548,aerosol-total-with_bc-snow
ssp119,2053,0.22003043476616374,-0.22003043476616382,aerosol-total-with_bc-snow
ssp119,2054,0.22269141680184812,-0.2226914168018482,aerosol-total-with_bc-snow
ssp119,2055,0.2252841126063638,-0.22528411260636394,aerosol-total-with_bc-snow
ssp119,2056,0.22727703361268028,-0.2272770336126804,aerosol-total-with_bc-snow
ssp119,2057,0.22981534135739537,-0.22981534135739548,aerosol-total-with_bc-snow
ssp119,2058,0.2318882942633721,-0.2318882942633722,aerosol-total-with_bc-snow
ssp119,2059,0.23374047136453263,-0.23374047136453271,aerosol-total-with_bc-snow
ssp119,2060,0.23600927900783597,-0.23600927900783608,aerosol-total-with_bc-snow
ssp119,2061,0.2377692659324429,-0.237769265932443,aerosol-total-with_bc-snow
ssp119,2062,0.23905045854183038,-0.23905045854183046,aerosol-total-with_bc-snow
ssp119,2063,0.24033300708403038,-0.24033300708403046,aerosol-total-with_bc-snow
ssp119,2064,0.24176432362404665,-0.2417643236240467,aerosol-total-with_bc-snow
ssp119,2065,0.24314412810206731,-0.24314412810206742,aerosol-total-with_bc-snow
ssp119,2066,0.24446861691617883,-0.2444686169161789,aerosol-total-with_bc-snow
ssp119,2067,0.24531859560946728,-0.24531859560946737,aerosol-total-with_bc-snow
ssp119,2068,0.24614296765956245,-0.24614296765956253,aerosol-total-with_bc-snow
ssp119,2069,0.24733734300800658,-0.24733734300800664,aerosol-total-with_bc-snow
ssp119,2070,0.24849518217790267,-0.2484951821779028,aerosol-total-with_bc-snow
ssp119,2071,0.24930870340438893,-0.249308703404389,aerosol-total-with_bc-snow
ssp119,2072,0.25071197487481295,-0.250711974874813,aerosol-total-with_bc-snow
ssp119,2073,0.25244464397477917,-0.2524446439747793,aerosol-total-with_bc-snow
ssp119,2074,0.2540882550693841,-0.2540882550693842,aerosol-total-with_bc-snow
ssp119,2075,0.2557255036693345,-0.2557255036693346,aerosol-total-with_bc-snow
ssp119,2076,0.25690181587157723,-0.25690181587157734,aerosol-total-with_bc-snow
ssp119,2077,0.257935525616395,-0.25793552561639516,aerosol-total-with_bc-snow
ssp119,2078,0.25959805233058286,-0.2595980523305829,aerosol-total-with_bc-snow
ssp119,2079,0.2613864817078208,-0.2613864817078209,aerosol-total-with_bc-snow
ssp119,2080,0.2630234859049346,-0.2630234859049347,aerosol-total-with_bc-snow
ssp119,2081,0.26459348347076855,-0.26459348347076866,aerosol-total-with_bc-snow
ssp119,2082,0.2661103408771711,-0.2661103408771712,aerosol-total-with_bc-snow
ssp119,2083,0.2670952005017193,-0.2670952005017194,aerosol-total-with_bc-snow
ssp119,2084,0.2685259024966648,-0.2685259024966649,aerosol-total-with_bc-snow
ssp119,2085,0.26989223905029697,-0.2698922390502971,aerosol-total-with_bc-snow
ssp119,2086,0.2710892720381828,-0.2710892720381829,aerosol-total-with_bc-snow
ssp119,2087,0.2722330878694358,-0.27223308786943584,aerosol-total-with_bc-snow
ssp119,2088,0.2735912420321207,-0.27359124203212076,aerosol-total-with_bc-snow
ssp119,2089,0.2748907515484478,-0.27489075154844783,aerosol-total-with_bc-snow
ssp119,2090,0.2760220042929232,-0.2760220042929233,aerosol-total-with_bc-snow
ssp119,2091,0.277232253195016,-0.2772322531950161,aerosol-total-with_bc-snow
ssp119,2092,0.27807721291847654,-0.2780772129184767,aerosol-total-with_bc-snow
ssp119,2093,0.279809286943412,-0.27980928694341217,aerosol-total-with_bc-snow
ssp119,2094,0.2817002799623957,-0.2817002799623958,aerosol-total-with_bc-snow
ssp119,2095,0.2834032839841597,-0.28340328398415987,aerosol-total-with_bc-snow
ssp119,2096,0.2849031643132693,-0.2849031643132694,aerosol-total-with_bc-snow
ssp119,2097,0.28612209719572884,-0.286122097195729,aerosol-total-with_bc-snow
ssp119,2098,0.28765673153912774,-0.2876567315391278,aerosol-total-with_bc-snow
ssp119,2099,0.28927743393411776,-0.28927743393411787,aerosol-total-with_bc-snow
ssp119,2100,0.29149027025404894,-0.29149027025404906,aerosol-total-with_bc-snow
ssp126,2020,,,aerosol-total-with_bc-snow
ssp126,2021,0.005951859844355865,-0.0059518598443558685,aerosol-total-with_bc-snow
ssp126,2022,0.012682651269960259,-0.012682651269960262,aerosol-total-with_bc-snow
ssp126,2023,0.02057434340605506,-0.02057434340605507,aerosol-total-with_bc-snow
ssp126,2024,0.02889923994370063,-0.02889923994370065,aerosol-total-with_bc-snow
ssp126,2025,0.03758307007129751,-0.03758307007129753,aerosol-total-with_bc-snow
ssp126,2026,0.046639689962024326,-0.04663968996202435,aerosol-total-with_bc-snow
ssp126,2027,0.05650373085256015,-0.05650373085256016,aerosol-total-with_bc-snow
ssp126,2028,0.06629859366648815,-0.06629859366648817,aerosol-total-with_bc-snow
ssp126,2029,0.07688968691448111,-0.07688968691448114,aerosol-total-with_bc-snow
ssp126,2030,0.08724804530339905,-0.08724804530339908,aerosol-total-with_bc-snow
ssp126,2031,0.097005647682623,-0.09700564768262304,aerosol-total-with_bc-snow
ssp126,2032,0.10539345639780963,-0.10539345639780967,aerosol-total-with_bc-snow
ssp126,2033,0.11351526313579957,-0.11351526313579963,aerosol-total-with_bc-snow
ssp126,2034,0.12065453670676926,-0.1206545367067693,aerosol-total-with_bc-snow
ssp126,2035,0.12705610447731372,-0.12705610447731375,aerosol-total-with_bc-snow
ssp126,2036,0.13310018843748597,-0.13310018843748603,aerosol-total-with_bc-snow
ssp126,2037,0.13908421287188535,-0.1390842128718854,aerosol-total-with_bc-snow
ssp126,2038,0.14408128775156795,-0.14408128775156798,aerosol-total-with_bc-snow
ssp126,2039,0.14925355696090095,-0.149253556960901,aerosol-total-with_bc-snow
ssp126,2040,0.15461399822402394,-0.15461399822402405,aerosol-total-with_bc-snow
ssp126,2041,0.15941764281877097,-0.15941764281877105,aerosol-total-with_bc-snow
ssp126,2042,0.1639348801636372,-0.1639348801636373,aerosol-total-with_bc-snow
ssp126,2043,0.1679424784716108,-0.16794247847161092,aerosol-total-with_bc-snow
ssp126,2044,0.17181736055114133,-0.17181736055114144,aerosol-total-with_bc-snow
ssp126,2045,0.17564680508728306,-0.17564680508728314,aerosol-total-with_bc-snow
ssp126,2046,0.17964734723328651,-0.17964734723328663,aerosol-total-with_bc-snow
ssp126,2047,0.18287636073328717,-0.1828763607332872,aerosol-total-with_bc-snow
ssp126,2048,0.18596915670549932,-0.1859691567054994,aerosol-total-with_bc-snow
ssp126,2049,0.18895114062334223,-0.18895114062334228,aerosol-total-with_bc-snow
ssp126,2050,0.19261062906076928,-0.1926106290607693,aerosol-total-with_bc-snow
ssp126,2051,0.19557867278484806,-0.19557867278484817,aerosol-total-with_bc-snow
ssp126,2052,0.19819298628708484,-0.1981929862870849,aerosol-total-with_bc-snow
ssp126,2053,0.20046159997194665,-0.2004615999719467,aerosol-total-with_bc-snow
ssp126,2054,0.20344362655721326,-0.20344362655721335,aerosol-total-with_bc-snow
ssp126,2055,0.20583382283927143,-0.2058338228392715,aerosol-total-with_bc-snow
ssp126,2056,0.20833203256840854,-0.20833203256840863,aerosol-total-with_bc-snow
ssp126,2057,0.21038726685700987,-0.21038726685700995,aerosol-total-with_bc-snow
ssp126,2058,0.21243784208506064,-0.21243784208506072,aerosol-total-with_bc-snow
ssp126,2059,0.21442636061646903,-0.2144263606164691,aerosol-total-with_bc-snow
ssp126,2060,0.21656485371339607,-0.21656485371339615,aerosol-total-with_bc-snow
ssp126,2061,0.21855291932537296,-0.21855291932537302,aerosol-total-with_bc-snow
ssp126,2062,0.22072040373895366,-0.22072040373895377,aerosol-total-with_bc-snow
ssp126,2063,0.22291429840606078,-0.22291429840606086,aerosol-total-with_bc-snow
ssp126,2064,0.22481070332441996,-0.22481070332442007,aerosol-total-with_bc-snow
ssp126,2065,0.2260118597450393,-0.22601185974503937,aerosol-total-with_bc-snow
ssp126,2066,0.22719927637309828,-0.2271992763730984,aerosol-total-with_bc-snow
ssp126,2067,0.22837232174610367,-0.22837232174610378,aerosol-total-with_bc-snow
ssp126,2068,0.22973071332367329,-0.22973071332367337,aerosol-total-with_bc-snow
ssp126,2069,0.23140794761253658,-0.23140794761253666,aerosol-total-with_bc-snow
ssp126,2070,0.2328514241288589,-0.23285142412885898,aerosol-total-with_bc-snow
ssp126,2071,0.23421344770965774,-0.23421344770965785,aerosol-total-with_bc-snow
ssp126,2072,0.23536230175534045,-0.23536230175534054,aerosol-total-with_bc-snow
ssp126,2073,0.23677122113988913,-0.23677122113988922,aerosol-total-with_bc-snow
ssp126,2074,0.23825856222456654,-0.23825856222456662,aerosol-total-with_bc-snow
ssp126,2075,0.24017512548568465,-0.24017512548568473,aerosol-total-with_bc-snow
ssp126,2076,0.2419552396591369,-0.24195523965913698,aerosol-total-with_bc-snow
ssp126,2077,0.2439432720837974,-0.24394327208379746,aerosol-total-with_bc-snow
ssp126,2078,0.2452083720002025,-0.2452083720002026,aerosol-total-with_bc-snow
ssp126,2079,0.24729583184964077,-0.24729583184964088,aerosol-total-with_bc-snow
