scenario,year,p95-p50,p05-p50,variable
ssp119,2020,0.0,0.0,ch4
ssp119,2021,0.0009081680062939998,-0.0005934161687240001,ch4
ssp119,2022,0.0017752913573179999,-0.001147457476867,ch4
ssp119,2023,0.0025860397176479992,-0.0016489365203650004,ch4
ssp119,2024,0.003383730266947999,-0.002087851228212,ch4
ssp119,2025,0.004099007464139,-0.0024812364686889994,ch4
ssp119,2026,0.004734268752433,-0.00271774602232,ch4
ssp119,2027,0.005338951093919,-0.002943208741617,ch4
ssp119,2028,0.005787506212132,-0.0031494327042699997,ch4
ssp119,2029,0.006272438613834001,-0.003248596868003,ch4
ssp119,2030,0.00678159495845,-0.0033939523565930003,ch4
ssp119,2031,0.007011257765752,-0.0035524550551109995,ch4
ssp119,2032,0.007347047731840001,-0.0038400817441909996,ch4
ssp119,2033,0.007451911334384,-0.004256506720508,ch4
ssp119,2034,0.007690160963906,-0.004794824098557001,ch4
ssp119,2035,0.008035046204185,-0.0053331467515360005,ch4
ssp119,2036,0.008405920829739,-0.006026467019534002,ch4
ssp119,2037,0.008912690421783002,-0.006764154855727001,ch4
ssp119,2038,0.009396529950562,-0.007716283845035001,ch4
ssp119,2039,0.00991791652028,-0.008835740211363002,ch4
ssp119,2040,0.010609270406832001,-0.009759265887114,ch4
ssp119,2041,0.011462544155007002,-0.010830700810972996,ch4
ssp119,2042,0.012041253431984002,-0.011980908046072998,ch4
ssp119,2043,0.012881158426195999,-0.013297611831808998,ch4
ssp119,2044,0.013907771123408002,-0.014543525894983998,ch4
ssp119,2045,0.014973062455722,-0.015750680179467,ch4
ssp119,2046,0.015787652017195,-0.017361782176811003,ch4
ssp119,2047,0.016732321637179998,-0.01862024039561,ch4
ssp119,2048,0.017709070740008,-0.019803856334636,ch4
ssp119,2049,0.018491377357868002,-0.021134158167161,ch4
ssp119,2050,0.019466682273258,-0.022226537815104003,ch4
ssp119,2051,0.020355384889204,-0.023260451496284994,ch4
ssp119,2052,0.021251556816143997,-0.024439350306682997,ch4
ssp119,2053,0.022099527997765003,-0.025612965495294,ch4
ssp119,2054,0.022896746143580997,-0.027015112305946998,ch4
ssp119,2055,0.023758121095148,-0.028236898280208006,ch4
ssp119,2056,0.024703880525443006,-0.029553631923606993,ch4
ssp119,2057,0.025666543022599998,-0.030674406097120008,ch4
ssp119,2058,0.026443462835543004,-0.031870598757880994,ch4
