scenario,year,p95-p50,p05-p50,variable
ssp119,2020,0.0,0.0,o3
ssp119,2021,0.0012085528608860002,-0.0013964069448819997,o3
ssp119,2022,0.002952223482851,-0.003358717041893,o3
ssp119,2023,0.005117705357346,-0.005742715181769,o3
ssp119,2024,0.007665619929819,-0.00850246158251,o3
ssp119,2025,0.01044611701517,-0.011588192453232997,o3
ssp119,2026,0.013411847542337,-0.014952975485692004,o3
ssp119,2027,0.016607037045463,-0.018555894882071003,o3
ssp119,2028,0.019941180355977996,-0.022390870452319002,o3
ssp119,2029,0.02344068840926,-0.026651420652675,o3
ssp119,2030,0.027046286155107003,-0.031046149648311996,o3
ssp119,2031,0.030556404764099,-0.035220578955203,o3
ssp119,2032,0.03332417936753801,-0.03920289406250499,o3
ssp119,2033,0.03562201561067899,-0.04291460582066001,o3
ssp119,2034,0.03768479924032601,-0.045981803402633,o3
ssp119,2035,0.04010951590716699,-0.048835723295667016,o3
ssp119,2036,0.042117610624590004,-0.05197588325929299,o3
ssp119,2037,0.043758901887374,-0.05476862810244999,o3
ssp119,2038,0.045321696638795,-0.057331356328094996,o3
ssp119,2039,0.047045259490979,-0.059247044342457006,o3
ssp119,2040,0.048318626295136995,-0.06180897907991299,o3
ssp119,2041,0.04968417356556,-0.063875963016966,o3
ssp119,2042,0.051078441508018,-0.06582375807704001,o3
ssp119,2043,0.052386012433964006,-0.068166947316043,o3
ssp119,2044,0.053706994098358996,-0.07025411430364299,o3
ssp119,2045,0.055008977860744004,-0.072111905808812,o3
ssp119,2046,0.056249680258717,-0.073758921550525,o3
ssp119,2047,0.057500611475245,-0.07535640748333398,o3
ssp119,2048,0.05870286947428299,-0.07778244120570002,o3
ssp119,2049,0.059918978895223,-0.079564637371711,o3
ssp119,2050,0.061285019692955,-0.08115039867005401,o3
ssp119,2051,0.062394853233266996,-0.08290986615467001,o3
ssp119,2052,0.063386677236651,-0.084338170436145,o3
ssp119,2053,0.064254345036491,-0.08565871194741201,o3
ssp119,2054,0.065223301551592,-0.08681897229677898,o3
ssp119,2055,0.06583758805036499,-0.088223814657828,o3
ssp119,2056,0.06631529996454599,-0.08932950581079901,o3
ssp119,2057,0.066949031292308,-0.09014085142442999,o3
ssp119,2058,0.06773354760789901,-0.090849350089372,o3
ssp119,2059,0.06846187467414999,-0.091525878024728,o3
ssp119,2060,0.069141022616245,-0.09251838557907102,o3
ssp119,2061,0.069777149913815,-0.093118456653464,o3
ssp119,2062,0.070225866182232,-0.09376469408753699,o3
ssp119,2063,0.07057019436795899,-0.09449279622245302,o3
ssp119,2064,0.07087692751547499,-0.09530398296999901,o3
ssp119,2065,0.071256781438115,-0.09593881240393401,o3
ssp119,2066,0.07166543677905401,-0.09636254676067699,o3
ssp119,2067,0.071932537896775,-0.09693352467632799,o3
ssp119,2068,0.072272911587464,-0.097384277383425,o3
ssp119,2069,0.072563387131219,-0.097850789066206,o3
ssp119,2070,0.07278056745563699,-0.09835788381877,o3
ssp119,2071,0.07299301544244301,-0.09883528857131299,o3
ssp119,2072,0.073213979812104,-0.099269432230921,o3
ssp119,2073,0.07355494265987698,-0.09956114158180601,o3
ssp119,2074,0.07380018760822399,-0.09992952226710702,o3
ssp119,2075,0.074036158390805,-0.100291303061425,o3
ssp119,2076,0.07427241567740302,-0.10064042843091098,o3
ssp119,2077,0.07451144548984999,-0.10097865318301502,o3
ssp119,2078,0.07479633320230299,-0.10126864946453501,o3
ssp119,2079,0.075065771925744,-0.10157833136532601,o3
ssp119,2080,0.07529414519816999,-0.10193843709300801,o3
ssp119,2081,0.075546688653599,-0.1022701650524,o3
ssp119,2082,0.07578968911426101,-0.10259182448808599,o3
ssp119,2083,0.07601538155160299,-0.10290948354847401,o3
ssp119,2084,0.076224673663235,-0.10321991868574901,o3
ssp119,2085,0.076418176960931,-0.103520647307937,o3
ssp119,2086,0.076623302343371,-0.10378290174981197,o3
ssp119,2087,0.076856900010344,-0.10399088494359202,o3
ssp119,2088,0.07713163947757098,-0.104143968463313,o3
ssp119,2089,0.07728668268611201,-0.10440514295182299,o3
ssp119,2090,0.077446111074022,-0.104678423060384,o3
ssp119,2091,0.07761372115686499,-0.10492219822273002,o3
ssp119,2092,0.07779073520970699,-0.105142355637903,o3
ssp119,2093,0.07797465160831,-0.10536755779991797,o3
ssp119,2094,0.07813991454577801,-0.10560864911149898,o3
ssp119,2095,0.078328983778307,-0.105816413534843,o3
ssp119,2096,0.078512114600616,-0.10601523481935499,o3
ssp119,2097,0.07876577201671,-0.10612572344171697,o3
ssp119,2098,0.078963312554291,-0.10629673672425402,o3
ssp119,2099,0.079151140010526,-0.10647922883628702,o3
ssp119,2100,0.079277069117667,-0.106712136976987,o3
ssp126,2020,0.0,0.0,o3
ssp126,2021,0.001227918059189,-0.001410117789068,o3
ssp126,2022,0.0027281343034270002,-0.003133163043713,o3
ssp126,2023,0.004420257012476001,-0.005051703313804999,o3
ssp126,2024,0.006306534118925999,-0.0071684074664159995,o3
ssp126,2025,0.008261186314711,-0.009520067336661997,o3
ssp126,2026,0.010332191119513001,-0.011824701323095998,o3
ssp126,2027,0.012566972944128,-0.014307138295440003,o3
ssp126,2028,0.014873808604797001,-0.017111776196914,o3
ssp126,2029,0.017196951661601997,-0.019910891220113004,o3
ssp126,2030,0.019632558649637998,-0.023089756074121004,o3
ssp126,2031,0.02188625121697,-0.026106483143193998,o3
ssp126,2032,0.023777606532516,-0.028638076930916995,o3
ssp126,2033,0.025610183704541996,-0.031091443988975002,o3
ssp126,2034,0.027278153513022003,-0.033398447807729,o3
ssp126,2035,0.028510235856594,-0.035634985138076,o3
ssp126,2036,0.02970634345307,-0.037706191502044996,o3
ssp126,2037,0.031023188291906003,-0.039492647814291,o3
ssp126,2038,0.032129832327849994,-0.041235849547793,o3
ssp126,2039,0.03332885702162801,-0.043031935892672,o3
ssp126,2040,0.034486832911369995,-0.044547941844734,o3
ssp126,2041,0.035562066799545995,-0.046302396916531,o3
ssp126,2042,0.036539141411682,-0.047891966801588,o3
ssp126,2043,0.03762976905865399,-0.04930253913268401,o3
ssp126,2044,0.038604104393773,-0.05081120869139699,o3
ssp126,2045,0.039754686173482996,-0.05226163550507901,o3
ssp126,2046,0.04088528065245801,-0.053683207013647996,o3
ssp126,2047,0.042009131834404,-0.055194603147131,o3
ssp126,2048,0.04306502779619801,-0.05679920497523701,o3
ssp126,2049,0.04416889295166599,-0.05836004185807901,o3
ssp126,2050,0.045228996190129996,-0.059977308546909996,o3
ssp126,2051,0.046352721231848006,-0.06154521782454399,o3
ssp126,2052,0.047282213884294,-0.063167977278127,o3
ssp126,2053,0.048229007804051004,-0.064553651904478,o3
ssp126,2054,0.049064203644533996,-0.06562778704943902,o3
ssp126,2055,0.049888021297067,-0.06668405202163499,o3
ssp126,2056,0.050564968030107994,-0.067784678686846,o3
ssp126,2057,0.051231837144978996,-0.068896677293999,o3
ssp126,2058,0.05188052248641399,-0.07023887912872702,o3
ssp126,2059,0.052564557667050996,-0.071241556607271,o3
ssp126,2060,0.053260616336060995,-0.072141914223933,o3
ssp126,2061,0.053994930868211,-0.07294102099202102,o3
ssp126,2062,0.054591368979039,-0.07402792410531701,o3
ssp126,2063,0.05523507184795699,-0.075070873169448,o3
ssp126,2064,0.05585685805266599,-0.075960367942018,o3
ssp126,2065,0.056405496691661006,-0.076865801336592,o3
ssp126,2066,0.056972170136028,-0.077694964573337,o3
ssp126,2067,0.057588804266915,-0.07850679397614099,o3
ssp126,2068,0.058185687235352994,-0.07957483916053901,o3
ssp126,2069,0.058793470158139,-0.08068532132905801,o3
ssp126,2070,0.059413683225240994,-0.081772369161746,o3
ssp126,2071,0.060051530222261,-0.082834929158366,o3
ssp126,2072,0.0607135066722,-0.08387528655462,o3
ssp126,2073,0.061408507670081,-0.084871926020839,o3
ssp126,2074,0.062141609061156,-0.08572589816175,o3
ssp126,2075,0.06289431906704399,-0.086577370742083,o3
ssp126,2076,0.063678624870919,-0.08747324257472198,o3
ssp126,2077,0.064393172391308,-0.08849369310818099,o3
ssp126,2078,0.065159296163996,-0.08948834708507701,o3
