Conventions,G,BADC-CSV,1,,,,,,,,
activity,G,IPCC AR6,,,,,,,,,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
title,G,"Data for Figure 6.22, warming for SSP scenarios for forcing agent HFCs (HFCs), relative to year 2019 ",,,,,,,,,
last_revised_date,G,2021-06-29,,,,,,,,,
location,G,global,,,,,,,,,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,,,,,,,,,
source,G,IPCC AR6 output,,,,,,,,,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),,,,,,,,,
feature_type,G,Global mean time series,,,,,,,,,
comments,G,This data is based on the AR6 forcing time series.,,,,,,,,,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,,,,,,,,,
coordinate_variable,year,year,year,,,,,,,,
metdb_short_name,year,year,year,,,,,,,,
long_name,year,year,year,,,,,,,,
type,year,int,,,,,,,,,
metdb_short_name,ssp460,ssp460,degrees C,,,,,,,,
long_name,ssp460,ssp460,degrees C,,,,,,,,
type,ssp460,float,,,,,,,,,
metdb_short_name,ssp370,ssp370,degrees C,,,,,,,,
long_name,ssp370,ssp370,degrees C,,,,,,,,
type,ssp370,float,,,,,,,,,
metdb_short_name,ssp126,ssp126,degrees C,,,,,,,,
long_name,ssp126,ssp126,degrees C,,,,,,,,
type,ssp126,float,,,,,,,,,
metdb_short_name,ssp434,ssp434,degrees C,,,,,,,,
long_name,ssp434,ssp434,degrees C,,,,,,,,
type,ssp434,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-aerchemmip,degrees C,,,,,,,,
type,ssp370-lowNTCF-aerchemmip,float,,,,,,,,,
metdb_short_name,ssp334,ssp334,degrees C,,,,,,,,
long_name,ssp334,ssp334,degrees C,,,,,,,,
type,ssp334,float,,,,,,,,,
metdb_short_name,ssp119,ssp119,degrees C,,,,,,,,
long_name,ssp119,ssp119,degrees C,,,,,,,,
type,ssp119,float,,,,,,,,,
metdb_short_name,ssp585,ssp585,degrees C,,,,,,,,
long_name,ssp585,ssp585,degrees C,,,,,,,,
type,ssp585,float,,,,,,,,,
metdb_short_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
long_name,ssp370-lowNTCF-gidden,ssp370-lowNTCF-gidden,degrees C,,,,,,,,
type,ssp370-lowNTCF-gidden,float,,,,,,,,,
metdb_short_name,ssp245,ssp245,degrees C,,,,,,,,
long_name,ssp245,ssp245,degrees C,,,,,,,,
type,ssp245,float,,,,,,,,,
metdb_short_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
long_name,ssp534-over,ssp534-over,degrees C,,,,,,,,
type,ssp534-over,float,,,,,,,,,
data,,,,,,,,,,,
year,ssp460,ssp370,ssp126,ssp434,ssp370-lowNTCF-aerchemmip,ssp334,ssp119,ssp585,ssp370-lowNTCF-gidden,ssp245,ssp534-over
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004,0.0009936700652944004
2021,0.0018107071033221424,0.0020531713935180006,0.0021045468654858953,0.0018107081132434245,0.0020531713935180006,0.0021201601765234446,0.0021201601765234446,0.002170416666879643,0.002058809926842268,0.0021923721797909666,0.0021703292286374895
2022,0.0026113083372108423,0.003163018911484487,0.003279414590671709,0.002611308324233775,0.003163018911484487,0.003315087259597879,0.003315087259597879,0.003429504840605316,0.003175895588104454,0.0034800617001934826,0.003429399680833783
2023,0.003423520989287802,0.004315003848211672,0.004499695608667958,0.0033791006031504717,0.004315003848211672,0.00453868741736679,0.00453868741736679,0.004772683112112385,0.0043371458212560325,0.004841289552155275,0.004772613516336999
2024,0.004299926780992176,0.00549347085195941,0.005730894665293296,0.0040918158464083865,0.00549347085195941,0.005720260215587598,0.005720260215587598,0.00619765562961078,0.00552719315231413,0.006243885049894381,0.006197718248246154
2025,0.00527595095042151,0.0066874876843000634,0.006949204160583172,0.00473395209717388,0.0066874876843000634,0.006811367961869645,0.006811367961869645,0.007702482845957748,0.006734956599698989,0.0076656533644240375,0.00770280628207734
2026,0.006375091062596882,0.00788942974862071,0.00813833616684263,0.005294998649852001,0.00788942974862071,0.007779204836414554,0.007779204836414554,0.009285291737427374,0.007952437972630906,0.00909131401793625,0.009286008796597044
2027,0.007612382417959328,0.009094010382830631,0.009287331128313467,0.005768188868133208,0.009094010382830631,0.008602153196311458,0.008602153196311458,0.010944221691424567,0.009173827131542557,0.010510416110194903,0.010945446641798244
2028,0.008996894608087187,0.010297646687523605,0.010389036818201091,0.00614950433461264,0.010297646687523605,0.00926656895846863,0.00926656895846863,0.012677330252951105,0.010394864307949916,0.011915945049592636,0.012679221805304074
2029,0.010533515733220623,0.011497991665173703,0.01143905150843258,0.006436917863413338,0.011497991665173703,0.009764549523518587,0.009764549523518587,0.014482695428892155,0.011612476963459527,0.013303338870421108,0.014485394322748885
2030,0.01222409552438651,0.012693567342700718,0.01243493594594686,0.00662986510392654,0.012693567342700718,0.01009227298823552,0.01009227298823552,0.01635838584341148,0.012824467383856359,0.014669820021422812,0.01636199289820559
2031,0.014068443120791897,0.013883547582665853,0.013375706574841034,0.006728838517275577,0.013883547582665853,0.010248860533411078,0.010248860533411078,0.018302483270019237,0.014029220192131101,0.016013862449954088,0.01830715702127125
2032,0.01606492573194952,0.01506759492436932,0.014261346180303232,0.006735102575221509,0.01506759492436932,0.01023545229354535,0.01023545229354535,0.020313151795810443,0.015225617879695216,0.017334860983127066,0.020318989357351196
2033,0.018182421334577772,0.016246745053339784,0.015077252896289643,0.0066626119229834455,0.016246745053339784,0.010079118580963463,0.010079118580963463,0.022380032233715787,0.016413455203050153,0.018628594793205083,0.022387100532603395
2034,0.020369665856918125,0.017422594248271736,0.015798382403574236,0.00653369773117219,0.017422594248271736,0.009824175706378415,0.009824175706378415,0.024486820902745943,0.017592940605919493,0.019888010662609357,0.024495025729373402
2035,0.02259030360317112,0.018595975907765416,0.016407600713787527,0.006363925168238312,0.018595975907765416,0.009501807361465133,0.009501807361465133,0.02662171755614699,0.018763981618899542,0.02110799676856136,0.026630853445645915
2036,0.02481869594125811,0.01976731808353553,0.01689376070402165,0.0061642330000483,0.01976731808353553,0.009134076410513222,0.009134076410513222,0.028776246083642192,0.019926410262042154,0.022285146893528434,0.028785990906607464
