percentile,scenario,year,variable,Delta T
recommendation,ssp460,2019,o3,0.0
recommendation,ssp460,2020,o3,0.001970733851895945
recommendation,ssp460,2021,o3,0.003651354537158674
recommendation,ssp460,2022,o3,0.005629132498193246
recommendation,ssp460,2023,o3,0.007825826727698382
recommendation,ssp460,2024,o3,0.010161050129343818
recommendation,ssp460,2025,o3,0.012594915911866428
recommendation,ssp460,2026,o3,0.015107006546535906
recommendation,ssp460,2027,o3,0.017689563920506857
recommendation,ssp460,2028,o3,0.020334547213985865
recommendation,ssp460,2029,o3,0.023032677117142797
recommendation,ssp460,2030,o3,0.025764542218231767
recommendation,ssp460,2031,o3,0.02852050320265387
recommendation,ssp460,2032,o3,0.031267752300332685
recommendation,ssp460,2033,o3,0.03399816144953216
recommendation,ssp460,2034,o3,0.03669566443349598
recommendation,ssp460,2035,o3,0.03934019480494522
recommendation,ssp460,2036,o3,0.041912944978502675
recommendation,ssp460,2037,o3,0.044428321606001575
recommendation,ssp460,2038,o3,0.046888042128257756
recommendation,ssp460,2039,o3,0.04931556740811244
recommendation,ssp460,2040,o3,0.05171330883986863
recommendation,ssp460,2041,o3,0.054097742918273906
recommendation,ssp460,2042,o3,0.056398968456992105
recommendation,ssp460,2043,o3,0.058629391313623824
recommendation,ssp460,2044,o3,0.060783704692391693
recommendation,ssp460,2045,o3,0.06285514537731773
recommendation,ssp460,2046,o3,0.06483694738716728
recommendation,ssp460,2047,o3,0.06671471957326397
recommendation,ssp460,2048,o3,0.06849238288774329
recommendation,ssp460,2049,o3,0.0701752521800294
recommendation,ssp460,2050,o3,0.07178523617104693
recommendation,ssp460,2051,o3,0.07335160514813949
recommendation,ssp460,2052,o3,0.07488669571985823
recommendation,ssp460,2053,o3,0.0763906592432495
recommendation,ssp460,2054,o3,0.07785996229946635
recommendation,ssp460,2055,o3,0.07928889080082985
recommendation,ssp460,2056,o3,0.08066388048585355
recommendation,ssp460,2057,o3,0.08196935411158413
recommendation,ssp460,2058,o3,0.08319676328222714
recommendation,ssp460,2059,o3,0.08436022847268321
recommendation,ssp460,2060,o3,0.0854676394977712
recommendation,ssp460,2061,o3,0.0865254495066814
recommendation,ssp460,2062,o3,0.08757146265605531
recommendation,ssp460,2063,o3,0.08860502835705575
recommendation,ssp460,2064,o3,0.08961741212164981
recommendation,ssp460,2065,o3,0.09059564882310966
recommendation,ssp460,2066,o3,0.09153009049595157
recommendation,ssp460,2067,o3,0.09241032132163257
recommendation,ssp460,2068,o3,0.09321884638133116
recommendation,ssp460,2069,o3,0.09395109445868172
recommendation,ssp460,2070,o3,0.094615003264447
recommendation,ssp460,2071,o3,0.09522969065190784
recommendation,ssp460,2072,o3,0.0957181262252974
recommendation,ssp460,2073,o3,0.09611160598584845
recommendation,ssp460,2074,o3,0.0964191508937553
recommendation,ssp460,2075,o3,0.0966469174333523
recommendation,ssp460,2076,o3,0.09680307763238394
recommendation,ssp460,2077,o3,0.09688958815530296
recommendation,ssp460,2078,o3,0.09691065478703298
recommendation,ssp460,2079,o3,0.09686336862188222
recommendation,ssp460,2080,o3,0.09674236977257478
recommendation,ssp460,2081,o3,0.09654729679425522
recommendation,ssp460,2082,o3,0.09634959392926573
recommendation,ssp460,2083,o3,0.09614599064594409
recommendation,ssp460,2084,o3,0.09593291641317647
recommendation,ssp460,2085,o3,0.09571501281197903
recommendation,ssp460,2086,o3,0.09548807540155196
recommendation,ssp460,2087,o3,0.09525814583352582
recommendation,ssp460,2088,o3,0.09502015325765722
recommendation,ssp460,2089,o3,0.09476374886550132
recommendation,ssp460,2090,o3,0.09448198449370959
recommendation,ssp460,2091,o3,0.09416233377455296
recommendation,ssp460,2092,o3,0.09383746750971794
recommendation,ssp460,2093,o3,0.09350157106737056
recommendation,ssp460,2094,o3,0.09314853602792966
recommendation,ssp460,2095,o3,0.09279927599420507
recommendation,ssp460,2096,o3,0.09247060104271121
recommendation,ssp460,2097,o3,0.09216617892500384
recommendation,ssp460,2098,o3,0.09188732880364547
recommendation,ssp460,2099,o3,0.09162393595083085
recommendation,ssp460,2100,o3,0.09136957769623627
recommendation,ssp370,2019,o3,0.0
recommendation,ssp370,2020,o3,0.001970733851895945
recommendation,ssp370,2021,o3,0.005148218464644361
recommendation,ssp370,2022,o3,0.008244756600507053
recommendation,ssp370,2023,o3,0.011284004966789607
recommendation,ssp370,2024,o3,0.014296033122562557
recommendation,ssp370,2025,o3,0.01730373798600049
recommendation,ssp370,2026,o3,0.020327620840737914
recommendation,ssp370,2027,o3,0.023389246227510818
recommendation,ssp370,2028,o3,0.026500882142605653
recommendation,ssp370,2029,o3,0.02966830214732391
recommendation,ssp370,2030,o3,0.03288265317582578
recommendation,ssp370,2031,o3,0.03614130115324554
recommendation,ssp370,2032,o3,0.039404690447978064
recommendation,ssp370,2033,o3,0.04266899403095864
recommendation,ssp370,2034,o3,0.045921373249806385
recommendation,ssp370,2035,o3,0.049145138614649087
recommendation,ssp370,2036,o3,0.05232434604734337
recommendation,ssp370,2037,o3,0.055474432700808485
