percentile,scenario,year,variable,Delta T
recommendation,ssp534-over,2019,HFCs,0.0
recommendation,ssp534-over,2020,HFCs,0.0013507292529011967
recommendation,ssp534-over,2021,HFCs,0.0027959572591751535
recommendation,ssp534-over,2022,HFCs,0.0043376507629862265
recommendation,ssp534-over,2023,HFCs,0.005973187278448479
recommendation,ssp534-over,2024,HFCs,0.007700342508892328
recommendation,ssp534-over,2025,HFCs,0.009516937678006937
recommendation,ssp534-over,2026,HFCs,0.011420782963056977
recommendation,ssp534-over,2027,HFCs,0.01340966766610076
recommendation,ssp534-over,2028,HFCs,0.015481333625234654
recommendation,ssp534-over,2029,HFCs,0.0176334874558012
recommendation,ssp534-over,2030,HFCs,0.019863964222918605
recommendation,ssp534-over,2031,HFCs,0.022170557403857198
recommendation,ssp534-over,2032,HFCs,0.02454128162978094
recommendation,ssp534-over,2033,HFCs,0.02695715883588072
recommendation,ssp534-over,2034,HFCs,0.02940446086320503
recommendation,ssp534-over,2035,HFCs,0.03187328595368794
recommendation,ssp534-over,2036,HFCs,0.034356654162995666
recommendation,ssp534-over,2037,HFCs,0.03684968939946665
recommendation,ssp534-over,2038,HFCs,0.0393489306730314
recommendation,ssp534-over,2039,HFCs,0.04185219909262697
recommendation,ssp534-over,2040,HFCs,0.044357951801901746
recommendation,ssp534-over,2041,HFCs,0.046865353417123494
recommendation,ssp534-over,2042,HFCs,0.04934203162360124
recommendation,ssp534-over,2043,HFCs,0.05173315767082109
recommendation,ssp534-over,2044,HFCs,0.05399991875774363
recommendation,ssp534-over,2045,HFCs,0.056115243879366956
recommendation,ssp534-over,2046,HFCs,0.05806068208749512
recommendation,ssp534-over,2047,HFCs,0.05982408947117592
recommendation,ssp534-over,2048,HFCs,0.06139808740729361
recommendation,ssp534-over,2049,HFCs,0.06277855991620863
recommendation,ssp534-over,2050,HFCs,0.06396396039088427
recommendation,ssp534-over,2051,HFCs,0.06495451066886311
recommendation,ssp534-over,2052,HFCs,0.0657343829241573
recommendation,ssp534-over,2053,HFCs,0.06627702711648223
recommendation,ssp534-over,2054,HFCs,0.0665662042721616
recommendation,ssp534-over,2055,HFCs,0.06659304594410893
recommendation,ssp534-over,2056,HFCs,0.0663541770550882
recommendation,ssp534-over,2057,HFCs,0.06584997136129313
recommendation,ssp534-over,2058,HFCs,0.06508354981421394
recommendation,ssp534-over,2059,HFCs,0.06406001831290362
recommendation,ssp534-over,2060,HFCs,0.06278564653649418
recommendation,ssp534-over,2061,HFCs,0.06126762433065556
recommendation,ssp534-over,2062,HFCs,0.059555524030932526
recommendation,ssp534-over,2063,HFCs,0.0577281329828973
recommendation,ssp534-over,2064,HFCs,0.05584212970670572
recommendation,ssp534-over,2065,HFCs,0.05393812149735692
recommendation,ssp534-over,2066,HFCs,0.05204490622080033
recommendation,ssp534-over,2067,HFCs,0.050182733753850774
recommendation,ssp534-over,2068,HFCs,0.04836548450720272
recommendation,ssp534-over,2069,HFCs,0.04660247073516069
recommendation,ssp534-over,2070,HFCs,0.04489953029843526
recommendation,ssp534-over,2071,HFCs,0.04326008320791457
recommendation,ssp534-over,2072,HFCs,0.04168529272899255
recommendation,ssp534-over,2073,HFCs,0.04017483964238996
recommendation,ssp534-over,2074,HFCs,0.03872769197621642
recommendation,ssp534-over,2075,HFCs,0.03734240980943671
recommendation,ssp534-over,2076,HFCs,0.03601723564478536
recommendation,ssp534-over,2077,HFCs,0.034750272864644285
recommendation,ssp534-over,2078,HFCs,0.03353939209041425
recommendation,ssp534-over,2079,HFCs,0.03238252523303089
recommendation,ssp534-over,2080,HFCs,0.031277468416961704
recommendation,ssp534-over,2081,HFCs,0.030222128826550503
recommendation,ssp534-over,2082,HFCs,0.029213815702479294
recommendation,ssp534-over,2083,HFCs,0.02824961563106934
recommendation,ssp534-over,2084,HFCs,0.02732689214015785
recommendation,ssp534-over,2085,HFCs,0.026443324276691917
recommendation,ssp534-over,2086,HFCs,0.02559677440279179
recommendation,ssp534-over,2087,HFCs,0.024785356522763285
recommendation,ssp534-over,2088,HFCs,0.02400731879291613
recommendation,ssp534-over,2089,HFCs,0.023261015702708075
recommendation,ssp534-over,2090,HFCs,0.022545201302673096
recommendation,ssp534-over,2091,HFCs,0.021858918975247284
recommendation,ssp534-over,2092,HFCs,0.02120094583396786
recommendation,ssp534-over,2093,HFCs,0.02056994402163076
recommendation,ssp534-over,2094,HFCs,0.01996456670778328
recommendation,ssp534-over,2095,HFCs,0.019383626547285406
recommendation,ssp534-over,2096,HFCs,0.018825949362468536
recommendation,ssp534-over,2097,HFCs,0.01829044612876446
recommendation,ssp534-over,2098,HFCs,0.01777606237229481
recommendation,ssp534-over,2099,HFCs,0.017281824819335122
recommendation,ssp534-over,2100,HFCs,0.01680679297480281
recommendation,ssp334,2019,HFCs,0.0
recommendation,ssp334,2020,HFCs,0.0012929531407192118
recommendation,ssp334,2021,HFCs,0.002664330332264377
recommendation,ssp334,2022,HFCs,0.004068315398707967
recommendation,ssp334,2023,HFCs,0.005423479580652932
recommendation,ssp334,2024,HFCs,0.006674058674841115
recommendation,ssp334,2025,HFCs,0.007782308361677965
recommendation,ssp334,2026,HFCs,0.008723380841961828
recommendation,ssp334,2027,HFCs,0.009481618591079424
recommendation,ssp334,2028,HFCs,0.01004798084715334
recommendation,ssp334,2029,HFCs,0.010418128853140697
recommendation,ssp334,2030,HFCs,0.010591114228605735
recommendation,ssp334,2031,HFCs,0.010568313622266423
recommendation,ssp334,2032,HFCs,0.010380964815127803
recommendation,ssp334,2033,HFCs,0.010080156204346607
recommendation,ssp334,2034,HFCs,0.00970183561598281
recommendation,ssp334,2035,HFCs,0.009271435346079852
recommendation,ssp334,2036,HFCs,0.008806976426301153
recommendation,ssp334,2037,HFCs,0.008321205196841241
recommendation,ssp334,2038,HFCs,0.007823082784591226
recommendation,ssp334,2039,HFCs,0.007318852632516542
recommendation,ssp334,2040,HFCs,0.0068127815379841455
recommendation,ssp334,2041,HFCs,0.006307725034375185
recommendation,ssp334,2042,HFCs,0.005808616249633055
recommendation,ssp334,2043,HFCs,0.005321760190477328
recommendation,ssp334,2044,HFCs,0.004851300440554174
recommendation,ssp334,2045,HFCs,0.004399820578469564
recommendation,ssp334,2046,HFCs,0.003968819340956718
recommendation,ssp334,2047,HFCs,0.0035590140751099644
recommendation,ssp334,2048,HFCs,0.0031705784511553304
recommendation,ssp334,2049,HFCs,0.002803308357111378
recommendation,ssp334,2050,HFCs,0.0024567397913612347
recommendation,ssp334,2051,HFCs,0.002130236864977467
recommendation,ssp334,2052,HFCs,0.0018228247783453593
recommendation,ssp334,2053,HFCs,0.0015333243094920682
recommendation,ssp334,2054,HFCs,0.0012606566045675754
recommendation,ssp334,2055,HFCs,0.001003832758342359
recommendation,ssp334,2056,HFCs,0.0007619412494953882
recommendation,ssp334,2057,HFCs,0.0005341386584849315
recommendation,ssp334,2058,HFCs,0.00031962986819745326
recommendation,ssp334,2059,HFCs,0.00011768696498445051
recommendation,ssp334,2060,HFCs,-7.237855025076304e-05
recommendation,ssp334,2061,HFCs,-0.00025121270725940274
recommendation,ssp334,2062,HFCs,-0.0004193819833382701
recommendation,ssp334,2063,HFCs,-0.000577397893216678
recommendation,ssp334,2064,HFCs,-0.0007257552695818879
recommendation,ssp334,2065,HFCs,-0.0008649306962458733
recommendation,ssp334,2066,HFCs,-0.0009953839771054164
recommendation,ssp334,2067,HFCs,-0.001117546090479874
recommendation,ssp334,2068,HFCs,-0.0012318339384132515
recommendation,ssp334,2069,HFCs,-0.0013386432528537592
recommendation,ssp334,2070,HFCs,-0.0014383429097043453
recommendation,ssp334,2071,HFCs,-0.0015312938695972722
