percentile,scenario,year,variable,Delta T
recommendation,ssp534-over,2019,aerosol-total-with_bc-snow,0.0
recommendation,ssp534-over,2020,aerosol-total-with_bc-snow,0.01799884684244113
recommendation,ssp534-over,2021,aerosol-total-with_bc-snow,0.03298989857938206
recommendation,ssp534-over,2022,aerosol-total-with_bc-snow,0.04572519827146526
recommendation,ssp534-over,2023,aerosol-total-with_bc-snow,0.05678843672490952
recommendation,ssp534-over,2024,aerosol-total-with_bc-snow,0.06665602229217382
recommendation,ssp534-over,2025,aerosol-total-with_bc-snow,0.07561558271098623
recommendation,ssp534-over,2026,aerosol-total-with_bc-snow,0.08391177790381543
recommendation,ssp534-over,2027,aerosol-total-with_bc-snow,0.09180467575471707
recommendation,ssp534-over,2028,aerosol-total-with_bc-snow,0.0993624325594481
recommendation,ssp534-over,2029,aerosol-total-with_bc-snow,0.1066894289378747
recommendation,ssp534-over,2030,aerosol-total-with_bc-snow,0.11387810884519145
recommendation,ssp534-over,2031,aerosol-total-with_bc-snow,0.11955098669859399
recommendation,ssp534-over,2032,aerosol-total-with_bc-snow,0.12408664759267396
recommendation,ssp534-over,2033,aerosol-total-with_bc-snow,0.1277698662777481
recommendation,ssp534-over,2034,aerosol-total-with_bc-snow,0.13084479054673726
recommendation,ssp534-over,2035,aerosol-total-with_bc-snow,0.13348236278065762
recommendation,ssp534-over,2036,aerosol-total-with_bc-snow,0.1358011824401968
recommendation,ssp534-over,2037,aerosol-total-with_bc-snow,0.13789586609476695
recommendation,ssp534-over,2038,aerosol-total-with_bc-snow,0.13977206276041448
recommendation,ssp534-over,2039,aerosol-total-with_bc-snow,0.14154759431993696
recommendation,ssp534-over,2040,aerosol-total-with_bc-snow,0.14322137931713547
recommendation,ssp534-over,2041,aerosol-total-with_bc-snow,0.14756660065834365
recommendation,ssp534-over,2042,aerosol-total-with_bc-snow,0.15393182192135663
recommendation,ssp534-over,2043,aerosol-total-with_bc-snow,0.16191238565299315
recommendation,ssp534-over,2044,aerosol-total-with_bc-snow,0.17114563101258762
recommendation,ssp534-over,2045,aerosol-total-with_bc-snow,0.18132288190195794
recommendation,ssp534-over,2046,aerosol-total-with_bc-snow,0.19229606619207162
recommendation,ssp534-over,2047,aerosol-total-with_bc-snow,0.20391318920078305
recommendation,ssp534-over,2048,aerosol-total-with_bc-snow,0.21605301893134676
recommendation,ssp534-over,2049,aerosol-total-with_bc-snow,0.22867851572895148
recommendation,ssp534-over,2050,aerosol-total-with_bc-snow,0.24172749907063867
recommendation,ssp534-over,2051,aerosol-total-with_bc-snow,0.2528023381694332
recommendation,ssp534-over,2052,aerosol-total-with_bc-snow,0.2624071853665293
recommendation,ssp534-over,2053,aerosol-total-with_bc-snow,0.2709300646762073
recommendation,ssp534-over,2054,aerosol-total-with_bc-snow,0.278654747669341
recommendation,ssp534-over,2055,aerosol-total-with_bc-snow,0.285800647095129
recommendation,ssp534-over,2056,aerosol-total-with_bc-snow,0.29253513787285484
