percentile,scenario,year,variable,Delta T
recommendation,ssp534-over,2019,ch4,0.0
recommendation,ssp534-over,2020,ch4,0.003683600671830378
recommendation,ssp534-over,2021,ch4,0.007032104513365334
recommendation,ssp534-over,2022,ch4,0.010128853978516983
recommendation,ssp534-over,2023,ch4,0.013076247200699054
recommendation,ssp534-over,2024,ch4,0.01594710322573989
recommendation,ssp534-over,2025,ch4,0.018793127192472392
recommendation,ssp534-over,2026,ch4,0.02164977678820401
recommendation,ssp534-over,2027,ch4,0.024540883693309645
recommendation,ssp534-over,2028,ch4,0.02748163610621618
recommendation,ssp534-over,2029,ch4,0.0304807744484355
recommendation,ssp534-over,2030,ch4,0.033542728653412957
recommendation,ssp534-over,2031,ch4,0.03666827165606551
recommendation,ssp534-over,2032,ch4,0.0398789425378927
recommendation,ssp534-over,2033,ch4,0.04320726252923357
recommendation,ssp534-over,2034,ch4,0.04667314866203476
recommendation,ssp534-over,2035,ch4,0.05028668781516371
recommendation,ssp534-over,2036,ch4,0.05405024088172866
recommendation,ssp534-over,2037,ch4,0.05796136430655263
recommendation,ssp534-over,2038,ch4,0.06201409993898699
recommendation,ssp534-over,2039,ch4,0.0662008112523722
recommendation,ssp534-over,2040,ch4,0.0705118185891882
recommendation,ssp534-over,2041,ch4,0.0749363608641741
recommendation,ssp534-over,2042,ch4,0.0792251572848583
recommendation,ssp534-over,2043,ch4,0.08297131046294981
recommendation,ssp534-over,2044,ch4,0.08590620527475867
recommendation,ssp534-over,2045,ch4,0.08785828610755858
recommendation,ssp534-over,2046,ch4,0.08872336679588805
recommendation,ssp534-over,2047,ch4,0.08844471446746943
recommendation,ssp534-over,2048,ch4,0.08699646140314532
recommendation,ssp534-over,2049,ch4,0.0843736127409268
recommendation,ssp534-over,2050,ch4,0.08058302262348949
recommendation,ssp534-over,2051,ch4,0.07563905775046553
recommendation,ssp534-over,2052,ch4,0.06969676853504198
recommendation,ssp534-over,2053,ch4,0.06301372173177244
recommendation,ssp534-over,2054,ch4,0.05578119947972393
recommendation,ssp534-over,2055,ch4,0.0481394148203782
recommendation,ssp534-over,2056,ch4,0.04019125342312013
recommendation,ssp534-over,2057,ch4,0.032012590797635465
recommendation,ssp534-over,2058,ch4,0.023658066569152036
recommendation,ssp534-over,2059,ch4,0.015165768195183282
recommendation,ssp534-over,2060,ch4,0.006563366643815349
recommendation,ssp534-over,2061,ch4,-0.0021314496392146887
recommendation,ssp534-over,2062,ch4,-0.010841741968440566
recommendation,ssp534-over,2063,ch4,-0.019448235178241124
recommendation,ssp534-over,2064,ch4,-0.02786751256236042
recommendation,ssp534-over,2065,ch4,-0.0360425312994509
recommendation,ssp534-over,2066,ch4,-0.04393718176143385
recommendation,ssp534-over,2067,ch4,-0.05152990610774816
recommendation,ssp534-over,2068,ch4,-0.05880939821169079
recommendation,ssp534-over,2069,ch4,-0.0657730943332577
recommendation,ssp534-over,2070,ch4,-0.07242364315979599
recommendation,ssp534-over,2071,ch4,-0.07876860737122571
recommendation,ssp534-over,2072,ch4,-0.08480792166026754
recommendation,ssp534-over,2073,ch4,-0.09053638384295137
recommendation,ssp534-over,2074,ch4,-0.0959556013455814
recommendation,ssp534-over,2075,ch4,-0.10107075339056856
recommendation,ssp534-over,2076,ch4,-0.10589062982198907
recommendation,ssp534-over,2077,ch4,-0.11042700762179206
recommendation,ssp534-over,2078,ch4,-0.11469225347224063
recommendation,ssp534-over,2079,ch4,-0.11870001976431
recommendation,ssp534-over,2080,ch4,-0.12246383698751828
recommendation,ssp534-over,2081,ch4,-0.1259979653808946
recommendation,ssp534-over,2082,ch4,-0.12932068053710766
recommendation,ssp534-over,2083,ch4,-0.13245282275113054
recommendation,ssp534-over,2084,ch4,-0.13541201555568652
recommendation,ssp534-over,2085,ch4,-0.1382135550894802
recommendation,ssp534-over,2086,ch4,-0.14087241167092535
recommendation,ssp534-over,2087,ch4,-0.1434000287513923
recommendation,ssp534-over,2088,ch4,-0.1458072700548591
recommendation,ssp534-over,2089,ch4,-0.14810530846527847
recommendation,ssp534-over,2090,ch4,-0.15029467590429918
recommendation,ssp534-over,2091,ch4,-0.1523726496655172
recommendation,ssp534-over,2092,ch4,-0.15433955189042822
recommendation,ssp534-over,2093,ch4,-0.1561959677787359
recommendation,ssp534-over,2094,ch4,-0.15794686119693113
recommendation,ssp534-over,2095,ch4,-0.15959845879852308
recommendation,ssp534-over,2096,ch4,-0.16115658398962016
recommendation,ssp534-over,2097,ch4,-0.16262887685235816
recommendation,ssp534-over,2098,ch4,-0.1640222861728665
recommendation,ssp534-over,2099,ch4,-0.1653432625448056
recommendation,ssp534-over,2100,ch4,-0.1665994477395357
recommendation,ssp334,2019,ch4,0.0
recommendation,ssp334,2020,ch4,0.005511791108213704
