percentile,scenario,year,variable,Delta T
recommendation,ssp534-over,2019,o3,0.0
recommendation,ssp534-over,2020,o3,0.0013421912555279247
recommendation,ssp534-over,2021,o3,0.0026004373271268366
recommendation,ssp534-over,2022,o3,0.0038094690493447603
recommendation,ssp534-over,2023,o3,0.005025502655613301
recommendation,ssp534-over,2024,o3,0.006283897845100306
recommendation,ssp534-over,2025,o3,0.007610273995537209
recommendation,ssp534-over,2026,o3,0.009027690210782147
recommendation,ssp534-over,2027,o3,0.010547091794518959
recommendation,ssp534-over,2028,o3,0.012169682428130046
recommendation,ssp534-over,2029,o3,0.013880479197335593
recommendation,ssp534-over,2030,o3,0.015671948653700363
recommendation,ssp534-over,2031,o3,0.017765436417652325
recommendation,ssp534-over,2032,o3,0.020111064311295168
recommendation,ssp534-over,2033,o3,0.02267320687672658
recommendation,ssp534-over,2034,o3,0.025411855402373895
recommendation,ssp534-over,2035,o3,0.028288104684182636
recommendation,ssp534-over,2036,o3,0.03130050590807615
recommendation,ssp534-over,2037,o3,0.0344342177449381
recommendation,ssp534-over,2038,o3,0.03770057331631971
recommendation,ssp534-over,2039,o3,0.041088130446010396
recommendation,ssp534-over,2040,o3,0.04460117058347318
recommendation,ssp534-over,2041,o3,0.04735179077514218
recommendation,ssp534-over,2042,o3,0.04936675554989395
recommendation,ssp534-over,2043,o3,0.050497564728239075
recommendation,ssp534-over,2044,o3,0.05066238630421366
recommendation,ssp534-over,2045,o3,0.049822537328066574
recommendation,ssp534-over,2046,o3,0.04795869623753257
recommendation,ssp534-over,2047,o3,0.045092602155599015
recommendation,ssp534-over,2048,o3,0.041258059117735835
recommendation,ssp534-over,2049,o3,0.0365164028621201
recommendation,ssp534-over,2050,o3,0.030940781052550048
recommendation,ssp534-over,2051,o3,0.024920170683272957
recommendation,ssp534-over,2052,o3,0.01852409277955913
recommendation,ssp534-over,2053,o3,0.011899165746970086
recommendation,ssp534-over,2054,o3,0.005146633188863048
recommendation,ssp534-over,2055,o3,-0.0016728843956941852
recommendation,ssp534-over,2056,o3,-0.008525275907235175
recommendation,ssp534-over,2057,o3,-0.015384252196639525
recommendation,ssp534-over,2058,o3,-0.02220994679984628
recommendation,ssp534-over,2059,o3,-0.02897881457199622
recommendation,ssp534-over,2060,o3,-0.03567451535259927
recommendation,ssp534-over,2061,o3,-0.04221057146128082
recommendation,ssp534-over,2062,o3,-0.04855863837791771
recommendation,ssp534-over,2063,o3,-0.05467767112110947
recommendation,ssp534-over,2064,o3,-0.06054906578295882
recommendation,ssp534-over,2065,o3,-0.0661662525597114
recommendation,ssp534-over,2066,o3,-0.07153525239431324
recommendation,ssp534-over,2067,o3,-0.07667916409901504
recommendation,ssp534-over,2068,o3,-0.08161092496276318
recommendation,ssp534-over,2069,o3,-0.08633280101168525
recommendation,ssp534-over,2070,o3,-0.09083657721323585
recommendation,ssp534-over,2071,o3,-0.09492183189805076
recommendation,ssp534-over,2072,o3,-0.09863205281224416
recommendation,ssp534-over,2073,o3,-0.10201332892822274
recommendation,ssp534-over,2074,o3,-0.10510825374633673
recommendation,ssp534-over,2075,o3,-0.10795010665075316
recommendation,ssp534-over,2076,o3,-0.11057262655602865
recommendation,ssp534-over,2077,o3,-0.11300383244944773
recommendation,ssp534-over,2078,o3,-0.11527375436969967
recommendation,ssp534-over,2079,o3,-0.11741293580317957
recommendation,ssp534-over,2080,o3,-0.11944258728552798
recommendation,ssp534-over,2081,o3,-0.1212097442241544
recommendation,ssp534-over,2082,o3,-0.12275767749259558
recommendation,ssp534-over,2083,o3,-0.12412177924410789
recommendation,ssp534-over,2084,o3,-0.1253228486429844
recommendation,ssp534-over,2085,o3,-0.12638733476204936
recommendation,ssp534-over,2086,o3,-0.1273275011591304
recommendation,ssp534-over,2087,o3,-0.12816358479720932
recommendation,ssp534-over,2088,o3,-0.12892014289345471
recommendation,ssp534-over,2089,o3,-0.12961694623556996
recommendation,ssp534-over,2090,o3,-0.13027513970733473
recommendation,ssp534-over,2091,o3,-0.13087481441399054
recommendation,ssp534-over,2092,o3,-0.1314279243707723
recommendation,ssp534-over,2093,o3,-0.13194538760782148
recommendation,ssp534-over,2094,o3,-0.13240804587829208
recommendation,ssp534-over,2095,o3,-0.1328010162467167
recommendation,ssp534-over,2096,o3,-0.1331241705354948
recommendation,ssp534-over,2097,o3,-0.13338024452986452
recommendation,ssp534-over,2098,o3,-0.13358438197493733
recommendation,ssp534-over,2099,o3,-0.13374803276795097
recommendation,ssp534-over,2100,o3,-0.13389151946352687
recommendation,ssp334,2019,o3,0.0
recommendation,ssp334,2020,o3,-0.004996593031568686
recommendation,ssp334,2021,o3,-0.008121452961061704
recommendation,ssp334,2022,o3,-0.009880045411113425
recommendation,ssp334,2023,o3,-0.010636579271888935
recommendation,ssp334,2024,o3,-0.010648036749835832
recommendation,ssp334,2025,o3,-0.010096566736256196
recommendation,ssp334,2026,o3,-0.009114329588167103
recommendation,ssp334,2027,o3,-0.007799553373761814
recommendation,ssp334,2028,o3,-0.006230231775876116
recommendation,ssp334,2029,o3,-0.004468090992771567
recommendation,ssp334,2030,o3,-0.0025605768146876318
recommendation,ssp334,2031,o3,-0.0019933052198821133
recommendation,ssp334,2032,o3,-0.002443473631225379
recommendation,ssp334,2033,o3,-0.003679656980675461
recommendation,ssp334,2034,o3,-0.00552887578203648
recommendation,ssp334,2035,o3,-0.007850985601217775
recommendation,ssp334,2036,o3,-0.010534386513473992
recommendation,ssp334,2037,o3,-0.013489385896637784
recommendation,ssp334,2038,o3,-0.016646674255416827
recommendation,ssp334,2039,o3,-0.01995436355235053
recommendation,ssp334,2040,o3,-0.0233704306389749
recommendation,ssp334,2041,o3,-0.02638754416021183
recommendation,ssp334,2042,o3,-0.02909207474312603
recommendation,ssp334,2043,o3,-0.03155911658047286
recommendation,ssp334,2044,o3,-0.03385191895568829
recommendation,ssp334,2045,o3,-0.03602718830205401
recommendation,ssp334,2046,o3,-0.03812848581011616
recommendation,ssp334,2047,o3,-0.04018437743769421
recommendation,ssp334,2048,o3,-0.04220927073604036
recommendation,ssp334,2049,o3,-0.04420165816362798
recommendation,ssp334,2050,o3,-0.04615455858783993
