year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.008380154193647325,-0.007981105057566336,-0.00820043706107091,-0.007960795220784507,-0.007092521814028139,-0.007092511151299793,-0.00838037807146015,-0.00814440750932959,-0.008459734986658349,-0.007960795220784507
2016,-0.0071869783965842135,-0.006787933082381514,-0.007007259487020082,-0.006767623213571224,-0.0058993655247333784,-0.0058993584185719344,-0.007187197240222685,-0.006951232552647162,-0.007266554589628556,-0.006767623213571224
2017,-0.005942148703292554,-0.0055491336972567015,-0.005765109310824138,-0.005529120432427908,-0.004674010953774368,-0.004674006179739402,-0.005942354251181222,-0.0057099108679655106,-0.006020545263662275,-0.005529120432427908
2018,-0.0046067127485348094,-0.00424363133530559,-0.004443049560914476,-0.004225114757595412,-0.003434968295959323,-0.003434965861236039,-0.004606876760100437,-0.004391963192808969,-0.00467931937465119,-0.004225114757595412
2019,-0.00316877866412937,-0.0028825638356358776,-0.003039599659670867,-0.0028679333012553605,-0.002244700121478479,-0.002244698170857363,-0.0031688634730303485,-0.002999192946497496,-0.0032263830097256467,-0.0028679333012553605
2020,-0.0016342220179082802,-0.001467755204815891,-0.0015589511811512531,-0.001459214990291835,-0.0010964487730846136,-0.0010964493216460078,-0.0016342196059914958,-0.0015353614668951153,-0.0016680089270891402,-0.001459214990291835
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0017339062982710159,0.0015102443595183847,0.0015828996531506746,0.0014987917163223376,0.001027665577323398,0.0010869492538568108,0.001733839512652515,0.0015811169669249468,0.001754295424291355,0.0014987917163223376
2023,0.0035654517716125454,0.003045345361383133,0.003097950962154688,0.0030192312627460166,0.0019636818094007948,0.002240552971349584,0.0035651953877745453,0.003164329351299868,0.003552901402708142,0.0030192312627460166
2024,0.005492826609168257,0.004592906460944617,0.0044837616022607996,0.0045491928828304,0.0027928237001933337,0.0035114411150427606,0.005492212697142212,0.0047202748938456815,0.005367516951014801,0.0045491928828304
2025,0.007514093732229471,0.006144221020672736,0.0056998964225238,0.006080518333190722,0.0035053831312952116,0.004932719202496438,0.007512950450383214,0.0062294411590142935,0.007179145265277052,0.006080518333190722
2026,0.009627179733968858,0.0076931248167446155,0.006720615904751724,0.007607785161658529,0.0040957149926904475,0.0065252547949084146,0.009625361254774513,0.007679162713613293,0.008975160187383511,0.007607785161658529
2027,0.011829893985623487,0.00923521057042112,0.0075304450431444014,0.009127504513473144,0.004561086259719901,0.008301417420630956,0.011827196018849302,0.009061552049068836,0.01074737242212936,0.009127504513473144
