year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.006126539083781874,-0.0059639794256830195,-0.0060533682504293924,-0.005955715954724867,-0.005602076721155145,-0.0056020748163660445,-0.006126637978732688,-0.006030577329042192,-0.006158879530490234,-0.005955715954724867
2016,-0.005261029292099066,-0.0050984695954650085,-0.0051878579025387336,-0.005090206046439354,-0.004736568997652343,-0.004736567533500725,-0.0052611275451591045,-0.0051650672892652235,-0.005293368760350111,-0.005090206046439354
2017,-0.004345657942925596,-0.004185210326521737,-0.004273425440730212,-0.004177050648597715,-0.0038280188488681467,-0.003828017689526243,-0.004345752245753225,-0.004250924749529775,-0.004377584344878047,-0.004177050648597715
2018,-0.0033665710562325035,-0.0032169829761304336,-0.00329919070645859,-0.003209365964402723,-0.0028839058392754278,-0.0028839051781735965,-0.003366650628787559,-0.0032781816014712545,-0.0033963962146280127,-0.003209365964402723
2019,-0.0023170206129654158,-0.0021965471895108585,-0.0022626974372142953,-0.0021904005942485136,-0.00192816285514524,-0.0019281622160231809,-0.002317069714591856,-0.0022457298388091906,-0.00234116652460422,-0.0021904005942485136
2020,-0.0011959934755819135,-0.0011241935718610523,-0.0011635677476344933,-0.0011205190893658328,-0.0009641285892163839,-0.0009641287217908023,-0.001196004669382189,-0.0011534223494164431,-0.0012104862541661553,-0.0011205190893658328
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0012733498468473076,0.0011724986647444289,0.0012103079158850075,0.0011673405884982096,0.0009533389940193891,0.0009741127182991659,0.0012733372247216868,0.0012065245724975828,0.001284983848972604,0.0011673405884982096
2023,0.0026255000490643596,0.0023865938121130966,0.002433062319406574,0.0023745535964032217,0.0018823491118837923,0.001983018941218377,0.0026254266614931816,0.0024501863802542986,0.0026309225171542265,0.0023745535964032217
2024,0.004057647409950151,0.0036363709859793345,0.003639162486226793,0.0036156772302660452,0.0027752684192336,0.0030474453042340158,0.004057442210330666,0.0037173992756884874,0.004026367899492324,0.0036156772302660452
2025,0.005570659130518706,0.004916586504541727,0.0048037658868053945,0.004885547595417717,0.0036219220966834005,0.004184819497125698,0.005570240483681833,0.004996520287778259,0.005461525459012455,0.004885547595417717
2026,0.007165087862335197,0.0062225501176495935,0.005905669784219688,0.006179666200702998,0.004413585367809742,0.005409781404183214,0.007164374640642226,0.006277543318854597,0.006927947462725435,0.006179666200702998
2027,0.008841194428139524,0.007550037699715793,0.006926803848649334,0.007494114639235558,0.005142828785537477,0.006734601081631462,0.008840078807251418,0.007551866582711354,0.008418329647518145,0.007494114639235558
2028,0.0105989618092944,0.008895262623413043,0.007851840464421462,0.008825488714262317,0.00580337237911863,0.008169526219635959,0.01059733454738026,0.008812121088167686,0.009926354951014179,0.008825488714262317
2029,0.012438119769081987,0.010254829570888442,0.008667851565342288,0.010170825419148726,0.006389967209039279,0.00972300340638925,0.012435884792426582,0.010052015322629308,0.011446581425443653,0.010170825419148726
2030,0.014358231942406749,0.011625667745008115,0.00936403852191054,0.011527561930520994,0.006898286392433471,0.011401951647872346,0.01435526225390322,0.01126623424804474,0.012974324498468508,0.011527561930520994
2031,0.01635865551434531,0.013005027825307805,0.009931454773091195,0.012893504070088687,0.007324830625899975,0.013211938513402847,0.01635484684611315,0.01245029064981991,0.014505580451932468,0.012893504070088687
2032,0.018434672634207443,0.014390776602436093,0.010374337381552693,0.014267327717776253,0.007672576591294566,0.015144060578418328,0.01842993207237968,0.013593373871007992,0.016035033210536582,0.014267327717776253
2033,0.02057799119057336,0.01578121274195255,0.010707903998469548,0.015648286097175883,0.007949863273837995,0.0171771558778195,0.020572303810435073,0.014679140805061679,0.017556115567743658,0.015648286097175883
2034,0.0227812564483032,0.017174676268023104,0.010945095049449821,0.017035533866221197,0.008163752802143851,0.019292898067704827,0.02277467085068157,0.01569349677699368,0.01906294042950613,0.017035533866221197
2035,0.025037924618785866,0.018569616511034635,0.011097099732367458,0.0184282109015681,0.008320346875672329,0.02147534677894244,0.025030563774736135,0.01662442639051355,0.02055035732948601,0.0184282109015681
2036,0.027342216264497295,0.019964575497003124,0.011173696393637196,0.01982550100677758,0.008424967622306791,0.02371057000049547,0.027334252587714845,0.017461752673088006,0.02201388626194688,0.01982550100677758
2037,0.029689016143399326,0.021358245340277554,0.011183485156398738,0.021226640615781285,0.00848229890660021,0.025986441464340464,0.029680646452760202,0.01819694091371194,0.023449673790809842,0.021226640615781285
2038,0.03207374850964364,0.02274946489469048,0.01113405852718951,0.022630969083982697,0.008496480480533954,0.028292333698620078,0.032065259339699836,0.018822962442118805,0.02485446461761343,0.022630969083982697
2039,0.03449241845371534,0.024137214912510196,0.011032134103581955,0.02403784865424049,0.008471183646843274,0.030619028326240968,0.0344840991440649,0.0193340748727319,0.02622547965645337,0.02403784865424049
2040,0.03694143279158494,0.02552054676369544,0.010883659702973461,0.025446743573667323,0.008409666959317864,0.03295850825026338,0.036933649643059493,0.01972570635030914,0.027560441830531506,0.025446743573667323
