year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.05940399302764221,-0.035477254455732576,-0.05865328972540118,-0.025650281174769418,-0.03813927443252507,-0.03759503499674244,-0.05940399302764221,-0.057037869921136686,-0.04942379270927921,-0.035477254455732576
2016,-0.05036131369638863,-0.026773164231596813,-0.04964393650631038,-0.017081835391754563,-0.029404336538620623,-0.02886009710283799,-0.05036131369638863,-0.0480411614850349,-0.04051150842170603,-0.026773164231596813
2017,-0.04139547524699927,-0.019134197420255128,-0.04082100354966678,-0.00997646191952728,-0.021635827309074318,-0.021091587873291684,-0.04139547524699927,-0.03926928567947008,-0.032058545544802364,-0.019134197420255128
2018,-0.032608530815333325,-0.013227889480790456,-0.032314790769705115,-0.005171336826367057,-0.015388996376886066,-0.014844756941103432,-0.032608530815333325,-0.030874570108419985,-0.024390262659114592,-0.013227889480790456
2019,-0.022819447603179444,-0.008371370204089623,-0.02297901690636439,-0.0022128392106373074,-0.009976449963127187,-0.009432210527344553,-0.022819447603179444,-0.021737125046043082,-0.016515993432569376,-0.008371370204089623
2020,-0.011251791493260388,-0.004307908232694668,-0.012113896585347117,-0.0009583689344512258,-0.005001301561993632,-0.004457062126210998,-0.011251791493260388,-0.0111688783474303,-0.007839827586108128,-0.004307908232694668
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.010959648318054849,0.0045157107615083625,0.013289875148841945,0.0006947090049671534,0.005042987059822424,0.0039851529983195855,0.010959648318054849,0.011734370201540778,0.007079700587490523,0.0045157107615083625
2023,0.021657694101669955,0.009240606940177254,0.02767195222514296,0.0011497487175938792,0.01012969786414808,0.007545636594857963,0.021657694101669955,0.02399881404688098,0.01346862355175893,0.009240606940177254
2024,0.032138333900685656,0.014146218473916172,0.04308951144134787,0.0013829883240868979,0.015240199839475999,0.010728227506946242,0.032138333900685656,0.036756485650197956,0.0192303949305882,0.014146218473916172
2025,0.042414134096819156,0.01920496839280672,0.059507699249953805,0.0014189795301873254,0.020393019326804596,0.013552512098563896,0.042414134096819156,0.0499984696830309,0.024425736334216186,0.01920496839280672
2026,0.05250864052947879,0.024423667902431445,0.07685502262802413,0.0012654676381628205,0.0255723980725181,0.01606080478190053,0.05250864052947879,0.06370488514652828,0.029106755778614768,0.024423667902431445
2027,0.06247460742140465,0.029800511641973393,0.09512480321716388,0.0009467184261359174,0.030784236396228737,0.018278736755539038,0.06247460742140465,0.07787522427272198,0.03330116293427543,0.029800511641973393
2028,0.07230889511484406,0.0353258579485507,0.1142871174029022,0.0004770617931406651,0.036044713098692505,0.02022375566168355,0.07230889511484406,0.09249101496724565,0.03706301241687682,0.0353258579485507
2029,0.08203034268042375,0.04098062487447429,0.13430875495080685,-0.00013226453898518287,0.041351152505972544,0.021926498690186258,0.08203034268042375,0.10753220570906497,0.04044342414529045,0.04098062487447429
2030,0.09166195036943503,0.04675146683745457,0.15517546358572576,-0.000859360006906118,0.04669021932629247,0.023406072934778366,0.09166195036943503,0.12300129579822938,0.043473406216606114,0.04675146683745457
2031,0.10059230320758494,0.05276778645045843,0.17469583605621963,-0.0016233784259953588,0.05209551484760511,0.024797793271548296,0.10059230320758494,0.13798138688698058,0.04681740931719702,0.05276778645045843
2032,0.10888257049340522,0.059012565964208674,0.19299958055687583,-0.0024164659235189623,0.05756611269260259,0.02612218488942608,0.10888257049340522,0.15250850259276627,0.05043762241882621,0.059012565964208674
2033,0.11658921649359899,0.06545966546982374,0.2102040813404742,-0.0032409037396126106,0.06308572624775666,0.027371631276564834,0.11658921649359899,0.16663359717805404,0.0543154583738934,0.06545966546982374
2034,0.12377634691603268,0.07211775057163983,0.22640808748206376,-0.00408889758880171,0.06867097008502066,0.028558264004278633,0.12377634691603268,0.18040373706175095,0.0584252496110943,0.07211775057163983
2035,0.13049763156412197,0.07897416996123519,0.24170753363415626,-0.004971963525132295,0.07432538275179512,0.029697099115914116,0.13049763156412197,0.19386091456031873,0.06276128101717449,0.07897416996123519
2036,0.13679819802074977,0.08600335940795167,0.25618255822585523,-0.005873937686911912,0.08002932978921273,0.030788483858362525,0.13679819802074988,0.20703167179276616,0.0673158722034175,0.08600335940795167
2037,0.1427215303689906,0.0932007770223292,0.26991589359829643,-0.006796496754788994,0.08577981659340084,0.03183856191453183,0.1427215303689906,0.21995335293540852,0.07205118661408105,0.0932007770223292
2038,0.14828082687789312,0.10055685636063527,0.2829830282288984,-0.007741133782059317,0.09158281338837448,0.032844923833381334,0.14828082687789312,0.23265547348702953,0.0769587741126071,0.10055685636063527
2039,0.15353414237087526,0.1080657761232604,0.29545479266699937,-0.008698505622243835,0.09743571674021279,0.03380849897129423,0.15353414237087526,0.24515797603477202,0.08203678206812304,0.1080657761232604
2040,0.15849815080298169,0.11571803470484876,0.3073761603937066,-0.009671242795876278,0.10334957700977354,0.03474188619746421,0.15849815080298169,0.25747981690775257,0.0872585315572636,0.11571803470484876
2041,0.164474093130197,0.12376335696052365,0.3185662532412171,-0.010654100065440208,0.10943289640567488,0.035803549213754504,0.16343237097524443,0.26921981865683275,0.09272286867013535,0.12376335696052365
2042,0.17137871113329595,0.13219610122203962,0.3290949862194922,-0.01164542986651651,0.1156488696705309,0.036983405555086835,0.16833164590016592,0.280433835100917,0.0984123263954867,0.13219610122203962
2043,0.17916943412838304,0.1409815903741083,0.3390293585701005,-0.012644510800374986,0.1219819726345962,0.03827731207127183,0.17319894452266194,0.29116440191873877,0.10431905053848589,0.1409815903741083
2044,0.1877830009880116,0.15009398438737165,0.34842590674660534,-0.013651414125348094,0.12843687177243113,0.03967159632683315,0.1780439309409424,0.3014621200153655,0.11042369450664968,0.15009398438737165
2045,0.19714653589099396,0.1595470727529522,0.35733856631373323,-0.01466576243690787,0.13500651919869477,0.041156749606879095,0.18287072028507556,0.3113747741718134,0.11670904779364188,0.1595470727529522
2046,0.2072271750771818,0.16931247136728367,0.36581435301419984,-0.015687017022450123,0.1416770836445369,0.04272165623197721,0.18768430814731696,0.32093776936864393,0.12316204847431589,0.16931247136728367
2047,0.21797821656995853,0.17936705416082543,0.3739071422898314,-0.0167145629977965,0.14847294342058148,0.04436329416965101,0.19249297058828663,0.3301876442719707,0.12978079748979554,0.17936705416082543
2048,0.22935404771197132,0.18968357095582566,0.38165836327114194,-0.017745977723347628,0.1553760221507503,0.04609240953634419,0.19730400224172884,0.339154126590939,0.13655063605391304,0.18968357095582566
2049,0.24133485311383623,0.20025928411900618,0.38910212110650905,-0.0187802014641566,0.16238034947234203,0.047886340645854286,0.20211168029480386,0.3478667507905199,0.14347257935304736,0.20025928411900618
2050,0.2538885898854909,0.2110931480355791,0.3962882940341498,-0.01982036484798444,0.16950316761372597,0.04974488105269248,0.20692126982511683,0.35635169533756017,0.1505348856209543,0.2110931480355791
2051,0.26591324591729576,0.2211395519492002,0.4029864690866469,-0.020658145570599196,0.1763739039832909,0.05175635964634129,0.21107262513876113,0.36444600199623556,0.15745152954716424,0.2211395519492002
2052,0.27745783215436115,0.23047194126073944,0.4092395491318284,-0.021301403186844592,0.18302620793836644,0.053901015926961615,0.21462194137694157,0.37218683751848847,0.16424966787125084,0.23047194126073944
2053,0.28857159735429844,0.23915971371508216,0.41509165722626223,-0.02176162045247365,0.1894683668864784,0.056178144168430366,0.217638148809567,0.37960552864463365,0.1709281822396691,0.23915971371508216
2054,0.2992968960795844,0.24725490822134633,0.4205822950196571,-0.022067582344392545,0.1957287391946113,0.058594109634386826,0.22015453904886628,0.38673666838786985,0.17750556106455417,0.24725490822134633
2055,0.3096752826099144,0.25481766674004147,0.4257406066918386,-0.022220486026710784,0.2018354828046438,0.06111814049425435,0.22222687524576024,0.39360826155240225,0.18399899985123058,0.25481766674004147
2056,0.31974596752183054,0.26189580305430954,0.43059699422526976,-0.022245803402487274,0.20780219613685846,0.06374909985102295,0.22388960196029406,0.4002427935469122,0.19041767899227025,0.26189580305430954
2057,0.3295433256040638,0.26853223751899524,0.43518185727794706,-0.022152806433909933,0.21363871470588147,0.0664824734676498,0.2251863745024042,0.4066607805098234,0.1967753395404811,0.26853223751899524
2058,0.3390951452377741,0.27476291499512334,0.43952160624730424,-0.02193870115581187,0.21935842041551012,0.06931356169369018,0.22614345616249742,0.4128904311218911,0.20306864280849224,0.27476291499512334
2059,0.3484278893722722,0.2806261612902711,0.4436397369761488,-0.021631777557729825,0.22497796339847587,0.07222567052338669,0.22679649358438014,0.41895037580697336,0.209315282355379,0.2806261612902711
2060,0.3575675381244582,0.2861650709054235,0.447558493758158,-0.021233843814120523,0.23051539556930478,0.07521418779644629,0.22716790020381716,0.4248569814922586,0.21552583222388744,0.2861650709054235
2061,0.3662186844979606,0.291411305760884,0.4513175462169047,-0.020720801615682904,0.2356489985095579,0.07834064619541425,0.2275474650406275,0.43048596541676315,0.22154846074321566,0.291411305760884
