year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.012526437231677567,-0.012976360658803643,-0.011586774072491257,-0.013246254119174572,-0.013994729732736855,-0.013994730557180812,-0.012365841085534457,-0.011243892863973926,-0.012614763163543707,-0.013246254119174572
2016,-0.010842762578400722,-0.011292681122686776,-0.009903103761092158,-0.011562573876677973,-0.012311044798563764,-0.01231104611769901,-0.010682167099570206,-0.0095602247786441,-0.010931087076219592,-0.011562573876677973
2017,-0.008936888017315958,-0.00938061273253199,-0.008009360317811798,-0.009646932983513379,-0.010385743541870884,-0.010385745225826581,-0.008778317671835345,-0.0076708808092857406,-0.009023894244990283,-0.009646932983513379
2018,-0.0068505024222836886,-0.007264008977842462,-0.005985900007891565,-0.007512035125032068,-0.008201024722122363,-0.00820102674687856,-0.006702644217632225,-0.005670215994737937,-0.00693158311606229,-0.007512035125032068
2019,-0.004586947212021464,-0.0049200221599444705,-0.00389093027429549,-0.005119286413938051,-0.005674379563924858,-0.005674381303941878,-0.004467968611772455,-0.0036364561835903753,-0.004652465920880311,-0.005119286413938051
2020,-0.002296359672520676,-0.0024948788112235665,-0.0018818458234694524,-0.0026133706476334506,-0.0029440412498639157,-0.0029440437146079357,-0.0022256642301106133,-0.001730104821441647,-0.0023357538982231585,-0.0026133706476334506
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.002300855776080024,0.0024966589614032197,0.0017119920694911306,0.002715950796647437,0.0031243880692014003,0.003147502398731128,0.002207391168612849,0.0015251198307236757,0.0023417575104128785,0.002715950796647437
2023,0.004621320676944207,0.004879842771416065,0.0032108160584327083,0.005531320672101825,0.006359550411865589,0.006470702667418171,0.004414648644581132,0.0028335526189021687,0.004680861047249407,0.005531320672101825
2024,0.006973640072836906,0.007053511432013937,0.004460770529534586,0.008442374365598748,0.009647102527991613,0.009945097153186033,0.006636971890289556,0.003916873774953367,0.007010084249980841,0.008442374365598748
2025,0.009367848437369874,0.008937185593539898,0.005432949009532784,0.011445066942037063,0.012937692558745661,0.013548941388741353,0.00888669953403004,0.004769014502462532,0.009323493833982954,0.011445066942037063
2026,0.01181177660653926,0.01046447263312722,0.0061039464006603095,0.014535069229075048,0.016190198274977252,0.0172626137786559,0.011173958763789793,0.005386428304224755,0.011616326416454492,0.014535069229075048
2027,0.014311458695747625,0.01158047097517656,0.006455280590448975,0.017707823379979337,0.019370658375059524,0.021068966246722887,0.01350687018483221,0.005767257924442326,0.013884679621021134,0.017707823379979337
