year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.1250857464498666,-0.07153958741034783,-0.10055848503769618,-0.05965208314004944,-0.08352297027116924,-0.08227305206200197,-0.12444914443590152,-0.09486812070311701,-0.09410706186355149,-0.07264848690381283
2016,-0.10648216222731033,-0.053890911078679465,-0.08226177537332358,-0.04229832250715802,-0.06575392495142476,-0.06450401461382425,-0.10584556109396961,-0.07661533024470818,-0.07596859538935817,-0.05499980588317201
2017,-0.08885071203985304,-0.03983264150950733,-0.06600831352174039,-0.029250735475611855,-0.05117230411902164,-0.0499223989830363,-0.088222074125061,-0.06055723459204709,-0.06015391172865847,-0.04092694280615873
2018,-0.07112021572555952,-0.029417731102874968,-0.05152710639952824,-0.020505483448866837,-0.03934551023819458,-0.03809560953509524,-0.07053616366263309,-0.04656120203425586,-0.04632175930204405,-0.030432507457746137
2019,-0.049646517016259564,-0.019741783609765674,-0.03614334707941438,-0.013162152810372758,-0.027150644288160615,-0.02590074113705356,-0.04918782710195134,-0.03213741403601134,-0.03142246797631298,-0.0205354610064818
2020,-0.022883935083334805,-0.01000332773249571,-0.01817824210743741,-0.006639969092493897,-0.013543528729761861,-0.01229363397781788,-0.022618687526563028,-0.015566984485632054,-0.014035040735718783,-0.01046176138771275
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.020070673964021422,0.009864884859802178,0.018168290762519024,0.006763220375647125,0.01342965385061444,0.011380408624666022,0.01974205195630712,0.01467550380748818,0.011525732581917483,0.01072516776713213
2023,0.03821354199382187,0.019150460724018728,0.03605670903610563,0.013648217236172419,0.026486248267309317,0.022119111676174433,0.037514446121759575,0.028589352292922317,0.02115189951410089,0.02173222426565076
2024,0.05511194729789493,0.027494961455445555,0.05354052973177384,0.020641793768887945,0.03896513799426923,0.03244970170045622,0.054016876118729636,0.0418314254425234,0.029349125101389574,0.03294885024212542
2025,0.07118308593362485,0.034668772265794,0.07060182161909981,0.02776137118247589,0.05085129919270312,0.042487837744227694,0.06967677068061232,0.0545509574568071,0.03648345165776034,0.04432086429623432
2026,0.0867673620074998,0.0406367746440644,0.08713968797835088,0.034985135904585074,0.0620693855729061,0.05239512574117765,0.08484253831984634,0.06684210206059757,0.04282644072852175,0.055906875448526884
2027,0.10219259189980986,0.045373704829835895,0.10326048313484024,0.042339819730433506,0.07263553612777103,0.062249359957705835,0.09984790629873369,0.07882772499784575,0.04851917947513596,0.06772013954398873
2028,0.11754136087974407,0.04885710049455519,0.11898490302239673,0.049818170712412194,0.08260075915299352,0.07208422557628054,0.11477823488407976,0.09054897481990264,0.05374456955977594,0.07974283454879189
2029,0.13291392654100218,0.05104605849027892,0.13430658067883386,0.057390848726941314,0.09195138194975704,0.0819488415932408,0.1297363265831493,0.10201793637320336,0.05862890178308405,0.09191360164631605
2030,0.14840175564635566,0.051949425862095035,0.14928485950570547,0.06507417945731721,0.10066316821704167,0.09185938114640024,0.14481557277834942,0.11331511995911829,0.06322718026251811,0.1042035437593721
2031,0.16265822588753603,0.05207236856096641,0.15937771709282586,0.07297249556652027,0.10878435136473236,0.10204904346381125,0.15867072086911088,0.12294805292128816,0.06922654303298471,0.11707333987400205
2032,0.17608795573199565,0.0514998862422253,0.16583279722003058,0.08103451893909504,0.11644121074301013,0.11245185292948542,0.17170783708396867,0.13124810442933282,0.07615047299425433,0.1303750555912242
2033,0.18899919901853773,0.0504326074368282,0.16967604370878864,0.08917712998720317,0.12378077857239943,0.12288723954313178,0.18424118090411404,0.13850841905794506,0.08365598131299054,0.14395179826875998
2034,0.20163413625978965,0.04909365234620577,0.17162998712352837,0.09735726599240596,0.13098492687735538,0.1332710588702627,0.1965151983261206,0.14494020751873196,0.09145997620243389,0.1577712683681382
2035,0.2141414339754937,0.04757723394425163,0.1722346649184031,0.10548656919008773,0.13814385139449156,0.14355245617664433,0.20867906694810684,0.1506905253352629,0.09940594678052479,0.17174748358758007
2036,0.22664593112417003,0.0459460464990572,0.17189475150241557,0.1136122134905226,0.1452906574453532,0.15369754794786136,0.22085914071372997,0.15587620734445987,0.10741627395132637,0.1858132549630384
2037,0.23922567323188726,0.04428318958930571,0.17091863006122762,0.12171011394042369,0.15247602856116016,0.16368944639225239,0.23313322244317056,0.16060784209266268,0.11533754587811365,0.1999613715606981
2038,0.2518840004920245,0.04266156074845859,0.16955753287012382,0.12979199574305106,0.15978709525727924,0.17352440049064297,0.24550563522767413,0.1649863094543951,0.12316702932875769,0.21420022768017938
2039,0.2647284663299075,0.04111880114820572,0.1679766591808569,0.137875638846939,0.16724086496694357,0.18319090758045325,0.25808181424147886,0.16904764164345626,0.13090156849120524,0.22852285542969236
2040,0.2777451843291481,0.03968624888195924,0.16625672991052698,0.14595999047191174,0.17490138702713498,0.19273735145748822,0.2708481618680232,0.1728411659816987,0.13849036804531523,0.24292993016794334
2041,0.2930971637879256,0.03887295780510281,0.16386264545358994,0.15389598425021098,0.1829248894817052,0.20241308385329518,0.28405915316827623,0.17523501854710205,0.14622820640777995,0.2579112166351601
2042,0.3097026617435578,0.03868188824401696,0.16102862973594287,0.161720979709519,0.19117086089978397,0.21212745439609423,0.29759194518205445,0.17660689238852148,0.15401781917164142,0.2733919263953377
2043,0.3263784341004094,0.039080049951155583,0.15792897128273967,0.1694459128310271,0.19955158053482874,0.22179457640876327,0.3113417004310421,0.17723740617112804,0.16178198038532593,0.28921955204599187
2044,0.3422648204760941,0.04004639961064129,0.15467024388832395,0.17707512291452282,0.20805359131533047,0.23132207342576197,0.325251497099374,0.17736544250552408,0.16943100096301528,0.3052979542478295
2045,0.35675027331652415,0.041661104984728414,0.15133029566025552,0.18460836887516902,0.21663177222952984,0.2406521001092528,0.3392626313201168,0.1771648321551634,0.17690116434366343,0.32165897994099113
2046,0.36952314653428175,0.04384270025477891,0.14794114653820895,0.1920325787772543,0.2252173786039724,0.24972656288459574,0.353321703818079,0.176722445247482,0.1841429997624801,0.33819563522521673
