year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.00806504751312493,-0.00922630129500717,0.00037020592841974925,-0.012409810796436972,-0.011067236060129125,-0.01121628157715441,-0.00806504751312493,0.00044505137475573525,-0.005148621444027245,-0.00922630129500717
2016,-0.00743103963106817,-0.008571565966653934,0.0008653406615716924,-0.01170503177695957,-0.010382238671031663,-0.010531284188056947,-0.00743103963106817,0.0009364346819703898,-0.004566510561220531,-0.008571565966653934
2017,-0.006281659062641498,-0.007344781709303062,0.0014961192824164207,-0.010291366499873424,-0.00904244506836415,-0.009191490585389435,-0.006281659062641498,0.0015532041382456743,-0.003610931927127331,-0.007344781709303062
2018,-0.004792554530717495,-0.005695188427777574,0.0019099549316154499,-0.008254294254510255,-0.007158538296419499,-0.007307583813444783,-0.004792554530717495,0.0019379931963072472,-0.0025236561780922484,-0.005695188427777574
2019,-0.0030732384051543812,-0.0037128789000532222,0.0018672246682062896,-0.005637021770076293,-0.004792258539189138,-0.0049413040562144225,-0.0030732384051543812,0.0018476641956446035,-0.0014628181013686334,-0.0037128789000532222
2020,-0.0011891185136635105,-0.0014489619178641305,0.0012067176348108458,-0.00245613469784825,-0.0019738380033645225,-0.0021228835203898067,-0.0011891185136635105,0.0011184183202051085,-0.0005296271882577822,-0.0014489619178641305
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0006795001327058181,0.000851428493813991,-0.0016082349795519812,0.001925261921766272,0.0013548012019282824,0.0016132993718903643,0.0006795001327058181,-0.0014046450175853667,0.00023359296293146148,0.000851428493813991
2023,0.000985194403610834,0.0012646075896401432,-0.003511980404680301,0.0034616860619493817,0.002255800519017484,0.0028532429462510556,0.000985194403610834,-0.003020094814796051,0.0002499288054509802,0.0012646075896401432
2024,0.001016580222861739,0.0013562299595038657,-0.005633570842787476,0.004713326299930737,0.0028240494404540434,0.0038196311237315983,0.001016580222861739,-0.004791091320615649,0.00010672075575869633,0.0013562299595038657
2025,0.000846550713252972,0.0012117860395212121,-0.007916103708641146,0.005756411727476693,0.0031482308769575224,0.004585577356983658,0.000846550713252972,-0.00667714842137139,-0.00015374926208559792,0.0012117860395212121
2026,0.0005285088131597171,0.0008939076450435457,-0.01031788720301835,0.006646787127155579,0.00329331466433494,0.005204644363784011,0.0005285088131597171,-0.00864860188750706,-0.0005005042315973027,0.0008939076450435457
2027,0.00010157903537694885,0.0004484804644422774,-0.012808372898229003,0.007425363832311377,0.0033068985452562455,0.0057160720836717804,0.00010157903537694885,-0.01068371556819335,-0.0009108490648601572,0.0004484804644422774
2028,-0.0004055744225014493,-9.087795626635392e-05,-0.015365175969057274,0.008122113001794037,0.0032238535431098198,0.006148607654734781,-0.0004055744225014493,-0.012766561402856993,-0.0013681559821046366,-9.087795626635392e-05
2029,-0.0009719505481015148,-0.0006995376626261485,-0.01797189222769178,0.008758991074500955,0.0030697271413599875,0.0065233112368413,-0.0009719505481015148,-0.0148854663273957,-0.0018602420910369608,-0.0006995376626261485
2030,-0.0015821623497920406,-0.0013594529754157175,-0.020616498893562596,0.00935208294380091,0.0028632364369769597,0.006855611544727774,-0.0015821623497920406,-0.017031874484811,-0.0023781808089585257,-0.0013594529754157175
2031,-0.002092844764205702,-0.0020836117365746892,-0.022744700951414,0.00988246362970846,0.002569659207994568,0.007077435659666592,-0.002092844764205702,-0.018783865392157484,-0.0029043929293786352,-0.0020836117365746892
2032,-0.002530825634424118,-0.002855363178678641,-0.02449494032123484,0.010366922793307295,0.0022119093043260624,0.007218150027583109,-0.002530825634424118,-0.02024725384537336,-0.0034370173049745947,-0.002855363178678641
2033,-0.002915758088050731,-0.0036625069809307423,-0.025968637544596794,0.01081776038342648,0.001806774752655671,0.007299269049875615,-0.002915758088050731,-0.02149955793392894,-0.003974689107669391,-0.0036625069809307423
2034,-0.0032620390926054177,-0.004496103207015038,-0.027240091478248372,0.01124398720682733,0.0013665558243804443,0.00733655475390986,-0.0032620390926054177,-0.022597565716567763,-0.004516407115831268,-0.004496103207015038
2035,-0.0035802149802957872,-0.005349600471056634,-0.028363731763704957,0.011652204460352714,0.000900265076608342,0.007341555001895164,-0.0035802149802957872,-0.02358287853283911,-0.005061436489471362,-0.005349600471056634
2036,-0.0038780111289331357,-0.00621819723601745,-0.029379431952811865,0.012047248072099129,0.00041450649664917516,0.007322730375582523,-0.0038780111289331357,-0.024485972007395815,-0.005609237543784076,-0.00621819723601745
2037,-0.00416108630138335,-0.0070983739038327776,-0.03031640187886834,0.012432660742769483,-8.588044078755575e-05,0.0072862797267780055,-0.00416108630138335,-0.02532917112288728,-0.006159413568952873,-0.0070983739038327776
2038,-0.004433585271137727,-0.007987550026785237,-0.031196039189639292,0.012811037760977667,-0.0005973489402552601,0.007236744971829787,-0.004433585271137713,-0.02612882974454224,-0.006711672603161807,-0.007987550026785237
2039,-0.004698543673230637,-0.008883833182117128,-0.0320340183671936,0.013184280345935426,-0.0011172992226342604,0.007177454161274369,-0.0046985436732306304,-0.026896927329749232,-0.007265799427661118,-0.008883833182117128
2040,-0.004958184596132134,-0.009785834998705986,-0.03284182113412831,0.013553781245128765,-0.0016438252940470521,0.0071108460706142546,-0.00495818459613212,-0.02764223867006982,-0.00782163505046199,-0.009785834998705986
2041,-0.0056771048861628745,-0.01076508980034109,-0.03359723432786729,0.013837805794060354,-0.002274775631644091,0.006941915441880178,-0.00538584510244014,-0.028310162357285434,-0.008421134245075956,-0.01076508980034109
2042,-0.006733511908118266,-0.011801575733456124,-0.03431455270854823,0.014059084585387058,-0.0029827608360171246,0.0066976845362264475,-0.0059371036128632315,-0.028921617317108017,-0.009053033127872347,-0.011801575733456124
2043,-0.008038176988828458,-0.01288062241796998,-0.03500424744523989,0.014234270434551083,-0.003747713491515474,0.00639795105078339,-0.00657941511838863,-0.029491927785652117,-0.009709078234448491,-0.01288062241796998
2044,-0.009525727677985027,-0.013991479947994996,-0.03567398856621149,0.014375563603704261,-0.004554930241840588,0.006057219995497118,-0.0072889353379186825,-0.030032319358758948,-0.010383221525744599,-0.013991479947994996
2045,-0.011148268498751224,-0.015126270548356094,-0.03632939400124119,0.01449190243322429,-0.005393637423676725,0.005686118977161814,-0.008048194110855944,-0.03055101499077913,-0.011071030653233387,-0.015126270548356094
2046,-0.012870707539188002,-0.016279220562982255,-0.03697457832652065,0.014589835592848321,-0.006255940256510856,0.005292435029957174,-0.008844390935272797,-0.031054037918184563,-0.01176925692190929,-0.016279220562982255
2047,-0.01466733273474985,-0.0174460978131276,-0.03761255477261039,0.01467416108881528,-0.007136053023937626,0.00488187419271055,-0.009668146287050788,-0.03154579987766931,-0.012475518781954666,-0.0174460978131276
2048,-0.016519303668662527,-0.018623799408577377,-0.03824552973358694,0.014748394397541484,-0.008029735108023323,0.004458617971695694,-0.010512586842044674,-0.03202953203198923,-0.013188069956178647,-0.018623799408577377
2049,-0.018412814076454703,-0.019810049780012724,-0.038875118523061775,0.014815111418187615,-0.008933877830666098,0.004025731002717595,-0.01137267531405347,-0.032507600664220426,-0.013905629571230815,-0.019810049780012724
2050,-0.020337745705242417,-0.021003179458885586,-0.039502503436023725,0.014876199718125621,-0.00984620177546236,0.0035854597024842783,-0.01224471949719761,-0.03298173845389596,-0.014627257712492792,-0.021003179458885586
2051,-0.02194334642170439,-0.02195386760086885,-0.040026185061873304,0.014866879925398174,-0.01068974685044271,0.0030502493055482582,-0.012944930636553893,-0.03338173479389038,-0.015320595327111379,-0.02195386760086885
2052,-0.023315383825454762,-0.022727118833729174,-0.04047398846488728,0.014805741543435752,-0.011483286000308894,0.0024450034576933427,-0.013519426957762058,-0.03372750605535195,-0.01599354791488966,-0.022727118833729174
2053,-0.024516689401932877,-0.023370554569905874,-0.04086629779278285,0.014706404077790877,-0.012240570721074095,0.0017879683269265978,-0.014001993803434476,-0.03403364252850381,-0.016651905689642588,-0.023370554569905874
2054,-0.025593291751370498,-0.023919061361535272,-0.041218046013732745,0.014578846033053386,-0.012971673824449886,0.0010925128366618964,-0.014417381505818692,-0.0343108326427457,-0.0172999092215885,-0.023919061361535272
2055,-0.02657890976386449,-0.02439819626377146,-0.04154017258846825,0.014430378529839971,-0.013683973140786003,0.0003684328563211131,-0.01478372139300415,-0.03456690634368936,-0.017940663824321718,-0.02439819626377146
2056,-0.027498244298573032,-0.024826681588150393,-0.04184069135409549,0.014266358572098833,-0.014382872175259326,-0.0003770933546524968,-0.015114295743853493,-0.034807599466330136,-0.01857644313276699,-0.024826681588150393
