year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.017457018646493627,-0.01856108231215492,-0.015150759342965225,-0.019222860881902504,-0.021060484970693516,-0.02106048176392955,-0.01706289245386111,-0.014308717382522429,-0.017673980710873005,-0.019222860881902504
2016,-0.015267267204391699,-0.016371292415509053,-0.012961040420776726,-0.01703306685518463,-0.018870654568515277,-0.018870655080030718,-0.014873146185597985,-0.012119014994073751,-0.015484218549930984,-0.01703306685518463
2017,-0.012541269298529056,-0.013627603187152004,-0.010269674603804457,-0.014279181299173216,-0.016089185993725497,-0.016089188986973424,-0.012152929621776831,-0.00944021064085615,-0.012754454460186027,-0.014279181299173216
2018,-0.009483185371093827,-0.010486378276009067,-0.007385090759374047,-0.011087539857776385,-0.012760200784284803,-0.01276020562159813,-0.00912440164427003,-0.00661847832818141,-0.009680118479436228,-0.011087539857776385
2019,-0.006144003005209231,-0.006935082766420242,-0.004491008365571536,-0.00740757461060737,-0.008726650100879585,-0.008726654592306093,-0.0058615204731696235,-0.003886031176787763,-0.00629997923740705,-0.00740757461060737
2020,-0.0029808324262157737,-0.0034410116781337097,-0.0020202762960283005,-0.0037151287965451196,-0.004481787397321635,-0.004481794440902687,-0.002817178946466714,-0.00166822875530509,-0.0030725882005411265,-0.0037151287965451196
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.002845333065163602,0.0032266964652724606,0.0015355236163325792,0.0037462057152456985,0.004616382205859304,0.004682344165369334,0.0026419490417997626,0.0011376201535423514,0.0029271715070888216,0.0037462057152456985
2023,0.005635917353731645,0.005968196058480368,0.0025479953272080635,0.00753327556541078,0.009180359859585208,0.00948596946557817,0.005202707104292437,0.0017995844897406577,0.00572489605632287,0.00753327556541078
2024,0.008426679727292108,0.008050736593937902,0.0030197122530896126,0.011365935490675994,0.013568705061797137,0.01435488113626332,0.007747516413946831,0.002032395625605421,0.008406692388086723,0.011365935490675994
2025,0.011254756218609385,0.009366275979816985,0.0029477079961489072,0.015245807378006682,0.017701668204498255,0.01924955906604292,0.010319983621896955,0.0018745903757779736,0.010984261838100806,0.015245807378006682
2026,0.014143694506753401,0.009854761002246859,0.002337890119589958,0.019172229705163413,0.021531409520365086,0.02414145248135896,0.012948973571169808,0.0013599596636012512,0.013467959437628518,0.019172229705163413
