year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.0935171673073252,-0.070078369511985,-0.0827447399551598,-0.06486769947557391,-0.07519215668719265,-0.07475417366322015,-0.09325824599898977,-0.08041737638251711,-0.08014777883855151,-0.07053006685006434
2016,-0.07990198766341555,-0.05679780973408528,-0.06923708499950931,-0.051690482694216056,-0.06186942538199647,-0.06143144341526388,-0.07964306649003636,-0.0669251065539655,-0.06669558594263011,-0.057249506260571945
2017,-0.0661273808093227,-0.044334101635475534,-0.05596423287309346,-0.03959909235023887,-0.04921492261649579,-0.048776941412859015,-0.06587124994434129,-0.05372341349724047,-0.05358624253177324,-0.044780684879651464
2018,-0.051924821210943634,-0.032968448159665,-0.04300227275449314,-0.0288972355855589,-0.03731557546840905,-0.03687759517663028,-0.051684804075964264,-0.04094594699230841,-0.04088759629624522,-0.03338626660862164
2019,-0.036048429349202576,-0.021924873139108167,-0.029552574398621634,-0.018845330534102825,-0.02526703207750222,-0.02482905061883206,-0.03585553143976833,-0.027875659984476303,-0.02768020169721551,-0.022259503018094692
2020,-0.017760426319037098,-0.010963181444353126,-0.014988064971319284,-0.009312529684724888,-0.012683561346853361,-0.012245582400400579,-0.017645929702779256,-0.01389803790136393,-0.013413803923357948,-0.011161535905458403
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.017289629226475957,0.010847138295699124,0.015313418874171064,0.009124626362916943,0.012749879763983563,0.011954828865966521,0.017138578206701914,0.013769830380369552,0.01261951398347079,0.011211059262893716
2023,0.034196865947232126,0.021420529767657515,0.030825650493894366,0.018088852507944578,0.025457487615263286,0.0236541452024224,0.03386317287567601,0.0273840501705922,0.024495006690588392,0.022497361094568347
2024,0.05081420343651503,0.03156334911382851,0.04644732094711336,0.026913434232486808,0.03801901334046658,0.03514214048996552,0.050270992853275916,0.040815952731025174,0.03568059402659036,0.03385218238513079
2025,0.06719646451664982,0.04114558308459849,0.06212297533524904,0.035626734325922046,0.050387442246723604,0.046439544185376574,0.0664205350572884,0.0540705189676939,0.04623294832188573,0.045268994992776555
2026,0.08340566100605862,0.0500958143609808,0.07777148845926626,0.04424241517418191,0.062497541569507944,0.05759214587376149,0.08237732867670577,0.06714697691818379,0.05620479934315056,0.05677631541815026
2027,0.0995256325821721,0.058349384380517115,0.09338234386475464,0.05278786683413551,0.0743150771212634,0.06862733259087454,0.09822842651872081,0.0800635293746858,0.06562382516294156,0.0683896460854238
2028,0.11557734013176463,0.06584623103162215,0.1089259485215871,0.06127857705663138,0.08582271024011835,0.07956183091532308,0.11399716453282345,0.09281960906524221,0.07454309050870696,0.0801134185869743
2029,0.13159376885633933,0.07252329109684694,0.12436788853883096,0.06972020408924871,0.09698683526053947,0.09041941336580227,0.12971886586397957,0.10540839105554209,0.08300814575579968,0.09193472947354409
2030,0.147611207197605,0.07833694684090864,0.13969934645423943,0.07813114856437905,0.10777197454930633,0.10121474443824585,0.14543196468997244,0.11784880440574107,0.09104726407638912,0.1038474803245826
2031,0.16316727356222888,0.08342239313692282,0.15330551265158968,0.0865605008026217,0.11816905869492265,0.11203871975451175,0.16067601516026067,0.12961441329930176,0.09926324155623921,0.11601497533848981
2032,0.17832945427681587,0.0878026075054916,0.1653227931064657,0.09500810578152517,0.12820175292884675,0.12289092945225204,0.17552041822668646,0.14072630570075437,0.10760357206771878,0.1284154481207126
2033,0.19316323978089184,0.09154700443658109,0.17591445495022903,0.10345786262353565,0.13791069381142168,0.13372466658619436,0.19003413671545966,0.15122135168375533,0.11602269149473282,0.14101211189711735
2034,0.20773388683525215,0.09474537467394499,0.18521874535772892,0.11190139677471743,0.14735881224850803,0.14451437737233241,0.20428483392985522,0.16113185670554536,0.12446805619464642,0.15380049687905425
2035,0.22209062773445318,0.09745506693667204,0.19336511273720028,0.12031119805654328,0.15658821812920531,0.15524063752921483,0.21832352565838534,0.17048452925344515,0.13290976579847258,0.16675469540755355
2036,0.23628379037053374,0.09972600158906536,0.20047441653971726,0.12870149513498333,0.16562563279278184,0.16588699352263325,0.23220255931483538,0.1793068706085364,0.14133364180297275,0.17984969387024452
2037,0.250354413493181,0.10161658818656188,0.20666071107775205,0.13706466921398894,0.1745046114765394,0.17644129057456753,0.24596433379039653,0.1876326689279061,0.14969297769348966,0.19307748548460324
2038,0.2643209287436997,0.10318412988745676,0.21203655168413207,0.14540409678267913,0.1832731735829849,0.1868955201768583,0.2596289224560965,0.1954996219099604,0.15798377826582793,0.20643558465904832
