Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
CO2,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0575541755746745
CH4,0.01754907653242457,0.54,0.30445657830783884,0.17923123865446985,0.08750457674096748,0.05,-0.002653258068280324,0.017625,1.1937132121674205
N2O,0.0,0.20999999999999996,-0.03596730476876493,0.03887501245078207,-0.012751188450651402,0.0,-0.0020904455899627967,0.040666667,0.2387327406414029
HC,5.3086374003635685e-05,0.41,-0.050926763764175396,-0.14407513089457216,-0.01795751923932738,0.0,-0.00808037684430826,-0.016666667,0.17234662863162045
NOx,0.0,0.0,-0.3800247113463441,0.2557088469247015,-0.11860644724952275,0.0,-0.009165800599513847,-0.013833333,-0.2659214452706791
VOC,0.06949065814324296,0.0,0.16246220157144559,0.14026003286461872,0.061810578198534034,0.0,-0.0025728561478319464,0.0085,0.43995061463000934
SO2,0.0,0.0,0.0,0.0,0.0,0.0,-0.23422755465613596,-0.6733778229121862,-0.9076053775683222
OC,0.0,0.0,0.0,0.0,0.0,0.0,-0.07214335030979308,-0.13100312915448037,-0.20314647946427344
BC,0.0,0.0,0.0,0.0,0.0,0.0,0.14470238126666668,-0.035619047933333335,0.10908333333333334
NH3,0.0,0.0,0.0,0.0,0.0,0.0,-0.03376873905084049,0.0,-0.03376873905084049
