Species,Carbon dioxide (CO$_2$),N$_2$O,CFC + HCFC,Methane (CH$_4$),Ozone (O$_3$),H$_2$O (strat),Aerosol-radiation,Aerosol-cloud
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,-0.03376873905084049,0.0
Black carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.14470238126666668,-0.03722743566975061
Organic carbon,0.0,0.0,0.0,0.0,0.0,0.0,-0.07214335030979308,-0.13691861085850346
SO$_2$,0.0,0.0,0.0,0.0,0.0,0.0,-0.23422755465613596,-0.7037843805039116
NMVOC + CO,0.06949065814324296,0.0,0.0,0.16246220157144559,0.20207061106315274,0.0,-0.0025728561478319464,0.008883819797349297
NO$_x$,0.0,0.0,0.0,-0.3800247113463441,0.1371023996751788,0.0,-0.009165800599513847,-0.014457980890438274
CFC + HCFC,5.3086374003635685e-05,0.0,0.41,-0.050926763764175396,-0.16203265013389953,0.0,-0.00808037684430826,-0.01741925485299155
N$_2$O,0.0,0.20999999999999996,0.0,-0.03596730476876493,0.02612382400013067,0.0,-0.0020904455899627967,0.04250298133962486
CH$_4$,0.01754907653242457,0.0,0.0,0.8444565783078388,0.26673581539543734,0.05,-0.002653258068280324,0.018420861638621333
CO$_2$,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
