year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.09001431156018924,-0.07003055242322961,-0.07995848736376221,-0.06606391265600192,-0.07439036811133293,-0.07439036374149073,-0.08980785926824565,-0.07837871026102125,-0.07906935976276223,-0.07038991015193091
2016,-0.07033509781712335,-0.05035133868016375,-0.06027927362069633,-0.04638469891293604,-0.054711154368267054,-0.05471114999842486,-0.07012864552517978,-0.05869949651795537,-0.05939014601969636,-0.050710696408865046
2017,-0.05236056932869342,-0.03237681019173381,-0.04230474513226639,-0.028410170424506102,-0.036736625879837115,-0.03673662150999492,-0.05215411703674984,-0.04072496802952543,-0.04141561753126642,-0.03273616792043511
2018,-0.03764911407355028,-0.017665354936590667,-0.02759328987712325,-0.013698715169362961,-0.022025170624693974,-0.022025166254851777,-0.0374426617816067,-0.02601351277438229,-0.02670416227612328,-0.018024712665291966
2019,-0.024097399769335413,-0.004113640632375799,-0.014041575572908381,-0.00014700086514809335,-0.008473456320479106,-0.00847345195063691,-0.02389094747739183,-0.012461798470167422,-0.013152447971908413,-0.004472998361077098
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.020762246219227565,0.005528582367862793,0.014765119879465875,0.0017104821156746775,0.00938121169136339,0.008309046420238775,0.020502523637848505,0.012225072259666403,0.010911896491424537,0.005978786195610507
2022,0.039067311766200416,0.011826131916447276,0.02992804262045222,0.004617064171306529,0.019381599258647582,0.016538553362202474,0.03849893377471144,0.024140977112683447,0.020110707001665833,0.013061526824151133
2023,0.055658744382734146,0.01828698073779464,0.04515489621982949,0.008441601030225253,0.029595606094219462,0.024733089617204863,0.05474916720092672,0.03573473840022117,0.027982253025314707,0.02104330169350084
2024,0.07111977083100718,0.02442686287705824,0.06025970061044123,0.012966673909934293,0.039708587262469626,0.032955583244935686,0.06984915159544283,0.046992169328028494,0.034834220033768605,0.029697957505392947
2025,0.08581300648593146,0.029915515300489276,0.07516694681131394,0.018053691372802362,0.049601946574275975,0.041205310257633576,0.08416946072658318,0.057974197376628234,0.04091385666184145,0.03885612692638876
2026,0.10003820885487755,0.03462111112166633,0.0897450994112707,0.02356984863454572,0.05913215416755722,0.04954767441839713,0.09801621295309457,0.06871314174146323,0.0464081093890309,0.048476064160224916
2027,0.11408582020320052,0.0384458013580541,0.10405080865863706,0.029452934587458353,0.06825348357592073,0.05799655945771201,0.11168462691667375,0.07927926542270017,0.05140649310237114,0.058501266811598424
2028,0.12803692614966097,0.04131323880486941,0.11807714189642418,0.035633640017448114,0.07696545185398881,0.06654231878785666,0.12525801088055824,0.08968295251720332,0.05604384253683946,0.06886608034720008
2029,0.14198599362888037,0.043145500786568355,0.13180043449803838,0.04203977171547559,0.08522386997437958,0.07519874157719236,0.1388329263349612,0.09991642199092962,0.06041391523654762,0.07948021222519039
2030,0.1560188171255653,0.04391774854465578,0.14525793395170014,0.048650034526904105,0.09298358475718692,0.0839591095025024,0.15249677965291988,0.11003532569008828,0.06455431627051042,0.09029021942303266
2031,0.16898666497246775,0.044039150879258984,0.15454387599324132,0.05552782726996759,0.10026752402061835,0.0930083030520361,0.1651020056060376,0.11875024154961203,0.06990569387040135,0.10166965459384708
