year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.0026003413943374368,-0.0030448446214300443,0.0003778143302873363,-0.004118039161757868,-0.0036938191003345333,-0.0036938191003345333,-0.0026003413943374368,0.0004582642280446317,-0.0014874023803794073,-0.0030448446214300443
2016,-0.0027313507638270715,-0.003175853990919679,0.0002468049607977016,-0.004249048531247503,-0.003824828469824168,-0.003824828469824168,-0.0027313507638270715,0.000327254858554997,-0.001618411749869042,-0.003175853990919679
2017,-0.002858116974740192,-0.0033026202018327996,0.00012003874988458091,-0.004375814742160623,-0.003951594680737289,-0.003951594680737289,-0.002858116974740192,0.0002004886476418763,-0.0017451779607821627,-0.0033026202018327996
2018,-0.0030078317248846895,-0.003452334951977297,-2.9676000259916402e-05,-0.004525529492305121,-0.004101309430881786,-0.004101309430881786,-0.0030078317248846895,5.0773897497378984e-05,-0.00189489271092666,-0.003452334951977297
2019,-0.003196093149117736,-0.0036405963762103435,-0.000217937424492963,-0.004713790916538167,-0.004289570855114833,-0.004289570855114833,-0.003196093149117736,-0.0001374875267356676,-0.0020831541351597066,-0.0036405963762103435
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.002220080428590329,0.0025353472677276043,-0.00045396870499343073,0.0036223252352877433,0.0031204516314186706,0.003248303779442671,0.002220080428590329,-0.0003949431980051696,0.0014230864771359597,0.0025353472677276043
2022,0.003713193987845094,0.004247492847358265,-0.0014095019011814494,0.006432320362387722,0.005370374084949239,0.005721520972231872,0.003713193987845094,-0.0011873750868494973,0.0023544577463492436,0.004247492847358265
2023,0.004664716518914057,0.0053463770196807425,-0.002739802849789967,0.008637756098779682,0.006972020179759404,0.007617779771946893,0.004664716518914057,-0.0022768490922494486,0.0029194262468729693,0.0053463770196807425
2024,0.00521263189073768,0.005988268022180776,-0.004350486924919718,0.010393283636021058,0.008090822082634973,0.009084554506944217,0.00521263189073768,-0.0035885949134942807,0.0032112681255419342,0.005988268022180776
2025,0.005459648351508348,0.006289483979669108,-0.0061712950646456086,0.01181401531995608,0.008849918223033874,0.010231615941689344,0.005459648351508348,-0.005066954073879762,0.0032994137153859807,0.006289483979669108
2026,0.0054822171815526385,0.006336606649697492,-0.008149925783156667,0.012985633258143163,0.00934096621846181,0.011140670669650646,0.0054822171815526385,-0.006670493755703645,0.0032355440147268585,0.006336606649697492
2027,0.005337245613482047,0.00619408389471305,-0.010247444106993409,0.01397191353385107,0.009632191338636839,0.011872536073401371,0.005337245613482047,-0.008368369845133623,0.003058128524252364,0.00619408389471305
2028,0.005067093509367099,0.005909888486009464,-0.012434864274779266,0.014820326759513718,0.009774377277939408,0.01247248091536396,0.005067093509367099,-0.010137619810633818,0.002795802928627432,0.005909888486009464
2029,0.004703292574173165,0.005519730162851032,-0.01469060611295342,0.015566206777807685,0.009805325311077487,0.012974200538939468,0.004703292574173165,-0.011961147691232202,0.0024698832310696625,0.005519730162851032
2030,0.004269314705230731,0.0050501908253948735,-0.016998601721177765,0.01623585358153471,0.00975317340918267,0.013402775759157881,0.004269314705230731,-0.013826224247988801,0.0020962371176184227,0.0050501908253948735
