year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.00688287248624081,-0.006683086034471208,-0.002525692268744606,-0.009119801375208292,-0.007410177694996023,-0.007410175452854995,-0.006803669891840558,-0.0021241903228324532,-0.004843550595770019,-0.0068356920611607475
2016,-0.005569013962097247,-0.0053692275103276454,-0.001211833744601043,-0.007805942851064729,-0.00609631917085246,-0.006096316928711432,-0.005489811367696995,-0.0008103317986888903,-0.0035296920716264557,-0.0055218335370171845
2017,-0.004988035840411853,-0.004788249388642252,-0.0006308556229156492,-0.007224964729379335,-0.005515341049167066,-0.005515338807026038,-0.004908833246011601,-0.00022935367700349651,-0.002948713949941062,-0.004940855415331791
2018,-0.003493354421057804,-0.0032935679692882025,0.0008638257964384,-0.005730283310025286,-0.004020659629813017,-0.004020657387671989,-0.003414151826657552,0.0012653277423505527,-0.0014540325305870128,-0.0034461739959777415
2019,-0.0013168516106208394,-0.0011170651588512381,0.0030403286068753643,-0.0035537804995883215,-0.0018441568193760527,-0.0018441545772350243,-0.0012376490162205878,0.003441830552787517,0.0007224702798499516,-0.0012696711855407772
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0012351610075088115,0.0009463551926733871,-0.0033147058414275676,0.003456794869833746,0.0020513458797434825,0.002183612462289486,0.0011359725130558607,-0.003290120018411169,-0.00014324677621030402,0.0011356032074803513
2022,0.0024228723258847285,0.0016616108920219363,-0.006918767172011564,0.006844847193004044,0.004214059295737316,0.004616332253753297,0.0022062751865363772,-0.006536771481131132,0.00012043985792981049,0.0021727629395097425
2023,0.003618653162384966,0.00203072279794575,-0.010815845298523141,0.010199346621325267,0.00636066759185383,0.0072058263991866545,0.0032727726722250883,-0.009785050822291308,0.000669442915682994,0.003152676308413316
2024,0.004857265465211036,0.0019858282527043802,-0.015007619552800666,0.013546987753261464,0.008423786792660648,0.00990638096856089,0.004374955104223588,-0.013069284913759444,0.0014287035993425512,0.004106330180166373
2025,0.006163806457090082,0.0014940583665173923,-0.019485845161572646,0.016911523081307722,0.010369002751823064,0.012694670528227314,0.00554084937772692,-0.016409249685272853,0.0023505390688846606,0.005060890856327993
2026,0.007560853822729363,0.0005504744892011471,-0.024232627157969117,0.020317771623549086,0.012184921918830416,0.015561885094969419,0.006795130549956174,-0.01981009654531027,0.0034073319050511586,0.006044000865606192
2027,0.009058992070790028,-0.000841973853871747,-0.029232475816295095,0.02377981942764895,0.01386525246539555,0.018498896815815236,0.008150052607933445,-0.023276971927301937,0.004575109087650353,0.007071428959415649
2028,0.010659188447824819,-0.002676171778315639,-0.03447351164046847,0.02730427614134462,0.015405070121525755,0.02149516859134709,0.009607376838365211,-0.026815990042329096,0.005832331714048622,0.008151085364665467
2029,0.012346412752137714,-0.004952762103383024,-0.03995777364724859,0.030881020909790835,0.01679050473950311,0.024528599487315617,0.011152593533576005,-0.030443508296798538,0.007148839723335576,0.009273854713140461
2030,0.014113102384091358,-0.007658435289922161,-0.04567778982630086,0.034507061772833914,0.018019731602105182,0.027588287839667935,0.012778693308279243,-0.034164799833292375,0.008507161066749036,0.010437632615416192
2031,0.016178729316426,-0.01068603560755188,-0.05070373595442465,0.03813723820737386,0.019070861336513256,0.03063687043892166,0.014705407267194603,-0.037424769346430825,0.009738342223346352,0.011730869737194283
2032,0.01849327010110613,-0.013992505849203418,-0.055227921239458494,0.04176731103928749,0.019975610593975568,0.0336652437069066,0.01688322203455661,-0.04035777404759974,0.010848722272850775,0.013114650875357625
2033,0.021021097927780397,-0.017495752387020558,-0.05937783302833419,0.045382727250663224,0.020780824097506034,0.03665521811079181,0.019278097013265494,-0.043063191021337155,0.011828947439656179,0.014549122102324785
2034,0.023722399571927122,-0.021147116766408625,-0.0632500364745962,0.048964547749914655,0.02151217374318648,0.0395840458405079,0.02185100744529822,-0.045623469471494704,0.012663535083999033,0.015996876005602956
2035,0.026558585893493192,-0.02491805372904976,-0.06692076946144193,0.05249470671053358,0.022182327494598975,0.04243043832816068,0.02456339414355979,-0.04810582484918041,0.013338079709603434,0.017426050998152753
2036,0.029528309127695773,-0.02875722895439667,-0.07041856501972601,0.05599099540206581,0.022830810573331806,0.04521105600516878,0.027414566220851033,-0.050528123009275616,0.013875889303175792,0.018844161818001193
2037,0.03261692081811718,-0.03263878911764545,-0.0737771827496441,0.0594559369467747,0.023475228845944884,0.04792797622575673,0.030389734958851555,-0.05291557735105962,0.014284562518646793,0.020246614336645374
2038,0.035835748905912734,-0.03651938020182394,-0.0769989315583953,0.06291636164895886,0.024152496044690386,0.050608080909730846,0.03350056851543037,-0.05526164825122776,0.014596933633586828,0.0216548420632528
2039,0.039173485262952945,-0.0403862487093892,-0.0801053477421059,0.06637395601049711,0.024870818687578566,0.05325412171545618,0.03673514713018006,-0.05757947866497279,0.01482036333156378,0.023066519671719965
2040,0.042634433311539266,-0.04421511782025506,-0.08309833337113937,0.0698453630380848,0.025650242584463134,0.05588491112448962,0.04009789597787394,-0.059863093871415834,0.0149769900020858,0.024495411518925037
2041,0.04533804015971843,-0.0481406908818405,-0.08597070696159498,0.07326708351485822,0.026444296046460425,0.058420560350205986,0.04337093619040733,-0.062139809124766854,0.015100111077526013,0.025800245419788648
2042,0.04731296062921053,-0.05210963917569622,-0.08873429815951925,0.07665403208564786,0.02725756926480999,0.060875416287282935,0.046579693137860256,-0.06440688168687189,0.015180310559397892,0.027010535990548756
2043,0.04841342134104404,-0.05607643212925864,-0.09140964755216416,0.08000445607313178,0.028073807686542773,0.06324351948046103,0.04971910616455044,-0.06667200617564015,0.015193710389047876,0.028136046646252078
2044,0.048559727181893775,-0.060013014825618605,-0.09401817697954845,0.08331544836585492,0.028877933522421684,0.06551724375974949,0.0527862111069477,-0.06893924639510218,0.015120615597088327,0.029183262878439142
2045,0.04771478882472241,-0.06390424250909121,-0.09658099022629957,0.08658119740195436,0.0296554384232412,0.06768896223004683,0.05577619131306144,-0.07121465147612188,0.014944301792525594,0.030153838994784743
2046,0.04586047723129166,-0.06775474442312715,-0.09912801736743335,0.0897854672325874,0.030383266251358676,0.06974234133988555,0.05867388147788588,-0.07351607941749586,0.014641601466764076,0.031036933616715723
2047,0.043019160214770036,-0.0715542929392586,-0.10166598129684981,0.09293211179831856,0.031061475135110372,0.07168198817005927,0.061484184224451954,-0.07584069645025929,0.014213042726474445,0.031840847480480106
2048,0.039224906743802246,-0.07529671275472744,-0.1042001383442891,0.09602522341935782,0.031690463473888875,0.07351406585060549,0.06421240371379183,-0.0781865239765861,0.013661291811997212,0.03257324357983743
2049,0.03453886572718634,-0.07895976329602777,-0.10671446424608982,0.09908770011542367,0.032291293938661036,0.07526365857754314,0.06688232248850928,-0.08053291361837528,0.013009766866823647,0.03325996279846066
2050,0.029033668893131803,-0.08251520573491988,-0.10918471735174914,0.10214998523083879,0.032893580028469815,0.0769641836314997,0.06952529602718621,-0.08285132106682427,0.012290667965638935,0.03393352828246826
2051,0.023094974906588128,-0.0854617810131991,-0.11137432009259865,0.10512703882655206,0.033609631265222706,0.07862963751055785,0.07240390953975806,-0.08495398905053,0.011530855726563094,0.03510100460975685
