year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2021,-0.00776321130789488,-0.007512335258165682,-0.007521877054002513,-0.016083059099684084,-0.010702336605405916,-0.010603840287513756,-0.015348258877441822,-0.015155715814175208,-0.007241363144107747,-0.00719002197525529,p05-p50
2022,-0.017312935388734952,-0.016131171297241773,-0.01314269924257503,-0.030153499943571152,-0.018685119729778064,-0.018393359782391094,-0.027829834158588574,-0.02765369588521485,-0.01322508169516834,-0.013104932093879973,p05-p50
2023,-0.028568794981084306,-0.02564663993656504,-0.017439466216448186,-0.04284266223742819,-0.024483230323002564,-0.023895668926782368,-0.03832837355909362,-0.038009541094024546,-0.019209006144313704,-0.01897385446295874,p05-p50
2024,-0.040845378702407856,-0.03611149065451852,-0.02073688259527353,-0.054078251974095916,-0.02877775235603344,-0.027618516520759397,-0.04671404843450111,-0.04671549322677351,-0.024828530561107322,-0.024498601678937467,p05-p50
2025,-0.05406273796514971,-0.04696911870060167,-0.023498494072235473,-0.06417836991098132,-0.03176218194104132,-0.029746252588366606,-0.05453106183447549,-0.05421884451275114,-0.030744586415571918,-0.030302897441859305,p05-p50
2026,-0.06760563908693829,-0.05840890435383807,-0.02554625271560287,-0.07329675714743027,-0.0341610237246089,-0.031141394279874297,-0.061008934906194176,-0.06119798794471954,-0.03594636402343394,-0.03540106406738686,p05-p50
2027,-0.08167183706247477,-0.0699922147463809,-0.02735567209936534,-0.08286206510494672,-0.03638381506254895,-0.03210005690589398,-0.06708238432469378,-0.06757391036302153,-0.04150102793725765,-0.04083340153214613,p05-p50
2028,-0.09655816617296739,-0.0819797628160298,-0.029137493569997595,-0.09130498085392338,-0.03763267222516526,-0.03193376328032036,-0.07234226783961768,-0.07289566816490625,-0.047684487964546295,-0.04689819795559641,p05-p50
2029,-0.11255712972343054,-0.09405917164582789,-0.031260115753333546,-0.09968239832486961,-0.03895908696420491,-0.03192351868578694,-0.07716153923702966,-0.07815630797975326,-0.053413222405715756,-0.05250372943408823,p05-p50
2030,-0.12826918042865607,-0.10685337503495049,-0.033665268733481996,-0.10802507691949424,-0.04023207318237683,-0.03221658688723919,-0.08090063606663685,-0.08324860542872622,-0.0594385950915075,-0.05839479392363012,p05-p50
2031,-0.1438671605005783,-0.11894442139972922,-0.0360203129252408,-0.11492510544710108,-0.041639645349034964,-0.03302765035680409,-0.08452459994882473,-0.08780953097844398,-0.06590376164614542,-0.06474419690591053,p05-p50
2032,-0.15765737034837085,-0.12991921515626703,-0.038373574075067654,-0.12250265792763491,-0.04424244734883063,-0.03512826694928821,-0.0866546177194558,-0.09228706075606245,-0.0720523500406084,-0.07085164543135117,p05-p50
2033,-0.16969052111798455,-0.13956338377946576,-0.041210990587961974,-0.1296811993992534,-0.04805239522766367,-0.0386232842071382,-0.08923850622571645,-0.096177233645463,-0.07824579148513994,-0.07694599320006712,p05-p50
2034,-0.18045391033752956,-0.148517551850259,-0.04417575838581969,-0.13650832522437745,-0.052727445730589045,-0.04312308936289934,-0.09153948794118578,-0.10016427108945375,-0.08401491852897854,-0.08265296883114526,p05-p50
2035,-0.19081700963690978,-0.15616784776320372,-0.047489636054007064,-0.143047104735095,-0.05715865753335043,-0.04778091611610683,-0.0934571769717369,-0.10394542241757561,-0.08970452930597547,-0.08822915376383954,p05-p50
2036,-0.1995704282852483,-0.164459459353031,-0.0506165396252398,-0.14924177538967953,-0.06239087363558222,-0.054034470671257925,-0.09545913190903015,-0.1081416296622493,-0.09546788322137183,-0.09386681341142879,p05-p50
2037,-0.20803014095743977,-0.17179226438243853,-0.05391804347359003,-0.15561555367002913,-0.06819440724849204,-0.06100675796086629,-0.09735255867445462,-0.11204576074128776,-0.1009103310964729,-0.09913499519681218,p05-p50
2038,-0.21594625811191015,-0.17844247336569968,-0.057253642093891076,-0.16144680034125838,-0.07374601427024242,-0.06792483439530626,-0.09805471189985264,-0.11527827665659002,-0.10674534667814714,-0.10481484477701099,p05-p50
2039,-0.22257837456345575,-0.1859349613956952,-0.06099565315566273,-0.1670515041250682,-0.07986359922781894,-0.07519196738410472,-0.0994861388592915,-0.11972611897290451,-0.11185073843610432,-0.10977173891384986,p05-p50
2040,-0.22928871884797514,-0.1935948306466927,-0.06445789468331695,-0.1735306658529844,-0.08609828002397826,-0.08334738960146347,-0.10061855910972332,-0.12347038867965024,-0.11705128144010031,-0.11495780354459637,p05-p50
