year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,0.00037141674770094224,0.000451115533055331,-0.001476385554190364,-0.0005850349455135892,-0.004082461659059414,-0.0030192868919375407,-0.0030192868919375407,-0.003662202285698822,-0.003662202285698822,-0.0025789337246499566,-0.0025789337246499566,p05-p50
2016,0.0002438982196801623,0.000323597005034551,-0.0016039040822111439,-0.0007125534735343692,-0.004209980187080194,-0.0031468054199583206,-0.0031468054199583206,-0.003789720813719602,-0.003789720813719602,-0.0027064522526707366,-0.0027064522526707366,p05-p50
2017,0.00011951474996997613,0.00019921353532436487,-0.00172828755192133,-0.0008369369432445553,-0.00433436365679038,-0.003271188889668507,-0.003271188889668507,-0.003914104283429788,-0.003914104283429788,-0.0028308357223809227,-0.0028308357223809227,p05-p50
2018,-2.838820796222108e-05,5.1310577392167656e-05,-0.0018761905098535273,-0.0009848399011767525,-0.004482266614722577,-0.003419091847600704,-0.003419091847600704,-0.004062007241361985,-0.004062007241361985,-0.00297873868031312,-0.00297873868031312,p05-p50
2019,-0.000215115467280938,-0.00013541668192654926,-0.002062917769172244,-0.0011715671604954694,-0.004668993874041294,-0.003605819106919421,-0.003605819106919421,-0.004248734500680702,-0.004248734500680702,-0.003165465939631837,-0.003165465939631837,p05-p50
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2021,-0.00044998240530681743,-0.0003916967228270521,0.0014139237147556064,0.000895875781466611,0.003598801083278258,0.0025194538178109696,0.0025194538178109696,0.0031006179342055393,0.003227276403470515,0.002206087612979954,0.002206087612979954,p05-p50
2022,-0.0013980229954443021,-0.001178160701010053,0.0023428293238680342,0.0015858178611413004,0.006398541181430219,0.004227171409740771,0.004227171409740771,0.005343596700896534,0.005691765086896748,0.003695302825918914,0.003695302825918914,p05-p50
2023,-0.002719382765698948,-0.0022605606329124533,0.002909164482040462,0.0021219168406004796,0.008601683099382279,0.005328229195938859,0.005328229195938859,0.006945846466833189,0.007586623908506153,0.004648734512827789,0.004648734512827789,p05-p50
2024,-0.004320910051543739,-0.0035650918793910316,0.0032043662847018664,0.0025430707292940988,0.010359412222915754,0.005975766325003129,0.005975766325003129,0.008069342302945107,0.009056090355549697,0.00520160939186208,0.00520160939186208,p05-p50
2025,-0.0061330405201613855,-0.005036638054298444,0.003296715209413874,0.0028783261897982054,0.011784623389404676,0.006284138656129458,0.006284138656129458,0.008835037418500988,0.010207871451460133,0.0054549073826149555,0.0054549073826149555,p05-p50
2026,-0.008103823298736414,-0.006634037923850755,0.0032371999144097524,0.003149373556459424,0.012961618614897884,0.00633874127385238,0.00633874127385238,0.00933325263450454,0.01112239571043619,0.005484035178648199,0.005484035178648199,p05-p50
2027,-0.010194460086269147,-0.008326551043363786,0.003063896678184505,0.003372409948566024,0.013953348708549689,0.006203343285585,0.006203343285585,0.009631434548056025,0.011859721878770255,0.0053453030917778865,0.0053453030917778865,p05-p50
2028,-0.012375974060363233,-0.010091218530939083,0.0028052396722964695,0.003559530518745274,0.014806820826277815,0.005925564958219956,0.005925564958219956,0.00977994881099116,0.012464697921125562,0.005080761526525153,0.005080761526525153,p05-p50
2029,-0.014626722439389478,-0.011910892269597025,0.0024824629825424896,0.003719767344284884,0.015557136470415796,0.005540967677698863,0.005540967677698863,0.009816406163186034,0.012970813406686973,0.004721812536009028,0.004721812536009028,p05-p50
2030,-0.01693053903009907,-0.013772763247100056,0.002111424147175023,0.003859865201739955,0.01623050679796894,0.0050761080574866085,0.0050761080574866085,0.0097688928251103,0.013403076213664322,0.0042919066905277095,0.0042919066905277095,p05-p50
