year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,-0.005684563900595407,p05-p50
2016,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,-0.0043360805403204195,p05-p50
2017,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,-0.003730511229852629,p05-p50
2018,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,-0.0022083405045800197,p05-p50
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2020,-0.003051192806897529,-0.003456030835657542,-0.000714075376679002,-0.004996593031568686,0.003597706804346845,0.0012946188079223098,0.0011407447765485745,0.001873877847438199,0.0018738755866671841,0.0013421912555279247,0.0012623305661436657,p05-p50
2021,-0.006391022662058099,-0.006772029301704785,-0.0008505598404724979,-0.008121452961061704,0.007101387713687568,0.002452367194190619,0.00210730828777006,0.003956349592128039,0.004089712912630938,0.0026004373271268366,0.002420374863108976,p05-p50
2022,-0.010032181891868996,-0.010053463374227023,-0.0005801441296465759,-0.009880045411113425,0.010538321154451524,0.0035092748679992902,0.0028389142785890664,0.006151370209079243,0.006557299216067847,0.0038094690493447603,0.003510644868113366,p05-p50
2023,-0.013976596442680234,-0.013343320943974668,-2.3607972571337843e-05,-0.010636579271888935,0.013943161836454443,0.004507048784073264,0.003219505424642055,0.008330605312406869,0.009183979765569616,0.005025502655613301,0.004595759871525773,p05-p50
2024,-0.018224648050629955,-0.016674468031328882,0.000744452675595475,-0.010648036749835832,0.017342292997884368,0.005477157425753054,0.0031803394118583572,0.010425953365675422,0.01192377128073091,0.006283897845100306,0.005715865966565481,p05-p50
2025,-0.022767046335675334,-0.02006562325348163,0.0016765888563227693,-0.010096566736256196,0.020759330457042646,0.006447234570758187,0.0026878787450781982,0.01240243580318462,0.014753126852992515,0.007610273995537209,0.006899562040519502,p05-p50
2026,-0.02758499659125685,-0.023521115826495964,0.0027453088294397965,-0.009114329588167103,0.02421910690594964,0.007445397986535596,0.001736772723742508,0.014248274913726322,0.017663086255320704,0.009027690210782147,0.008172048071594107,p05-p50
2027,-0.03266227516601025,-0.027045501204723627,0.0039266384929627085,-0.007799553373761814,0.02773574092008485,0.00848779679409889,0.00032970954240557626,0.01595688407090262,0.020644366704864525,0.010547091794518959,0.00954597721368905,p05-p50
2028,-0.03798641341243769,-0.03064448330112393,0.005198949721357871,-0.006230231775876116,0.0313158674268324,0.009582630580717566,-0.0015263401876563498,0.01752310289864234,0.023686262242232303,0.012169682428130046,0.01102337607397158,p05-p50
2029,-0.04355907129372008,-0.03433422552779744,0.006531846662542418,-0.004468090992771567,0.03494927486498328,0.010720893800496512,-0.003832156551640431,0.018932789454739474,0.026766402032905923,0.013880479197335593,0.012589805091019757,p05-p50
2030,-0.049372422576444086,-0.038119837318938726,0.007907650514203335,-0.0025605768146876318,0.03863291700504934,0.011900581004804067,-0.006574416579093023,0.020183954833420115,0.02987367633002075,0.015671948653700363,0.01423830369967527,p05-p50
