year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.010401052058984395,-0.010132645008240682,-0.01120515688453555,-0.012933030305755933,-0.011699885490990769,-0.011699885490990769,-0.011488607570359022,-0.012286281538141708,-0.012286280580968922,-0.011136833202009366,-0.011010670162523828,p95-p50
2016,-0.00854284531760674,-0.008274438266863027,-0.009346950143157895,-0.011074823564378278,-0.009841678749613114,-0.009841678749613114,-0.009630400828981367,-0.010428074796764053,-0.010428073839591268,-0.009278626460631711,-0.009152463421146173,p95-p50
2017,-0.006705589755870156,-0.006437182705126443,-0.007509694581421311,-0.009237568002641694,-0.00800442318787653,-0.00800442318787653,-0.007793145267244783,-0.00859081923502747,-0.008590818277854684,-0.007441370898895128,-0.007315207859409589,p95-p50
2018,-0.004815014234570314,-0.004546607183826601,-0.005619119060121469,-0.007346992481341852,-0.006113847666576688,-0.006113847666576688,-0.005902569745944941,-0.006700243713727627,-0.006700242756554842,-0.005550795377595286,-0.005424632338109747,p95-p50
2019,-0.002883356517048352,-0.002614949466304639,-0.0036874613425995073,-0.00541533476381989,-0.0041821899490547265,-0.0041821899490547265,-0.003970912028422979,-0.004768585996205665,-0.00476858503903288,-0.003619137660073324,-0.0034929746205877854,p95-p50
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p95-p50
2021,0.002354993463023536,0.0020127555650024664,0.0033789438557373375,0.004833447193563711,0.004005071118932946,0.004005071118932946,0.0037377769667168437,0.00475077208041913,0.004750778939864142,0.0032899050243080374,0.0031305518093016627,p95-p50
2022,0.004183919482044551,0.0034669965246988954,0.0065004520536584565,0.009230298193792674,0.007890411929199148,0.007890411929199148,0.007152573516128358,0.009455479825361157,0.00951154171580304,0.006332461373819542,0.005983089011781906,p95-p50
2023,0.005477247480097036,0.004430190379259402,0.009410385843599323,0.013299070091953746,0.011701971601931815,0.011701971601931815,0.010047438202463177,0.013997808528081579,0.01425833670235005,0.009228275214613446,0.008668221727456848,p95-p50
2024,0.006236606182766724,0.0049579961429165875,0.012144529561750328,0.01712081890892142,0.015471989873857617,0.015471989873857617,0.012296170966542841,0.018302551197932504,0.018975033893548376,0.012048891259216044,0.011265459121883592,p95-p50
2025,0.00647166148984879,0.005095748558550828,0.014731124855248245,0.020756094095204458,0.019222981503668468,0.019222981503668468,0.013820798815620539,0.022322448299690156,0.023650855471859522,0.014845109806530754,0.01383062676196345,p95-p50
2026,0.006196451100838107,0.004882000554624788,0.017192768955576143,0.024250131699639466,0.022970190693160475,0.022970190693160475,0.014579234362097127,0.026031162313805867,0.02827808608753818,0.0176517680343371,0.01640280532453292,p95-p50
2027,0.005428095062299132,0.004348782266233142,0.019547354653019433,0.027636732293141397,0.026723502542679745,0.026723502542679745,0.014553015024115434,0.02941721058348279,0.03285261531188488,0.020492280568603416,0.01900857805503514,p95-p50
2028,0.004185419941313662,0.0035232502093763274,0.02180877863159114,0.030941156755027066,0.030489706169094244,0.030489706169094244,0.01373925228500028,0.03247814534650528,0.037371648453451534,0.02338156981428402,0.021664302349581166,p95-p50
2029,0.0024869783927731204,0.0024288941573700207,0.023989346397674638,0.034182288664359406,0.034272395143001066,0.034272395143001066,0.012145683699217813,0.03521986312861086,0.04183425664266699,0.026328223235514536,0.0243801080808565,p95-p50
