year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.0058975476260143544,-0.005879566448273518,-0.005980732300871323,-0.005820371500684127,-0.005820371500684127,-0.005826888884739603,-0.005541152354930939,-0.005541151193423292,-0.005955299341496873,-0.005955401693074833,recommendation
2016,-0.0048585444968828675,-0.004840563319142031,-0.0049417291717398365,-0.0047813683715526405,-0.0047813683715526405,-0.004787885755608116,-0.0045021492257994525,-0.0045021480642918055,-0.004916296212365386,-0.004916398563943346,recommendation
2017,-0.0037479439915109897,-0.0037299628137701536,-0.0038311286663679587,-0.0036707678661807627,-0.0036707678661807627,-0.0036772852502362386,-0.0033915487204275747,-0.0033915475589199277,-0.0038056957069935084,-0.003805798058571468,recommendation
2018,-0.0025720385125917213,-0.002554057334850885,-0.00265522318744869,-0.002494862387261494,-0.002494862387261494,-0.00250137977131697,-0.002215643241508306,-0.002215642080000659,-0.00262979022807424,-0.0026298925796521995,recommendation
2019,-0.0013379458773291608,-0.0013199646995883246,-0.0014211305521861298,-0.0012607697519989337,-0.0012607697519989337,-0.0012672871360544097,-0.0009815506062457457,-0.0009815494447380987,-0.0013956975928116795,-0.001395799944389639,recommendation
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2021,0.001404899289467361,0.0013818406034875191,0.0015115568836035972,0.0013070706563455582,0.0013070706563455582,0.0013154230263842243,0.0009516226588369495,0.0009516238349947109,0.0014786005072452597,0.0014786198531861194,recommendation
2022,0.0028311278525577355,0.0028041895257618875,0.003095716975287193,0.0026509618045678605,0.0026509618045678605,0.002669992535892115,0.0018546016328114256,0.0019054572372469263,0.003041956343294669,0.00304193433486806,recommendation
2023,0.004200127305410084,0.004229884596579282,0.004717880732288016,0.004016100033111803,0.004016100033111803,0.004048464548322014,0.002686051306999282,0.00292417306125195,0.004689688828567098,0.004689515366053103,recommendation
2024,0.005458417921881443,0.005633502989018043,0.0063543890844131555,0.005391755765839064,0.005391755765839064,0.005439936526677933,0.003430231901882786,0.00405001978324044,0.006421256756734713,0.006420782966675774,recommendation
2025,0.006570059382853551,0.006997825003920884,0.007989114750129669,0.006770561760002597,0.006770561760002597,0.006836612438472743,0.004076653662923497,0.0053110490416889075,0.008235740771077301,0.008234813889581187,recommendation
2026,0.007511604300950617,0.008311421104669519,0.009611155074030833,0.008147507242739865,0.008147507242739865,0.00823287074879524,0.004618753517030713,0.006725258753350928,0.010131902834503066,0.010130391958320838,recommendation
2027,0.008268475569070063,0.009566967904790249,0.011213299256035775,0.00951927506622443,0.00951927506622443,0.00962461796938302,0.005052836442511241,0.00830356317408341,0.012108252564254837,0.012105976557638995,recommendation
2028,0.0088324446982006,0.0107600921945856,0.012790957231972953,0.010883776894140839,0.010883776894140839,0.011008931616554585,0.005377274734657621,0.0100519244022611,0.014163080259932289,0.014159876440363268,recommendation
2029,0.009199781831960695,0.011888511917016752,0.014341435672304698,0.012239775053568172,0.012239775053568172,0.012383745145298677,0.005591946587560626,0.01197270763088307,0.016294510593707363,0.01629026536987751,recommendation
2030,0.009369981017068364,0.012951495073520811,0.015863360268566017,0.013586663125858257,0.013586663125858257,0.013747552724681783,0.005697815031796963,0.014065867116348822,0.01850070096249855,0.018495232285706563,recommendation
2031,0.009344733431386112,0.013949317877496918,0.017356320339425052,0.01492431669851901,0.01492431669851901,0.015099330599781031,0.005696625749415499,0.016329651695023317,0.020779696786490717,0.020772895997083894,recommendation
2032,0.009155519737790895,0.014865685894259344,0.018815895236280945,0.01625427994218003,0.01625427994218003,0.016439206682828916,0.00560471963340994,0.018728621451447665,0.023119943118823417,0.023111733424988554,recommendation
2033,0.008853570231183338,0.01567248035726737,0.020234532483532672,0.017578817934305404,0.017578817934305404,0.017767853190560436,0.005448033858201699,0.02120441640142324,0.025503046198725624,0.025493540181837582,recommendation
2034,0.00847483701022263,0.01635057870162119,0.02160679262833879,0.018899207483976155,0.018899207483976155,0.019085488242031615,0.0052446054971835646,0.02371580088195513,0.027915759245399744,0.02790519259111903,recommendation
2035,0.008044678887166649,0.016887642716751562,0.02292909881623901,0.02021617246722261,0.02021617246722261,0.020392167128798183,0.005007080570065804,0.0262338177589769,0.030348565907090713,0.03033730679551344,recommendation
2036,0.007581012033168882,0.01727625919317976,0.024199263006413188,0.021530165335158422,0.021530165335158422,0.02168780745008679,0.004744320695087859,0.028738257335878765,0.032794793083595467,0.03278326407094789,recommendation
2037,0.007096467560096565,0.017512611664143196,0.025416173150837447,0.022841467469778037,0.022841467469778037,0.022972385270423917,0.004462542646333726,0.031215373020692168,0.035249809190335726,0.035238423195985524,recommendation
2038,0.006599897679025447,0.017595594792058786,0.026579588497481543,0.024150367664025525,0.024150367664025525,0.024245945397129112,0.004166082748479502,0.033655880531931956,0.03771034496496957,0.03769967316537589,recommendation
2039,0.006097442120016172,0.017525920455137213,0.02768975213215294,0.02545698728834846,0.02545698728834846,0.025508604667103953,0.0038579416199645278,0.036053931793696536,0.04017436647077076,0.04016490536114222,recommendation
2040,0.005593284009339963,0.01730565787476565,0.028747436892811708,0.026761521745761827,0.026761521745761827,0.026760390701908547,0.003540157669638628,0.038406042251291274,0.04264045038512229,0.04263282312009294,recommendation
2041,0.005090206735778174,0.016937754378197722,0.029753675552310503,0.02806416552313511,0.02806416552313511,0.028001528979377383,0.0032140860603682014,0.04071039148476021,0.045107843641426254,0.04510271578814653,recommendation
2042,0.004593067921657257,0.016448189311437808,0.0307095027760476,0.029365269151629684,0.029365269151629684,0.02923255989998884,0.002882164809994356,0.04295961178244456,0.04754447032343627,0.047581857700873524,recommendation
2043,0.004108086173987845,0.015878458470432573,0.031615587399955125,0.030665257321120385,0.030665257321120385,0.030454309535963363,0.0025475105474377403,0.045142194209547196,0.04989601063636863,0.050082818444634684,recommendation
2044,0.003639330533015128,0.015257963073755154,0.03247267337157379,0.03196419414846889,0.03196419414846889,0.03166740122328453,0.002212112823382694,0.04725056456787101,0.0521241401409368,0.05261401019995921,recommendation
2045,0.003189326155830792,0.014607614798433408,0.033281484316665215,0.03326211961232234,0.03326211961232234,0.032872266793459025,0.0018771796582787333,0.04927994038976703,0.05420221935224044,0.05518096484014131,recommendation
2046,0.002759525984699699,0.013942131603943517,0.03404283473290236,0.034558942822832533,0.034558942822832533,0.0340692947876313,0.0015433808460150536,0.05122766727487317,0.05611216938980283,0.057787248007959445,recommendation
