year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,-0.06663973787172175,recommendation
2016,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,-0.04675652060505569,recommendation
2017,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,-0.028583145652311105,recommendation
2018,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,-0.013701434323428179,recommendation
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2020,0.014236445366160765,0.012643691731875989,0.013339215543715522,-0.02317900230170377,0.0002270917152045332,0.00458903395858247,0.004226612282510124,0.008625043301503536,0.008625038903456658,0.024375368022700628,0.024167197811385578,recommendation
2021,0.029209107619331487,0.025051626904350616,0.024423573630874065,-0.03822276324619738,0.0020043377063642884,0.010680379141239447,0.009863051044303631,0.01815965679225258,0.01707857847813381,0.045418397679049385,0.04494785450200564,recommendation
2022,0.04459228686096863,0.03715212719129476,0.03378109372777417,-0.0472759442338345,0.004974460855859619,0.017879236314889024,0.016268346517443195,0.028319309894857814,0.025449955330523147,0.06400117206231323,0.06321842246092516,recommendation
2023,0.06004835909268664,0.04893064285075388,0.041796965287803675,-0.051906709478250816,0.00886355804185025,0.025983375391804907,0.02283560803990703,0.03869666360301535,0.03378447647219679,0.08086337385967035,0.07973511965313552,recommendation
2024,0.07538827314209373,0.06037174490987052,0.04877949669412464,-0.05332163293419966,0.013456630919917598,0.03476755347794973,0.029077947910253577,0.0489746748156948,0.04214597304775961,0.09658736587190633,0.09509316482499602,recommendation
