year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.06106412352114665,-0.06018306956118402,-0.057000566440609024,-0.02368282366143748,-0.03954435239492049,-0.04609274460552637,-0.04609274460552637,-0.04917694688107954,-0.04917694688107954,-0.06591656901662024,-0.06591656901662024,recommendation
2016,-0.045652165839021874,-0.044771111879059244,-0.04158860875848425,-0.008270865979312703,-0.024132394712795713,-0.030680786923401593,-0.030680786923401593,-0.033764989198954765,-0.033764989198954765,-0.050504611334495464,-0.050504611334495464,recommendation
2017,-0.03123810255456272,-0.03035704859460009,-0.02717454547402509,0.006143197305146453,-0.009718331428336557,-0.016266723638942437,-0.016266723638942437,-0.01935092591449561,-0.01935092591449561,-0.03609054805003631,-0.03609054805003631,recommendation
2018,-0.021071347659201045,-0.020190293699238415,-0.017007790578663418,0.016309952200508127,0.0004484234670251164,-0.006099968743580764,-0.006099968743580764,-0.009184171019133935,-0.009184171019133935,-0.025923793154674635,-0.025923793154674635,recommendation
2019,-0.012831421527224829,-0.011950367567262199,-0.008767864446687201,0.024549878332484343,0.008688349599001333,0.0021399573883954526,0.0021399573883954526,-0.0009442448871577191,-0.0009442448871577191,-0.01768386702269842,-0.01768386702269842,recommendation
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2021,0.014289651942718917,0.012111322144173764,0.006193223667761538,-0.017891145531494845,-0.006952430408377452,-0.000408949248812851,-0.000408949248812851,0.0016696378734611939,0.00047644305012362054,0.014728708331544493,0.014728708331544493,recommendation
2022,0.029772723144114832,0.024394158984465952,0.010464717578415494,-0.030834345097682125,-0.012594851830731724,0.0004417358235980773,0.0004417358235980773,0.003926246874057515,0.0006019592734476387,0.02724114027901625,0.02724114027901625,recommendation
2023,0.046208924601136236,0.036848028115118336,0.01330215958289871,-0.04004099813903128,-0.01725864482203232,0.0022841645876567895,0.0022841645876567895,0.006637203134180036,0.00047655544322378063,0.0381107720595254,0.0381107720595254,recommendation
2024,0.06346604819677981,0.0494613416252937,0.015071093992799267,-0.04647034623942592,-0.021200829678783673,0.004846255223496021,0.004846255223496021,0.009650647168486626,0.00018419316087803228,0.04780567487936238,0.04780567487936238,recommendation
2025,0.08148602070695798,0.062285087242283765,0.016051442762405,-0.050823829206662285,-0.024593207579176712,0.007920695612401718,0.007920695612401718,0.012942001856634522,-0.0002680544859339218,0.056608442990845664,0.056608442990845664,recommendation
2026,0.10012910782814766,0.07532887551458534,0.016444715456708336,-0.05363365713544366,-0.027599410550836367,0.011429960648643989,0.011429960648643989,0.016413902887378873,-0.000815526957618995,0.06475945476780032,0.06475945476780032,recommendation
2027,0.1194324462065145,0.0886425442740858,0.01635368320495323,-0.055284821184227284,-0.030299892881125556,0.01529681782556791,0.01529681782556791,0.02004265484741896,-0.0014410593692359974,0.07251422690631126,0.07251422690631126,recommendation
2028,0.13936613826016775,0.10221974040807924,0.015925013912206798,-0.056057239557360194,-0.032773467238347176,0.01944422362439957,0.01944422362439957,0.02383680551779732,-0.0021460525927726737,0.07993972296695973,0.07993972296695973,recommendation
2029,0.15989344009259143,0.1160478759085633,0.015273036893828196,-0.05618108312078607,-0.03508333455528301,0.023789635824785105,0.023789635824785105,0.027760624496529274,-0.0028957578115013094,0.08713849690876363,0.08713849690876363,recommendation
