year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.002587287099558244,-0.002189533736301541,-0.004883504974747932,-0.0006759313788188281,-0.00911983096760588,-0.006857047011118722,-0.006705865775294029,-0.007426169017443085,-0.007426166796235589,-0.006903786940891277,-0.006825323813571205,recommendation
2016,-0.0012624021980880418,-0.0008646488348313386,-0.0035586200732777296,0.0006489535226513743,-0.007794946066135677,-0.00553216210964852,-0.005380980873823826,-0.0061012841159728826,-0.006101281894765387,-0.005578902039421074,-0.005500438912101002,recommendation
2017,-0.000667430350553444,-0.00026967698729674083,-0.002963648225743132,0.001243925370185972,-0.0071999742186010796,-0.004937190262113922,-0.0047860090262892285,-0.005506312268438285,-0.005506310047230789,-0.0049839301918864765,-0.0049054670645664045,recommendation
2018,0.0008281023870268522,0.0012258557502835554,-0.0014681154881628355,0.0027394581077662683,-0.005704441481020783,-0.0034416575245336256,-0.0032904762887089323,-0.0040107795308579886,-0.004010777309650493,-0.00348839745430618,-0.003409934326986108,recommendation
2019,0.0029977969327768528,0.003395550296033556,0.000701579057587165,0.004909152653516269,-0.0035347469352707828,-0.001271962978783625,-0.0011207817429589317,-0.001841084985107988,-0.0018410827639004923,-0.0013187029085561797,-0.0012402397812361077,recommendation
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2021,-0.003281382832695301,-0.003257968492891561,-0.00013409598567720726,-0.003070174880727028,0.0034423664934271625,0.0011374877895085622,0.0009496486497750367,0.002046028489157692,0.0021770601727592598,0.0012362267653457937,0.001137778521768329,recommendation
2022,-0.006858821775984569,-0.00648197746914464,0.00013158745020930285,-0.004797991962902759,0.0068191535989777785,0.0021758995790255864,0.0016684515357547336,0.004202636245312308,0.0046014637158861005,0.0024241004324249693,0.002208968801685196,recommendation
2023,-0.010734209072156553,-0.009714262531421658,0.0006783842245357552,-0.005541286481114682,0.010164409569045685,0.00315621245156833,0.0020423823367518024,0.006343734734331696,0.007182177355771591,0.0036188534505838255,0.0032750942925379167,recommendation
2024,-0.014907919776967177,-0.012987114544747186,0.0014330038113595789,-0.0055525434531975,0.013504055935150527,0.004109344192018638,0.002003901729191848,0.00840241419666804,0.009874022519417491,0.004855226724254813,0.004375598530914404,recommendation
2025,-0.019370826092024285,-0.01631892455051223,0.002348827608924242,-0.0050107241648554846,0.016861295238773555,0.00506244498698627,0.0015200591240803196,0.010344308191520823,0.012653864369164602,0.006158391292059029,0.005538579923574205,recommendation
2026,-0.024104462218133033,-0.019713946003498822,0.003398844982511695,-0.0040456761668580254,0.020260525599824608,0.006043140542987491,0.0005855974581179257,0.012157845117628019,0.015512899481952058,0.007551002723537148,0.006788797449105044,recommendation
2027,-0.02909288841782831,-0.023176654637607513,0.004559501376923014,-0.0027539085362047744,0.02371561851871251,0.0070672973714184795,-0.0007968421175454932,0.01383655361455377,0.0184420075236289,0.009043814779558623,0.008138682831213329,recommendation
2028,-0.0343238542449433,-0.026712654547320858,0.00580954715882126,-0.0012120500662820555,0.02723309281159203,0.008142971566771351,-0.002620410977331289,0.015375363612808113,0.021430669889092757,0.010638010077081594,0.009590227211440983,recommendation
2029,-0.03979899061330325,-0.03033782628502757,0.007119118403535074,0.0005192532531181349,0.030802915619575266,0.009261315180204177,-0.0048858755549456845,0.016760380654173512,0.02445690723342958,0.012318867902826047,0.011129243720690796,recommendation
2030,-0.04551060824857958,-0.03405718986982387,0.008470845687791884,0.002393385933085579,0.03442209402219004,0.010420357858436202,-0.007580146031917923,0.01798965063872715,0.027509804230344825,0.014078986643704272,0.0127488936036948,recommendation
2031,-0.050537330993974144,-0.03732069237392327,0.009697266341180177,0.0029507302749820497,0.03804586030919249,0.01170780463547294,-0.010597104364481802,0.019041376004603094,0.03055223457231382,0.01613583837178717,0.014666917987166517,recommendation
2032,-0.05506731585854799,-0.04026002925208852,0.0108041989673896,0.0025084398108372596,0.0416698872072056,0.013085370732394463,-0.013893869056067987,0.019946842943282028,0.03357500835534405,0.01844041777729133,0.016834826678007064,recommendation
2033,-0.05922555632623361,-0.04297291745981588,0.011782048400415135,0.0012938896700026015,0.045279652386630176,0.014513681585224869,-0.01738884099211549,0.020752434110820173,0.03655995675857987,0.020957722847827598,0.01921919756806456,recommendation
2034,-0.0631070453783481,-0.04554072518782756,0.01261520996012161,-0.0005229678023347395,0.04885628102220613,0.015955665025735255,-0.021033418701602885,0.021483674147894205,0.03948439056929515,0.023648445024275988,0.021781513249812923,recommendation
2035,-0.06678703774321162,-0.04803000312241104,0.013289178124291923,-0.002804440699680333,0.052381747703301784,0.0173796583858154,-0.02479891152127997,0.02215324264202423,0.04232705213111532,0.026474359943653103,0.02448358835246839,recommendation
2036,-0.0702937784428379,-0.0504585814086716,0.013826835318332953,-0.005440882095972044,0.055873539792657356,0.018792957822002077,-0.02863408911412932,0.022800422980971402,0.045104271554115116,0.029434044146128546,0.02732465715188309,recommendation
2037,-0.07366076431906332,-0.05285157857595116,0.014235609712747455,-0.0083441689899304,0.059334096168260964,0.020190919034881072,-0.032512938320085394,0.02344284474169933,0.04781801602268526,0.03251291602584544,0.03029000581337643,recommendation
2038,-0.07689040250578605,-0.055202680749392496,0.014547973422745109,-0.011446204802430832,0.06278995758728795,0.02159469523546015,-0.036392149458787326,0.024117258879462367,0.05049485409478233,0.03572211037472789,0.033391110818770386,recommendation
2039,-0.08000412427768772,-0.057525016239402815,0.014771254750400753,-0.014696009536668192,0.0662428289211423,0.023001973329548397,-0.040258717241056174,0.024832017688297292,0.05313752873291466,0.039050385254648934,0.03661612853752122,recommendation
2040,-0.08300393735681472,-0.059812778101076186,0.014927430402885467,-0.018052295449276667,0.06970922736737412,0.024426376600916733,-0.04408828493767006,0.025607164885243394,0.055764696248409684,0.042501947189706235,0.03996938779009612,recommendation
2041,-0.08588282493118632,-0.06209309654755793,0.015049573032827057,-0.021016609483891918,0.07312630782662216,0.0257279747336574,-0.04801401274679129,0.026396847567196458,0.05829727270573676,0.045204431528020894,0.043235012461308564,recommendation
2042,-0.08865256323533569,-0.06436337120113156,0.015128497358097737,-0.02367381078160516,0.0765087424889887,0.026935692342621664,-0.051983173206868044,0.027205641675096814,0.06074932784254794,0.04718413441921454,0.046437655144408285,recommendation
2043,-0.09133357244922213,-0.06663130581058072,0.015140632968025924,-0.026097679386798384,0.07985475341288639,0.02805903697662493,-0.05595061252561015,0.02801747641646518,0.0631148852760905,0.04829515443693866,0.04957196300888128,recommendation
2044,-0.0939471768284203,-0.06890100499320287,0.0150664762406299,-0.028350357720447583,0.08316142577598429,0.029104334128978282,-0.05988839480938163,0.028817400378973623,0.06538632247743176,0.04845709163533368,0.05263473478189967,recommendation
2045,-0.09651441064969976,-0.07117852993041085,0.014889418689271405,-0.03048755985325191,0.08642296978255676,0.030073164187921997,-0.06378134446001751,0.029590994499848644,0.06755601606348682,0.04763194001626908,0.055620994681482905,recommendation
2046,-0.09906506992500269,-0.07348163741131353,0.014586440338662021,-0.032552084654923014,0.08962326354117289,0.030954747732955867,-0.06763388383359725,0.030315349445148243,0.06960771722663878,0.045800716144819564,0.05851555587557239,recommendation
2047,-0.10160599404500642,-0.07580761105983844,0.014157959288120858,-0.034571998179018404,0.09276605930304321,0.03175725375562222,-0.07143577001529608,0.03099041774370004,0.0715459018584087,0.04298477870931977,0.061323118451162784,recommendation
2048,-0.10414254018257549,-0.07815455200041324,0.013606540437302306,-0.03656145584464349,0.09585537166910973,0.03248825324706317,-0.07518077918685903,0.03161651607041771,0.07337662135299344,0.0392173401746192,0.06404883220614899,recommendation
2049,-0.10665895819931828,-0.08050204574371772,0.012955333224948296,-0.038518976492248336,0.09891386545232217,0.03317334904538066,-0.07884678526174044,0.03221445343761414,0.075124700503026,0.03455866290347681,0.06671619247292249,recommendation
2050,-0.1091312883598298,-0.08282179676211865,0.012236255391126105,-0.040437701159036527,0.10197173943313076,0.03384482412999268,-0.08240569196350095,0.032813574003741075,0.0768232853712908,0.029080614475574196,0.06935626975151366,recommendation
2051,-0.11132514681928221,-0.08492772072878244,0.011476006556184859,-0.04212275610226396,0.10494484897324602,0.03500513290489621,-0.0853607643033438,0.03352521368668965,0.07848635120592035,0.023165364787759435,0.07222927748350277,recommendation
2052,-0.11329386414401602,-0.08686207681738492,0.010678517236890062,-0.04362666247131991,0.10785623668996502,0.03654338724729722,-0.08782450928548743,0.034326110582243774,0.08011408137327214,0.016881218247360608,0.07525318483441717,recommendation
