year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.18899550639520402,-0.18731265338868286,-0.1896507121315254,-0.1572412449642444,-0.17796404002878163,-0.1822915170402284,-0.18194823284111683,-0.18421866683404553,-0.18421868483004578,-0.20180136187575282,-0.20142369721762465,recommendation
2016,-0.1469999910331672,-0.14531713802664603,-0.14765519676948857,-0.11524572960220758,-0.1359685246667448,-0.14029600167819156,-0.13995271747908,-0.1422231514720087,-0.14222316946800895,-0.159805846513716,-0.15942818185558782,recommendation
2017,-0.10718099500622746,-0.10549814199970631,-0.10783620074254885,-0.07542673357526786,-0.09614952863980508,-0.10047700565125184,-0.10013372145214028,-0.10240415544506898,-0.10240417344106922,-0.11998685048677626,-0.1196091858286481,recommendation
2018,-0.0708034843210652,-0.06912063131454405,-0.07145869005738659,-0.039049222890105595,-0.05977201795464282,-0.06409949496608958,-0.06375621076697802,-0.06602664475990672,-0.06602666275590696,-0.083609339801614,-0.08323167514348584,recommendation
2019,-0.03585735758652797,-0.034174504580006815,-0.036512563322849356,-0.004103096155568364,-0.02482589122010559,-0.029153368231552346,-0.028810084032440786,-0.031080518025369486,-0.03108053602136973,-0.04866321306707677,-0.04828554840894861,recommendation
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2021,0.03626391410948271,0.03383900809289675,0.034256817217471536,0.01130017102831582,0.026699850830469884,0.030969932715341875,0.030543057543769736,0.03185745632725445,0.03082107311737614,0.045557480547994356,0.04507954102084599,recommendation
2022,0.07241208276778743,0.06715031947260841,0.06675601866280889,0.027807186318656862,0.05490117733654154,0.06334941907711023,0.06215624571350142,0.06411756621806886,0.06149981980921515,0.08894270064791865,0.08789297218546688,recommendation
2023,0.10777422809130455,0.09976305577795475,0.0978509966377119,0.048061778628660345,0.08427462388670626,0.09688227270816885,0.09416783035662557,0.09625242891939711,0.09215734823690447,0.1309471708692742,0.12926438430763776,recommendation
2024,0.14197210749047384,0.13158228071040368,0.12784515033718247,0.07096711423685265,0.11458684885501991,0.13132637600941233,0.1260630755459775,0.12788388210714552,0.12291790397486291,0.1722004822089398,0.16984661482095054,recommendation
2025,0.17481614708533066,0.16262595303328653,0.15699286728902373,0.09574678689164173,0.14569738811384125,0.16651045809401022,0.15750107325103357,0.15886479846412782,0.15383442043583773,0.2131048143690344,0.21005622918500477,recommendation
2026,0.20611867136120376,0.19291304684556887,0.18549895823283014,0.12182949361850559,0.17748470634351055,0.20240401965247812,0.18835057587562543,0.18904562540473058,0.1850197113031491,0.2539930255479188,0.25023643997853595,recommendation
