,,recommendation,recommendation
,,2040,2100
ssp534-over,ch4,0.06581660893277874,-0.16725956827439928
ssp534-over,aerosol-total-with_bc-snow,0.1225905250675402,0.36016801400689874
ssp534-over,aerosol-radiation_interactions,0.034406920882383424,-0.0023219218621474136
ssp534-over,aerosol-cloud_interactions,0.08656062651392965,0.40374341118226986
ssp534-over,aerosol-total,0.12096754739631299,0.40142148932012234
ssp534-over,o3,0.042634433311539266,-0.1327931594749907
ssp534-over,HFCs,0.042320329737509266,0.01520447512914703
ssp534-over,bc_on_snow,0.0016229776712271202,-0.04125347531322364
ssp534-over,total_anthropogenic,0.84990644566338,0.8836047306217216
ssp534-over,total,0.8056093115256169,0.825799361674878
ssp119,ch4,-0.032849784190803755,-0.16307431830839542
ssp119,aerosol-total-with_bc-snow,0.27379378524971454,0.424517290953919
ssp119,aerosol-radiation_interactions,0.030032898842124248,0.03908423690679208
ssp119,aerosol-cloud_interactions,0.2717673542697655,0.4269605915198189
ssp119,aerosol-total,0.30180025311188974,0.46604482842661094
ssp119,o3,-0.08309833337113937,-0.14847321919486467
ssp119,HFCs,0.005380323842113994,-0.003788645288109325
ssp119,bc_on_snow,-0.028006467862175234,-0.04152753747269196
ssp119,total_anthropogenic,0.3974278372487263,0.11603587227697676
ssp119,total,0.3531307031109634,0.058230503330133354
ssp460,ch4,0.08666856799950795,0.17915114093899448
ssp460,aerosol-total-with_bc-snow,-0.006305108383416358,0.1782732557282093
ssp460,aerosol-radiation_interactions,0.015239445945436983,-0.021993943353503242
ssp460,aerosol-cloud_interactions,-0.03574338426158474,0.22283459839245978
ssp460,aerosol-total,-0.02050393831614772,0.20084065503895654
ssp460,o3,0.05588491112448962,0.09370526213892849
ssp460,HFCs,0.03813657770860515,0.04094699936967023
ssp460,bc_on_snow,0.01419882993273143,-0.022567399310747166
ssp460,total_anthropogenic,0.645717565978065,2.2617662198821398
ssp460,total,0.6014204318403022,2.2039608509352955
ssp585,ch4,0.061827863486367596,0.1474775561464411
ssp585,aerosol-total-with_bc-snow,0.1225905250675402,0.2321659663827217
ssp585,aerosol-radiation_interactions,0.034406920882383465,-0.006304202630072059
ssp585,aerosol-cloud_interactions,0.08656062651392965,0.26811981864240775
ssp585,aerosol-total,0.1209675473963131,0.26181561601233555
ssp585,o3,0.04009789597787394,0.05065646011724706
ssp585,HFCs,0.04231281571200834,0.22327203765653655
ssp585,bc_on_snow,0.001622977671227134,-0.029649649629613927
ssp585,total_anthropogenic,0.8368745271927094,4.114267558749612
ssp585,total,0.792577393054946,4.056462189802767
ssp370,ch4,0.07618092629682693,0.27665105039857824
ssp370,aerosol-total-with_bc-snow,-0.0520290050378871,-0.02667984010721347
ssp370,aerosol-radiation_interactions,0.012872244912841835,4.4355334772983035e-05
ssp370,aerosol-cloud_interactions,-0.08548589165836862,-0.04035955904293098
ssp370,aerosol-total,-0.07261364674552673,-0.040315203708158
ssp370,o3,0.0698453630380848,0.23644507451225566
ssp370,HFCs,0.026499916097692054,0.09698786117879545
ssp370,bc_on_snow,0.020584641707639566,0.013635363600944354
ssp370,total_anthropogenic,0.663785505946697,3.1520766916541945
ssp370,total,0.6194883718089335,3.09427132270735
ssp370-lowNTCF-aerchemmip,ch4,0.07618092629682693,0.27665105039857824
ssp370-lowNTCF-aerchemmip,aerosol-total-with_bc-snow,0.08705088401836725,0.28475324911764355
ssp370-lowNTCF-aerchemmip,aerosol-radiation_interactions,0.019473125367997307,0.016886734517546992
ssp370-lowNTCF-aerchemmip,aerosol-cloud_interactions,0.06960478624683902,0.29529287651212266
ssp370-lowNTCF-aerchemmip,aerosol-total,0.08907791161483636,0.31217961102966973
ssp370-lowNTCF-aerchemmip,o3,0.024495411518925037,0.1577364890222771
ssp370-lowNTCF-aerchemmip,HFCs,0.026499916097692054,0.09698786117879545
ssp370-lowNTCF-aerchemmip,bc_on_snow,-0.002027027596469076,-0.02742636191202624
